scope,record_index,system,component,material_family,tier,action_class,meaning,recommended_action,logical_present,mappable_present,primary_t1
primary,1,Ens. Equipements latéraux,A5086 - Aluminium,aluminium,T2,accepted_internalized_process,T2 absent comme fournisseur externe car le procédé est probablement internalisé chez le T1.,T2 le plus probable: operation internalisee chez le T1 primaire (ESPACE). / Ne pas creer un fournisseur externe; creer un noeud process virtuel T2 rattache au T1 si la simulation exige un T2 explicite. (medium_high),False,False,ESPACE
all,1,Ens. Equipements latéraux,A5086 - Aluminium,aluminium,T2,accepted_internalized_process,T2 absent comme fournisseur externe car le procédé est probablement internalisé chez le T1.,T2 le plus probable: operation internalisee chez le T1 primaire (ESPACE). / Ne pas creer un fournisseur externe; creer un noeud process virtuel T2 rattache au T1 si la simulation exige un T2 explicite. (medium_high),False,False,ESPACE
primary,2,Ens. Stowage latéral,"15CDV6 (chrome, molibdene, vanadium)",steel,T2,accepted_internalized_process,T2 absent comme fournisseur externe car le procédé est probablement internalisé chez le T1.,T2 le plus probable: operation internalisee chez le T1 primaire (MGA Villeneuve St Lot). / Ne pas creer un fournisseur externe; creer un noeud process virtuel T2 rattache au T1 si la simulation exige un T2 explicite. (medium_high),False,False,MGA Villeneuve St Lot
all,2,Ens. Stowage latéral,"15CDV6 (chrome, molibdene, vanadium)",steel,T2,accepted_internalized_process,T2 absent comme fournisseur externe car le procédé est probablement internalisé chez le T1.,T2 le plus probable: operation internalisee chez le T1 primaire (MGA Villeneuve St Lot). / Ne pas creer un fournisseur externe; creer un noeud process virtuel T2 rattache au T1 si la simulation exige un T2 explicite. (medium_high),False,False,MGA Villeneuve St Lot
primary,4,Ensemble porte,FILM DECOR AERFILM - Ep0.33 714g-m2,rubber_silicone,T4,accepted_upstream_family_unknown,T4 amont de famille matière inconnu.,"T4 le plus probable: source amont de famille matiere, candidats/famille: BASF / SABIC / Solvay raw polymer or resin source. / Ne pas activer comme fournisseur unique; utiliser comme hypothese de famille tant que la specification matiere n'est pas connue. (medium)",False,False,MGA Villeneuve St Lot
all,4,Ensemble porte,FILM DECOR AERFILM - Ep0.33 714g-m2,rubber_silicone,T4,accepted_upstream_family_unknown,T4 amont de famille matière inconnu.,"T4 le plus probable: source amont de famille matiere, candidats/famille: BASF / SABIC / Solvay raw polymer or resin source. / Ne pas activer comme fournisseur unique; utiliser comme hypothese de famille tant que la specification matiere n'est pas connue. (medium)",False,False,MGA Villeneuve St Lot
primary,5,Bumper version porte,alliage Cu,copper,T4,requires_material_certificate,T4 producteur matière primaire absent pour famille copper.,"Demander certificat matière, mill exact, pays, site et allocation avant d'activer un producteur.",False,False,SUMPAR
primary,5,Bumper version porte,alliage Cu,copper,T2,accepted_internalized_process,T2 absent comme fournisseur externe car le procédé est probablement internalisé chez le T1.,T2 le plus probable: operation internalisee chez le T1 primaire (SUMPAR). / Ne pas creer un fournisseur externe; creer un noeud process virtuel T2 rattache au T1 si la simulation exige un T2 explicite. (medium_high),False,False,SUMPAR
all,5,Bumper version porte,alliage Cu,copper,T4,requires_material_certificate,T4 producteur matière primaire absent pour famille copper.,"Demander certificat matière, mill exact, pays, site et allocation avant d'activer un producteur.",False,False,SUMPAR
all,5,Bumper version porte,alliage Cu,copper,T2,accepted_internalized_process,T2 absent comme fournisseur externe car le procédé est probablement internalisé chez le T1.,T2 le plus probable: operation internalisee chez le T1 primaire (SUMPAR). / Ne pas creer un fournisseur externe; creer un noeud process virtuel T2 rattache au T1 si la simulation exige un T2 explicite. (medium_high),False,False,SUMPAR
