categories,count,record_indexes,name,role_hint,location,country_code,lat,lon,geocode_status,geocode_provider,geocode_query,site_address,site_selection_name,site_selection_confidence,site_selection_source_url,recommended_action
unpositioned_unknown_site,29,"11,12,32,124,125,128,130,131,132,133,134,135,136,140,141,142,143,149,151,152,158,160,162,164,165,168,169,170,171",Toray Industries,tier3_first_transformation,unknown textile mill / supplier-specific site,JP,,,site_unknown_requires_material_grade_or_supplier_proof,manual:download_refinement_2026-05-21,DO_NOT_FORCE_SITE: do not map generic textile records to Toray Tokyo/Nagoya/Ehime without grade or supplier proof,,unknown textile mill / supplier-specific site,high for rejection of HQ fallback; low for any active supplier,https://www.toray.com/ir/management/man_010.html,Set site_unknown=true or use actual supplier such as Huddersfield Textiles if that is the sourced supplier.
unresolved_hq_or_fallback,5,"78,121,126,130,153",Mitsubishi Chemical,tier4_raw_material,Japan,JP,35.6812,139.7671,fallback_site_needs_source,manual:cleanup_rule,Tokyo fallback; choose actual chemical site,Tokyo fallback; choose actual chemical site,,,,Do not apply Hiratsuka to display/electronics records without BOM/PN proving Mitsubishi Chemical material scope.
site_candidate_requires_certificate_or_pn,42,"1,12,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,34,35,36,37,38,39,40,41,42,43,44,54,55,66,67,68,69,70,123,152,157,161,167,174,175",Aluminium Corporation of China / Chalco,tier4_raw_material,"Xining / Qinghai, China",CN,36.7653535,101.7640249,source_backed_industrial_site_candidate_requires_certificate,manual:download_refinement_2026-05-21,"Beichuan Industrial Park, Datong County, Xining, Qinghai, China","Beichuan Industrial Park, Datong County, Xining, Qinghai, China",Chalco Qinghai Branch / Xining aluminium smelter candidate,medium,https://www.chalco.com.cn/en/ ; https://www.sec.gov/Archives/edgar/data/1161611/000116161103000005/chalco.htm,"Use as aluminium producer scenario candidate, not as guaranteed active source."
site_candidate_requires_certificate_or_pn,35,"2,13,15,33,45,46,47,48,49,52,53,56,57,58,59,60,61,62,63,64,65,71,72,81,94,95,96,98,99,100,101,102,122,138,151",China Baowu / Baosteel,tier4_raw_material,"Shanghai / Baoshan, China",CN,31.4114498,121.4557873,source_backed_industrial_site_candidate_requires_certificate,manual:download_refinement_2026-05-21,"No. 885 Fujin Road, Baoshan District, Shanghai 201900, China","No. 885 Fujin Road, Baoshan District, Shanghai 201900, China",Baoshan Iron & Steel / Baosteel Baoshan site,medium,https://www.chinasteelmarket.com/company/html/Baoshan-Iron-%26-Steel-Co%2CLtd_1008.html ; https://www.gem.wiki/Baoshan_Iron_and_Steel_Co_Ltd_Headquarters,Keep as China steel-mill scenario candidate; active=false until certificate/order confirms.
site_candidate_requires_certificate_or_pn,35,"2,13,15,33,45,46,47,48,49,52,53,56,57,58,59,60,61,62,63,64,65,71,72,81,94,95,96,98,99,100,101,102,122,138,151",Tata Steel,tier4_raw_material,"Jamshedpur / Jharkhand, India",IN,22.7853607,86.1994836,source_backed_industrial_site_candidate_requires_certificate,manual:download_refinement_2026-05-21,"P.O. Bistupur, Jamshedpur 831001, Jharkhand, India","P.O. Bistupur, Jamshedpur 831001, Jharkhand, India",Tata Steel Jamshedpur Works,medium_high,https://www.tatasteel.com/rnd/contact-us/r-and-d-office.asp ; https://www.gem.wiki/Tata_Steel_Jamshedpur_steel_plant,Use only for steel scenarios and require material certificate before active allocation. Remove from aluminium rows.
site_candidate_requires_certificate_or_pn,34,"2,13,15,33,45,46,47,48,49,52,53,56,57,58,59,60,61,62,63,64,65,71,72,81,94,95,96,98,99,100,101,102,122,138",ArcelorMittal,tier4_raw_material,"Le Creusot, France",FR,46.7897099,4.4493912,source_backed_industrial_site_candidate_requires_certificate,manual:download_refinement_2026-05-21,"56 Rue Clémenceau, 71200/71201 Le Creusot, France","56 Rue Clémenceau, 71200/71201 Le Creusot, France",Industeel France - Le Creusot,medium_high,https://industeel.arcelormittal.com/fichier/dnv-approval-of-manufacturer-certificate-2/ ; https://industeel.arcelormittal.com/sales-offices/,Use as special-steel scenario candidate; active=false until mill certificate confirms.
site_candidate_requires_certificate_or_pn,33,"2,13,15,45,46,47,48,49,52,53,56,57,58,59,60,61,62,63,64,65,71,72,81,94,95,96,98,99,100,101,102,122,138",Nucor Corp,tier4_raw_material,"Huger / South Carolina, United States",US,33.007,-79.879,source_backed_industrial_site_candidate_requires_certificate,manual:download_refinement_2026-05-21,"1455 Hagan Ave / Old Hagan Ave, Huger, South Carolina 29450, United States","1455 Hagan Ave / Old Hagan Ave, Huger, South Carolina 29450, United States",Nucor Steel Berkeley,medium_high,https://governor.sc.gov/news/2022-08/nucor-corporation-expanding-berkeley-county ; https://www.gem.wiki/Nucor_Steel_Berkeley_plant,Use as US steel-mill scenario candidate; active=false unless certificate confirms.
site_candidate_requires_certificate_or_pn,20,"3,79,80,82,83,84,85,97,103,104,105,106,107,108,109,110,159,163,172,173",Toray Industries,tier3_first_transformation,"Nagoya / Aichi, Japan",JP,35.08880103081,136.90424935333,source_backed_industrial_site_candidate,manual:download_refinement_2026-05-21,"9-1 Oe-cho, Minato-ku, Nagoya, Aichi 455-8502, Japan","9-1 Oe-cho, Minato-ku, Nagoya, Aichi 455-8502, Japan",Toray Industries Nagoya Plant,high for nylon/plastics; low if applied blindly to textile records,https://www.toray.com/aboutus/network/headoffice.html ; https://hub.iscc-system.org/FileHandler/download/summaryAuditReportFile/NzA4MzNfSVNDQy1QTFVTLUNlcnQtREUxMDItMjQxMjAyMzA%3D,Nagoya applied only for nylon/polyamide/engineering-plastics contexts; grade certificate still required.
site_candidate_requires_certificate_or_pn,16,"110,111,112,113,114,115,117,118,119,120,125,139,159,163,172,173",Mitsubishi Chemical,tier4_raw_material,"Hiratsuka / Kanagawa, Japan",JP,35.356608,139.342723,source_backed_industrial_site_candidate,manual:download_refinement_2026-05-21,"1-35, Nishishindo 2-chome, Hiratsuka-shi, Kanagawa 254-8614, Japan","1-35, Nishishindo 2-chome, Hiratsuka-shi, Kanagawa 254-8614, Japan",Mitsubishi Chemical Corporation Kanto Plant - Hiratsuka,medium_high,https://www.mcgc.com/english/group/outline/mcc/location/plant.html ; https://www.mcc-polymers.com/en/technical-service/,Hiratsuka applied for polymer/engineering-plastics contexts; PN/grade validation still required.
site_candidate_requires_certificate_or_pn,1,71,TE Connectivity,tier1,"Évreux, France",FR,49.0253,1.1858,source_backed_aerospace_connector_site_candidate,manual:download_refinement_2026-05-21,"ZI La Madeleine n°2, 17 Rue Lavoisier, 27000 Évreux, France","ZI La Madeleine n°2, 17 Rue Lavoisier, 27000 Évreux, France",Connecteurs Electriques Deutsch / TE Connectivity - Évreux,medium_high for connector role; medium until PN confirms active supplier,https://annuaire-entreprises.data.gouv.fr/entreprise/connecteurs-electriques-deutsch-ced-389470303 ; https://www.nae.fr/membres/deutsch-te-connectivity/ ; https://www.te.com/fr/products/brands/deutsch.html,Use Évreux rather than Berwyn for aerospace connector/cable-hardware scenarios; active=false until part number/supplier code confirms.
