site_uid,supplier_ids,site_ids,roles,name,location,country_code,lat,lon,source_confidence,site_quality,path_count,allocated_mass_kg
"halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102",halcyon_hevecam,"halcyon_hevecam@2.9406,9.9102",T4,Halcyon Hevecam,Cameroun,,2.9406,9.9102,,unknown_or_legacy,1,0.01
"sabic@@sabic@24.7136,46.6753",sabic,"sabic@24.7136,46.6753",T4,SABIC,Arabie Saoudite,,24.7136,46.6753,,unknown_or_legacy,1,0.151
"sabic_lexan_fst_sheet_production__tier3_first_transformation@@sabic_lexan_fst_sheet_production__tier3_first_transformation@24.7136,46.6753",sabic_lexan_fst_sheet_production__tier3_first_transformation,"sabic_lexan_fst_sheet_production__tier3_first_transformation@24.7136,46.6753",T3,SABIC LEXAN FST sheet production,Arabie Saoudite,,24.7136,46.6753,,unknown_or_legacy,1,0.151
"amag_austria_metall@@amag_austria_metall@48.2267,13.0357",amag_austria_metall,"amag_austria_metall@48.2267,13.0357",T3,AMAG Austria Metall,Austria,AT,48.2266686,13.0356549,high,source_backed_or_medium_high,31,58.921985
"mitsubishi_chemical@@mitsubishi_chemical@35.6812,139.7671",mitsubishi_chemical,"mitsubishi_chemical@35.6812,139.7671",T4,Mitsubishi Chemical,"Tielt, Belgium",BE,50.9997611,3.3450176,low,source_backed_or_medium_high,24,10.05956
"klabin_s_a@@klabin_s_a@-29.7858,-51.1144",klabin_s_a,"klabin_s_a@-29.7858,-51.1144",T4,Klabin S.A.,Brazil,BR,-29.7858184,-51.1144326,,unknown_or_legacy,1,0.95
"cots_electronics_pcb/subassembly_package__tier3_first_transformation@@cots_electronics_pcb/subassembly_package__tier3_first_transformation@45.455,-73.735",cots_electronics_pcb/subassembly_package__tier3_first_transformation,"cots_electronics_pcb/subassembly_package__tier3_first_transformation@45.455,-73.735",T3,COTS electronics PCB/subassembly package,Canada,CA,45.455,-73.735,high,source_backed_or_medium_high,1,0.8
"cots_electronics_component_market_basket__tier4_raw_material@@cots_electronics_component_market_basket__tier4_raw_material@45.455,-73.735",cots_electronics_component_market_basket__tier4_raw_material,"cots_electronics_component_market_basket__tier4_raw_material@45.455,-73.735",T4,COTS electronics component market basket,Canada,CA,45.455,-73.735,high,source_backed_or_medium_high,1,0.8
"e2ip_technologies@@e2ip_technologies@45.455,-73.735",e2ip_technologies,"e2ip_technologies@45.455,-73.735",T2,e2ip technologies,Canada,CA,45.455,-73.735,high,source_backed_or_medium_high,2,1.0
"aluminium_corporation_of_china_chalco@@aluminium_corporation_of_china_chalco@39.9042,116.4074",aluminium_corporation_of_china_chalco,"aluminium_corporation_of_china_chalco@39.9042,116.4074",T4,Aluminium Corporation of China / Chalco,"Xining / Qinghai, China",CN,36.7653535,101.7640249,low,source_backed_or_medium_high,6,26.11009
"china_baowu_baosteel@@china_baowu_baosteel@31.2304,121.4737",china_baowu_baosteel,"china_baowu_baosteel@31.2304,121.4737",T4,China Baowu / Baosteel,"Shanghai / Baoshan, China",CN,31.4114498,121.4557873,medium,source_backed_or_medium_high,1,0.047835
"shandong_loyal_chemical_co_ltd@@shandong_loyal_chemical_co_ltd@36.7059,117.0166",shandong_loyal_chemical_co_ltd,"shandong_loyal_chemical_co_ltd@36.7059,117.0166",T4,"Shandong Loyal Chemical Co., Ltd.",China,CN,36.7059,117.0166,,unknown_or_legacy,7,3.651
"zhejiang_yuxin_textile_co_ltd@@zhejiang_yuxin_textile_co_ltd@30.5278,120.4306",zhejiang_yuxin_textile_co_ltd,"zhejiang_yuxin_textile_co_ltd@30.5278,120.4306",T3,"Zhejiang Yuxin Textile Co.,Ltd.",China,CN,30.5278,120.4306,,unknown_or_legacy,24,2.547
"aurubis@@aurubis@50.7585,6.2343",aurubis,"aurubis@50.7585,6.2343",T3,Aurubis,Germany,DE,50.7584717,6.234312,,unknown_or_legacy,1,0.006
"aurubis_-_copper_source_assumption__tier4_raw_material@@aurubis_-_copper_source_assumption__tier4_raw_material@50.7584717,6.234312",aurubis_-_copper_source_assumption__tier4_raw_material,"aurubis_-_copper_source_assumption__tier4_raw_material@50.7584717,6.234312",T4,Aurubis - copper source assumption,Germany,DE,50.7584717,6.234312,,unknown_or_legacy,1,0.006
"basf@@basf@49.481,8.435",basf,"basf@49.481,8.435",T4,BASF,Germany,DE,49.481,8.435,medium_high,source_backed_or_medium_high,15,0.647
"basf__tier4_raw_material@@basf__tier4_raw_material@49.481,8.435",basf__tier4_raw_material,"basf__tier4_raw_material@49.481,8.435",T4,BASF,Germany,DE,49.481,8.435,medium_high,source_backed_or_medium_high,1,0.392
"basf_pu_chemistry_source_candidate_tier4_raw_material@@basf_pu_chemistry_source_candidate_tier4_raw_material@49.481,8.435",basf_pu_chemistry_source_candidate_tier4_raw_material,"basf_pu_chemistry_source_candidate_tier4_raw_material@49.481,8.435",T4,BASF - PU chemistry source candidate,Germany,DE,49.481,8.435,medium_high,source_backed_or_medium_high,8,4.036
"cots_electronics_pcb/subassembly_package__tier3_first_transformation@@cots_electronics_pcb/subassembly_package__tier3_first_transformation@48.5010122,8.8201999",cots_electronics_pcb/subassembly_package__tier3_first_transformation,"cots_electronics_pcb/subassembly_package__tier3_first_transformation@48.5010122,8.8201999",T3,COTS electronics PCB/subassembly package,Germany,DE,48.5010122,8.8201999,,unknown_or_legacy,1,0.07
"ensinger@@ensinger@48.501,8.8202",ensinger,"ensinger@48.501,8.8202",T2,Ensinger,Germany,DE,48.5010122,8.8201999,,unknown_or_legacy,34,14.28956
