lever_id,lever_label,activity_name,exchange_name,exchange_type,database,location,unit,formula,baseline_amount,scenario_amount,delta_amount,abs_delta_amount,relative_delta_pct,parameter_count_in_formula,label
transport,Transport foreground +10%,transport vers Hambourg,"transport, freight, lorry 16-32 metric ton, EURO5",technosphere,ecoinvent-3.10-cutoff,RER,ton kilometer,tham_truck,226.0,248.6,22.6,22.6,10.0,1,"transport vers Hambourg / transport, freight, lorry 16-32 metric ton, EURO5"
electricity,Electricite process +10%,energie infrastructures,"market for electricity, low voltage",technosphere,ecoinvent-3.10-cutoff,FR,kilowatt hour,enin_elec,113.534,124.8874,11.3534,11.3534,10.0,1,"energie infrastructures / market for electricity, low voltage"
aluminium_material,Aluminium matiere +10%,Ensemble palette optimisee,"market for aluminium, primary, ingot",technosphere,ecoinvent-3.10-cutoff,"IAI Area, EU27 & EFTA",kilogram,epo_m_alu2017-epo_eol_alu+epo_m_alu-epo_eol_alu2017,14.2149,23.2796,9.0647,9.0647,63.769,2,"Ensemble palette optimisee / market for aluminium, primary, ingot"
end_of_life,Fin de vie / recyclage +10%,Ensemble palette optimisee,"market for aluminium, primary, ingot",technosphere,ecoinvent-3.10-cutoff,"IAI Area, EU27 & EFTA",kilogram,epo_m_alu2017-epo_eol_alu+epo_m_alu-epo_eol_alu2017,14.2149,6.57169,-7.64321,7.64321,-53.769,2,"Ensemble palette optimisee / market for aluminium, primary, ingot"
end_of_life,Fin de vie / recyclage +10%,Ensemble palette optimisee,"treatment of aluminium scrap, new, at remelter",technosphere,ecoinvent-3.10-cutoff,RER,kilogram,epo_eol_alu2017+epo_eol_alu,76.4321,84.07531,7.64321,7.64321,10.0,2,"Ensemble palette optimisee / treatment of aluminium scrap, new, at remelter"
aluminium_material,Aluminium matiere +10%,Stowage assemblé avec porte,"market for aluminium, primary, ingot",technosphere,ecoinvent-3.10-cutoff,"IAI Area, EU27 & EFTA",kilogram,sto_m_alu2056+sto_m_alu2017-sto_eol_alu2017-sto_eol_alu2056,7.862,15.395,7.533,7.533,95.8153,2,"Stowage assemblé avec porte / market for aluminium, primary, ingot"
end_of_life,Fin de vie / recyclage +10%,Stowage assemblé avec porte,"market for aluminium, primary, ingot",technosphere,ecoinvent-3.10-cutoff,"IAI Area, EU27 & EFTA",kilogram,sto_m_alu2056+sto_m_alu2017-sto_eol_alu2017-sto_eol_alu2056,7.862,1.1152,-6.7468,6.7468,-85.8153,2,"Stowage assemblé avec porte / market for aluminium, primary, ingot"
end_of_life,Fin de vie / recyclage +10%,Stowage assemblé avec porte,"treatment of aluminium scrap, new, at remelter",technosphere,ecoinvent-3.10-cutoff,RER,kilogram,sto_eol_alu2017+sto_eol_alu2056,67.468,74.2148,6.7468,6.7468,10.0,2,"Stowage assemblé avec porte / treatment of aluminium scrap, new, at remelter"
aluminium_material,Aluminium matiere +10%,ENS Structure fauteuil,"market for aluminium, primary, ingot",technosphere,ecoinvent-3.10-cutoff,"IAI Area, EU27 & EFTA",kilogram,m_al_2024_SF+m_al_5086_SF+m_al_alu_SF+m_al_2017_SF- eol_al_2017_SF- eol_al_2024_SF- eol_alu_SF- eol_al_5086_SF,14.5063474,21.1563855,6.6500381,6.6500381,45.8423,4,"ENS Structure fauteuil / market for aluminium, primary, ingot"
aluminium_material,Aluminium matiere +10%,Ensemble tablette cocktail,"market for aluminium, primary, ingot",technosphere,ecoinvent-3.10-cutoff,"IAI Area, EU27 & EFTA",kilogram,ETC_m_al_2017+ETC_m_al_2024-ETC_eol_al_2017- ETC_eol_al_2024,15.885,22.2783,6.3933,6.3933,40.2474,2,"Ensemble tablette cocktail / market for aluminium, primary, ingot"
