site_uid,label,meta,value,row_count
"safran_seats_safran_internal_group@@safran_seats_safran_internal_group@48.8125,1.9495",Safran Seats / Safran internal group,OEM,2922.324127848,148124
"amag_austria_metall@@amag_austria_metall@48.2267,13.0357",AMAG Austria Metall,T3,964.137444278,25513
"thales@@thales@43.5639,1.3821",Thales,T1,787.153481922,2533
"senior_aerospace_thailand_tier1@@senior_aerospace_thailand_tier1@13.0914,101.0108",Senior Aerospace Thailand,T1,629.557344417,3144
"senior_aerospace_thailand_internal_machining_forming_process_tier2_second_transformation@@senior_aerospace_thailand_internal_machining_forming_process_tier2_second_transformation@13.0914,101.0108",Senior Aerospace Thailand - internal machining/forming process,T2,587.868783049,3194
"alcoa@@alcoa@40.4406,-79.9959",Alcoa,T4,546.265551491,21452
"thales_cots_electronics_subassembly_pcb_package_tier3_first_transformation@@thales_cots_electronics_subassembly_pcb_package_tier3_first_transformation@43.5638842,1.3821146",Thales - COTS electronics subassembly/PCB package,T3,499.300375913,4536
"euralliage_ile_de_france@@euralliage_ile_de_france@48.986,2.449",Euralliage Ile de France,T3,465.382157939,5917
"thales__tier1@@thales__tier1@43.5638842,1.3821146",Thales,T1,414.467841061,3605
"ensinger@@ensinger@48.501,8.8202",Ensinger,T2,373.587229721,30087
"toray_industries@@toray_industries@35.6866,139.7746",Toray Industries,T3,369.139791427,39590
"espace@@espace@44.7776,-0.6475",ESPACE,T1,337.199323143,28757
"aluminium_corporation_of_china_chalco@@aluminium_corporation_of_china_chalco@39.9042,116.4074",Aluminium Corporation of China / Chalco,T4,238.684525287,4039
"schroth_safety_products@@schroth_safety_products@26.18,-80.19",SCHROTH Safety Products,T2,236.297547237,27325
"3m@@3m@41.9519,-88.7122",3M,T2,226.756938454,731
"jamco_aircraft_interiors_-_niigata__tier1@@jamco_aircraft_interiors_-_niigata__tier1@38.0218,139.4275",JAMCO Aircraft Interiors - Niigata,T1,190.193742148,5227
"zhejiang_yuxin_textile_co_ltd@@zhejiang_yuxin_textile_co_ltd@30.5278,120.4306","Zhejiang Yuxin Textile Co.,Ltd.",T3,185.83997912,27969
"aubert_duval@@aubert_duval@45.7772,3.087",Aubert & Duval,T3,160.099535637,29726
"thales_cots_electronics_component_market_basket_tier4_raw_material@@thales_cots_electronics_component_market_basket_tier4_raw_material@43.5638842,1.3821146",Thales - COTS electronics component market basket,T4,156.44381263,1722
"mitsubishi_chemical@@mitsubishi_chemical@35.6812,139.7671",Mitsubishi Chemical,T4,155.401716582,19532
