activity_name,exchange_name,exchange_category,label,exact_delta_kgco2e,allocated_delta_kgco2e,exact_minus_allocated_kgco2e,quantity_delta_abs,exchange_unit,mapping_status,row_count,value
Ensemble palette optimisee,"market for electricity, low voltage",energy,"Ensemble palette optimisee -> market for electricity, low voltage",934.484729398,708.929857802,225.554871596,10407.038866476,kilowatt hour,mapped_exchange,480,934.484729398
Ensemble tablette cocktail,"market for electricity, low voltage",energy,"Ensemble tablette cocktail -> market for electricity, low voltage",852.433883194,144.527912561,707.905970633,9493.266475551,kilowatt hour,mapped_exchange,720,852.433883194
Stowage assemblé avec porte,"market for electricity, low voltage",energy,"Stowage assemblé avec porte -> market for electricity, low voltage",636.766122879,24.422126029,612.34399685,7091.447919119,kilowatt hour,mapped_exchange,480,636.766122879
Ensemble tablette repas,"market for electricity, low voltage",energy,"Ensemble tablette repas -> market for electricity, low voltage",579.886257486,15.594510529,564.291746957,6457.996187638,kilowatt hour,mapped_exchange,720,579.886257486
Ensemble coque,"market for electricity, low voltage",energy,"Ensemble coque -> market for electricity, low voltage",569.878987588,914.499077058,-344.62008947,6346.548623629,kilowatt hour,mapped_exchange,720,569.878987588
Accoudoir allee,"market for electricity, low voltage",energy,"Accoudoir allee -> market for electricity, low voltage",490.025953794,3575.590009725,-3085.564055931,5457.252522508,kilowatt hour,mapped_exchange,480,490.025953794
ENS Structure fauteuil,"market for electricity, low voltage",energy,"ENS Structure fauteuil -> market for electricity, low voltage",365.933516408,120.403813799,245.529702609,4075.277217433,kilowatt hour,mapped_exchange,480,365.933516408
Ensemble structure fixe,"market for electricity, low voltage",energy,"Ensemble structure fixe -> market for electricity, low voltage",222.410130633,279.235410411,-56.825279778,2476.906043552,kilowatt hour,mapped_exchange,720,222.410130633
Ensemble porte,"market for electricity, low voltage",energy,"Ensemble porte -> market for electricity, low voltage",138.100340944,464.918859832,-326.818518888,1537.976566332,kilowatt hour,mapped_exchange,720,138.100340944
Support et clamps,"market for electricity, low voltage",energy,"Support et clamps -> market for electricity, low voltage",105.424239019,198.918869599,-93.49463058,1174.0739239,kilowatt hour,mapped_exchange,720,105.424239019
Accoudoir allee,"market for transport, freight, aircraft, medium haul (virtual SDD)",transport,"Accoudoir allee -> market for transport, freight, aircraft, medium haul (virtual SDD)",45.74169754,45.8627256,-0.12102806,55.930153166,ton kilometer,virtual_exchange_proxy,7,45.74169754
Stowage assemblé avec porte,"compressed air production, 700 kPa gauge, >30kW, average generation",energy,"Stowage assemblé avec porte -> compressed air production, 700 kPa gauge, >30kW, average generation",37.0676923,0.719009054,36.348683246,208.778516535,cubic meter,mapped_exchange,480,37.0676923
Accoudoir allee,"compressed air production, 1000 kPa gauge, <30kW, optimised generation",energy,"Accoudoir allee -> compressed air production, 1000 kPa gauge, <30kW, optimised generation",15.697849953,81.172497217,-65.474647264,123.889711619,cubic meter,mapped_exchange,480,15.697849953
ENS Structure fauteuil,"compressed air production, 700 kPa gauge, >30kW, average generation",energy,"ENS Structure fauteuil -> compressed air production, 700 kPa gauge, >30kW, average generation",11.05341694,1.839373371,9.214043569,62.256802237,cubic meter,mapped_exchange,480,11.05341694
