site_uid,supplier,roles,country_code,world_region,weather_profile,month_index,allocated_mass_kg,env_event_types,transport_event_types,source_driver_types,source_environmental_event_ids,source_transport_flow_uids,capacity_applied,lead_time_multiplier,scrap_multiplier,inbound_delay_multiplier,outbound_delay_multiplier,inbound_maritime_risk,outbound_maritime_risk,disruption_index,service_proxy_pct,operational_event_labels,source_link_count
"halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102",Halcyon Hevecam,T4,,Sub-Saharan Africa,temperate_mixed,1,0.01,none,none,none,,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,100.0,nominal,0
"halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102",Halcyon Hevecam,T4,,Sub-Saharan Africa,temperate_mixed,2,0.01,none,none,none,,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,100.0,nominal,0
"halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102",Halcyon Hevecam,T4,,Sub-Saharan Africa,temperate_mixed,3,0.01,none,none,none,,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,100.0,nominal,0
"halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102",Halcyon Hevecam,T4,,Sub-Saharan Africa,temperate_mixed,4,0.01,heatwave|storm,none,env:heatwave|env:storm,"halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102:004:heatwave|halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102:004:storm",,0.9147,1.162,1.0171,1.0,1.0,0.0,0.0,0.4264,77.39,capacite_meteo_degradee|maintenance_corrective_meteo|overtime_energetique|retard_approvisionnement,2
"halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102",Halcyon Hevecam,T4,,Sub-Saharan Africa,temperate_mixed,5,0.01,heatwave,maritime_storm,env:heatwave|outbound:maritime_storm,"halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102:005:heatwave",6710a156a67f4acb,0.9408,1.0541,1.0888,1.0,1.0541,0.0,0.1934,0.4935,81.97,capacite_meteo_degradee|congestion_logistique_outbound|overtime_energetique|recalage_qualite|retard_approvisionnement,2
"halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102",Halcyon Hevecam,T4,,Sub-Saharan Africa,temperate_mixed,6,0.01,heatwave,maritime_storm,env:heatwave|outbound:maritime_storm,"halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102:006:heatwave",6710a156a67f4acb,0.9142,1.1414,1.1287,1.0,1.1414,0.0,0.483,0.7149,70.96,capacite_meteo_degradee|congestion_logistique_outbound|overtime_energetique|recalage_qualite|retard_approvisionnement,2
"halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102",Halcyon Hevecam,T4,,Sub-Saharan Africa,temperate_mixed,7,0.01,heatwave,maritime_storm,env:heatwave|outbound:maritime_storm,"halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102:007:heatwave",6710a156a67f4acb,0.9168,1.1278,1.1248,1.0,1.1278,0.0,0.3962,0.6932,72.27,capacite_meteo_degradee|congestion_logistique_outbound|overtime_energetique|recalage_qualite|retard_approvisionnement,2
"halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102",Halcyon Hevecam,T4,,Sub-Saharan Africa,temperate_mixed,8,0.01,heatwave,none,env:heatwave,"halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102:008:heatwave",6710a156a67f4acb,0.9445,1.0317,1.0832,1.0,1.0317,0.0,0.0614,0.4624,84.52,capacite_meteo_degradee|overtime_energetique|recalage_qualite,2
"halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102",Halcyon Hevecam,T4,,Sub-Saharan Africa,temperate_mixed,9,0.01,heatwave,none,env:heatwave,"halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102:009:heatwave",6710a156a67f4acb,0.9864,1.0103,1.0205,1.0,1.0103,0.0,0.0399,0.1137,95.67,overtime_energetique,2
"halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102",Halcyon Hevecam,T4,,Sub-Saharan Africa,temperate_mixed,10,0.01,none,none,none,,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,100.0,nominal,0
"halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102",Halcyon Hevecam,T4,,Sub-Saharan Africa,temperate_mixed,11,0.01,cold|storm,none,env:cold|env:storm,"halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102:011:cold|halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102:011:storm",,0.9465,1.1017,1.0107,1.0,1.0,0.0,0.0,0.2675,85.0,capacite_meteo_degradee|froid_transport_ou_site|maintenance_corrective_meteo|overtime_energetique|retard_approvisionnement,2
"halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102",Halcyon Hevecam,T4,,Sub-Saharan Africa,temperate_mixed,12,0.01,storm,none,env:storm,"halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102:012:storm",,0.9961,1.0075,1.0008,1.0,1.0,0.0,0.0,0.0197,98.79,maintenance_corrective_meteo,1
"halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102",Halcyon Hevecam,T4,,Sub-Saharan Africa,temperate_mixed,13,0.01,storm,none,env:storm,"halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102:013:storm",,0.9738,1.0497,1.0052,1.0,1.0,0.0,0.0,0.1309,92.29,maintenance_corrective_meteo,1
"halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102",Halcyon Hevecam,T4,,Sub-Saharan Africa,temperate_mixed,14,0.01,storm,maritime_storm,env:storm|outbound:maritime_storm,"halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102:014:storm",6710a156a67f4acb,0.9505,1.1065,1.0067,1.0,1.1065,0.0,0.3805,0.3805,85.33,capacite_meteo_degradee|congestion_logistique_outbound|maintenance_corrective_meteo|retard_approvisionnement,2
"halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102",Halcyon Hevecam,T4,,Sub-Saharan Africa,temperate_mixed,15,0.01,storm,maritime_storm,env:storm|outbound:maritime_storm,"halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102:015:storm",6710a156a67f4acb,0.9386,1.1323,1.0047,1.0,1.1323,0.0,0.4726,0.4726,82.51,capacite_meteo_degradee|congestion_logistique_outbound|maintenance_corrective_meteo|retard_approvisionnement,2
"halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102",Halcyon Hevecam,T4,,Sub-Saharan Africa,temperate_mixed,16,0.01,none,maritime_storm,outbound:maritime_storm,,6710a156a67f4acb,0.9766,1.0505,1.0,1.0,1.0505,0.0,0.1802,0.1802,92.97,congestion_logistique_outbound|retard_approvisionnement,1
"halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102",Halcyon Hevecam,T4,,Sub-Saharan Africa,temperate_mixed,17,0.01,heatwave,none,env:heatwave,"halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102:017:heatwave",,0.9943,1.0029,1.0086,1.0,1.0,0.0,0.0,0.0479,98.3,overtime_energetique,1
"halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102",Halcyon Hevecam,T4,,Sub-Saharan Africa,temperate_mixed,18,0.01,heatwave,none,env:heatwave,"halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102:018:heatwave",6710a156a67f4acb,0.973,1.0135,1.0405,1.0,1.0075,0.0,0.0103,0.2252,92.27,overtime_energetique|recalage_qualite,2
"halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102",Halcyon Hevecam,T4,,Sub-Saharan Africa,temperate_mixed,19,0.01,heatwave,none,env:heatwave,"halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102:019:heatwave",6710a156a67f4acb,0.9604,1.0198,1.0594,1.0,1.0172,0.0,0.0235,0.3299,88.89,overtime_energetique|recalage_qualite,2
"halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102",Halcyon Hevecam,T4,,Sub-Saharan Africa,temperate_mixed,20,0.01,heatwave,none,env:heatwave,"halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102:020:heatwave",6710a156a67f4acb,0.9613,1.0196,1.0581,1.0,1.0196,0.0,0.0268,0.3228,89.11,overtime_energetique|recalage_qualite,2
"halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102",Halcyon Hevecam,T4,,Sub-Saharan Africa,temperate_mixed,21,0.01,heatwave,none,env:heatwave,"halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102:021:heatwave",6710a156a67f4acb,0.9787,1.0136,1.0319,1.0,1.0136,0.0,0.024,0.1775,93.57,overtime_energetique|recalage_qualite,2
"halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102",Halcyon Hevecam,T4,,Sub-Saharan Africa,temperate_mixed,22,0.01,none,maritime_storm,outbound:maritime_storm,,6710a156a67f4acb,0.9738,1.0564,1.0,1.0,1.0564,0.0,0.2015,0.2015,92.18,congestion_logistique_outbound|retard_approvisionnement,1
"halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102",Halcyon Hevecam,T4,,Sub-Saharan Africa,temperate_mixed,23,0.01,cold,maritime_storm,env:cold|outbound:maritime_storm,"halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102:023:cold",6710a156a67f4acb,0.9379,1.1337,1.0009,1.0,1.1337,0.0,0.4775,0.4775,82.65,capacite_meteo_degradee|congestion_logistique_outbound|froid_transport_ou_site|overtime_energetique|retard_approvisionnement,2
"halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102",Halcyon Hevecam,T4,,Sub-Saharan Africa,temperate_mixed,24,0.01,cold|storm,maritime_storm,env:cold|env:storm|outbound:maritime_storm,"halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102:024:cold|halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102:024:storm",6710a156a67f4acb,0.9483,1.1026,1.0103,1.0,1.1026,0.0,0.3664,0.3664,85.13,capacite_meteo_degradee|congestion_logistique_outbound|froid_transport_ou_site|maintenance_corrective_meteo|overtime_energetique|retard_approvisionnement,3
"halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102",Halcyon Hevecam,T4,,Sub-Saharan Africa,temperate_mixed,25,0.01,storm,none,env:storm,"halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102:025:storm",,0.9097,1.1716,1.0181,1.0,1.0,0.0,0.0,0.4516,76.27,capacite_meteo_degradee|maintenance_corrective_meteo|retard_approvisionnement,1
"halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102",Halcyon Hevecam,T4,,Sub-Saharan Africa,temperate_mixed,26,0.01,storm,none,env:storm,"halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102:026:storm",,0.9666,1.0634,1.0067,1.0,1.0,0.0,0.0,0.1669,90.29,maintenance_corrective_meteo|retard_approvisionnement,1
"halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102",Halcyon Hevecam,T4,,Sub-Saharan Africa,temperate_mixed,27,0.01,storm,none,env:storm,"halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102:027:storm",6710a156a67f4acb,0.9764,1.0449,1.0047,1.0,1.0088,0.0,0.0294,0.1181,93.01,maintenance_corrective_meteo,2
"halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102",Halcyon Hevecam,T4,,Sub-Saharan Africa,temperate_mixed,28,0.01,none,none,none,,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,100.0,nominal,0
"halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102",Halcyon Hevecam,T4,,Sub-Saharan Africa,temperate_mixed,29,0.01,heatwave,none,env:heatwave,"halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102:029:heatwave",,0.9955,1.0023,1.0068,1.0,1.0,0.0,0.0,0.0377,98.65,overtime_energetique,1
"halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102",Halcyon Hevecam,T4,,Sub-Saharan Africa,temperate_mixed,30,0.01,heatwave,none,env:heatwave,"halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102:030:heatwave",6710a156a67f4acb,0.9454,1.0273,1.082,1.0,1.0066,0.0,0.009,0.4554,85.05,capacite_meteo_degradee|overtime_energetique|recalage_qualite,2
"halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102",Halcyon Hevecam,T4,,Sub-Saharan Africa,temperate_mixed,31,0.01,heatwave|storm,maritime_storm,env:heatwave|env:storm|outbound:maritime_storm,"halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102:031:heatwave|halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102:031:storm",6710a156a67f4acb,0.9209,1.1252,1.1187,1.0,1.1252,0.0,0.401,0.6595,73.16,capacite_meteo_degradee|congestion_logistique_outbound|maintenance_corrective_meteo|overtime_energetique|recalage_qualite|retard_approvisionnement,3
"halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102",Halcyon Hevecam,T4,,Sub-Saharan Africa,temperate_mixed,32,0.01,heatwave,maritime_storm,env:heatwave|outbound:maritime_storm,"halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102:032:heatwave",6710a156a67f4acb,0.9294,1.1543,1.1044,1.0,1.1543,0.0,0.4906,0.5802,72.91,capacite_meteo_degradee|congestion_logistique_outbound|overtime_energetique|recalage_qualite|retard_approvisionnement,2
"halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102",Halcyon Hevecam,T4,,Sub-Saharan Africa,temperate_mixed,33,0.01,heatwave,maritime_storm,env:heatwave|outbound:maritime_storm,"halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102:033:heatwave",6710a156a67f4acb,0.9707,1.0624,1.0439,1.0,1.0624,0.0,0.1846,0.2439,87.53,congestion_logistique_outbound|overtime_energetique|recalage_qualite|retard_approvisionnement,2
"halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102",Halcyon Hevecam,T4,,Sub-Saharan Africa,temperate_mixed,34,0.01,none,none,none,,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,100.0,nominal,0
"halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102",Halcyon Hevecam,T4,,Sub-Saharan Africa,temperate_mixed,35,0.01,cold,none,env:cold,"halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102:035:cold",,0.998,1.0034,1.0009,1.0,1.0,0.0,0.0,0.0285,99.37,froid_transport_ou_site|overtime_energetique,1
"halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102",Halcyon Hevecam,T4,,Sub-Saharan Africa,temperate_mixed,36,0.01,cold,none,env:cold,"halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102:036:cold",,0.9961,1.0067,1.0017,1.0,1.0,0.0,0.0,0.0558,98.78,froid_transport_ou_site|overtime_energetique,1
"halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102",Halcyon Hevecam,T4,,Sub-Saharan Africa,temperate_mixed,37,0.01,cold,none,env:cold,"halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102:037:cold",6710a156a67f4acb,0.9894,1.0272,1.0012,1.0,1.0272,0.0,0.091,0.091,96.2,froid_transport_ou_site|overtime_energetique,2
"halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102",Halcyon Hevecam,T4,,Sub-Saharan Africa,temperate_mixed,38,0.01,storm,none,env:storm,"halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102:038:storm",6710a156a67f4acb,0.8961,1.1974,1.0208,1.0,1.0308,0.0,0.1034,0.5195,73.31,capacite_appoint|capacite_meteo_degradee|maintenance_corrective_meteo|retard_approvisionnement,2
"halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102",Halcyon Hevecam,T4,,Sub-Saharan Africa,temperate_mixed,39,0.01,storm,maritime_storm,env:storm|outbound:maritime_storm,"halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102:039:storm",6710a156a67f4acb,0.9377,1.1183,1.0125,1.0,1.0722,0.0,0.2221,0.3113,82.82,capacite_meteo_degradee|congestion_logistique_outbound|maintenance_corrective_meteo|retard_approvisionnement,2
"halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102",Halcyon Hevecam,T4,,Sub-Saharan Africa,temperate_mixed,40,0.01,heatwave,maritime_storm,env:heatwave|outbound:maritime_storm,"halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102:040:heatwave",6710a156a67f4acb,0.9377,1.1341,1.0249,1.0,1.1341,0.0,0.4791,0.4791,80.67,capacite_meteo_degradee|congestion_logistique_outbound|overtime_energetique|retard_approvisionnement,2
"halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102",Halcyon Hevecam,T4,,Sub-Saharan Africa,temperate_mixed,41,0.01,heatwave,maritime_storm,env:heatwave|outbound:maritime_storm,"halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102:041:heatwave",6710a156a67f4acb,0.9398,1.101,1.0903,1.0,1.101,0.0,0.3608,0.5019,78.29,capacite_meteo_degradee|congestion_logistique_outbound|overtime_energetique|recalage_qualite|retard_approvisionnement,2
"halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102",Halcyon Hevecam,T4,,Sub-Saharan Africa,temperate_mixed,42,0.01,heatwave,none,env:heatwave,"halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102:042:heatwave",6710a156a67f4acb,0.9186,1.0407,1.1221,1.0,1.0053,0.0,0.0073,0.6785,78.66,capacite_meteo_degradee|overtime_energetique|recalage_qualite,2
"halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102",Halcyon Hevecam,T4,,Sub-Saharan Africa,temperate_mixed,43,0.01,heatwave,none,env:heatwave,"halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102:043:heatwave",6710a156a67f4acb,0.9225,1.0388,1.1163,1.0,1.0166,0.0,0.0226,0.6462,79.55,capacite_meteo_degradee|overtime_energetique|recalage_qualite,2
