path_id,record_index,role,node_uid,site_uid,supplier_id,site_id,name,location,country_code,lat,lon,supplier_status,is_primary,allocation_share_pct,component_mass_kg,path_mass_kg,source_confidence,site_quality
R001-P001,1,T4,"T4:alcoa@@alcoa@40.4406,-79.9959","alcoa@@alcoa@40.4406,-79.9959",alcoa,"alcoa@40.4406,-79.9959",Alcoa,"Newburgh, United States",US,37.9202921,-87.3302684,baseline_primary,True,100.0,3.6360048,3.6360048,medium_high,source_backed_or_medium_high
R001-P001,1,T3,"T3:amag_austria_metall@@amag_austria_metall@48.2267,13.0357","amag_austria_metall@@amag_austria_metall@48.2267,13.0357",amag_austria_metall,"amag_austria_metall@48.2267,13.0357",AMAG Austria Metall,Austria,AT,48.2266686,13.0356549,baseline_primary,True,100.0,3.6360048,3.6360048,high,source_backed_or_medium_high
R001-P001,1,T2,"T2:espace_-_internal_machining/forming_process__tier2_second_transformation@@espace_-_internal_machining/forming_process__tier2_second_transformation@44.7776436,-0.6475364","espace_-_internal_machining/forming_process__tier2_second_transformation@@espace_-_internal_machining/forming_process__tier2_second_transformation@44.7776436,-0.6475364",espace_-_internal_machining/forming_process__tier2_second_transformation,"espace_-_internal_machining/forming_process__tier2_second_transformation@44.7776436,-0.6475364",ESPACE - internal machining/forming process,France,FR,44.7776436,-0.6475364,baseline_primary_assumed_internalized_process,True,100.0,3.6360048,3.6360048,,unknown_or_legacy
R001-P001,1,T1,"T1:espace@@espace@44.7776,-0.6475","espace@@espace@44.7776,-0.6475",espace,"espace@44.7776,-0.6475",ESPACE,France,FR,44.7776436,-0.6475364,baseline_primary,True,100.0,3.6360048,3.6360048,,unknown_or_legacy
R001-P001,1,OEM,"OEM:safran_seats_safran_internal_group@@safran_seats_safran_internal_group@48.8125,1.9495","safran_seats_safran_internal_group@@safran_seats_safran_internal_group@48.8125,1.9495",safran_seats_safran_internal_group,"safran_seats_safran_internal_group@48.8125,1.9495",Safran Seats / Safran internal group,France,FR,48.8125,1.9495,baseline_primary,True,100.0,3.6360048,3.6360048,high,source_backed_or_medium_high
R002-P001,2,T4,"T4:saarstahl@@saarstahl@49.3594,7.1715","saarstahl@@saarstahl@49.3594,7.1715",saarstahl,"saarstahl@49.3594,7.1715",Saarstahl,Germany,DE,49.3593951,7.1714727,baseline_primary,True,100.0,0.022,0.022,,unknown_or_legacy
R002-P001,2,T3,"T3:aubert_duval@@aubert_duval@45.7772,3.087","aubert_duval@@aubert_duval@45.7772,3.087",aubert_duval,"aubert_duval@45.7772,3.087",Aubert & Duval,"Les Ancizes-Comps, France",FR,45.9235016,2.8415731,baseline_primary,True,100.0,0.022,0.022,medium_high,source_backed_or_medium_high
R002-P001,2,T2,"T2:mga_villeneuve_st_lot_-_internal_machining/forming_process__tier2_second_transformation@@mga_villeneuve_st_lot_-_internal_machining/forming_process__tier2_second_transformation@44.3974711,0.7316929","mga_villeneuve_st_lot_-_internal_machining/forming_process__tier2_second_transformation@@mga_villeneuve_st_lot_-_internal_machining/forming_process__tier2_second_transformation@44.3974711,0.7316929",mga_villeneuve_st_lot_-_internal_machining/forming_process__tier2_second_transformation,"mga_villeneuve_st_lot_-_internal_machining/forming_process__tier2_second_transformation@44.3974711,0.7316929",MGA Villeneuve St Lot - internal machining/forming process,France,FR,44.3974711,0.7316929,baseline_primary_assumed_internalized_process,True,100.0,0.022,0.022,,unknown_or_legacy
R002-P001,2,T1,"T1:mga_villeneuve_st_lot@@mga_villeneuve_st_lot@44.3975,0.7317","mga_villeneuve_st_lot@@mga_villeneuve_st_lot@44.3975,0.7317",mga_villeneuve_st_lot,"mga_villeneuve_st_lot@44.3975,0.7317",MGA Villeneuve St Lot,France,FR,44.3974711,0.7316929,baseline_primary,True,100.0,0.022,0.022,,unknown_or_legacy
R002-P001,2,OEM,"OEM:safran_seats_safran_internal_group@@safran_seats_safran_internal_group@48.8125,1.9495","safran_seats_safran_internal_group@@safran_seats_safran_internal_group@48.8125,1.9495",safran_seats_safran_internal_group,"safran_seats_safran_internal_group@48.8125,1.9495",Safran Seats / Safran internal group,France,FR,48.8125,1.9495,baseline_primary,True,100.0,0.022,0.022,high,source_backed_or_medium_high
R003-P001,3,T4,"T4:mitsubishi_chemical@@mitsubishi_chemical@35.6812,139.7671","mitsubishi_chemical@@mitsubishi_chemical@35.6812,139.7671",mitsubishi_chemical,"mitsubishi_chemical@35.6812,139.7671",Mitsubishi Chemical,"Tielt, Belgium",BE,50.9997611,3.3450176,baseline_primary,True,100.0,0.0001731,0.0001731,low,source_backed_or_medium_high
R003-P001,3,T3,"T3:toray_industries@@toray_industries@35.6866,139.7746","toray_industries@@toray_industries@35.6866,139.7746",toray_industries,"toray_industries@35.6866,139.7746",Toray Industries,"Nagoya / Aichi, Japan",JP,35.08880103081,136.90424935333,baseline_primary,True,100.0,0.0001731,0.0001731,medium_high,source_backed_or_medium_high
R003-P001,3,T2,"T2:ensinger@@ensinger@48.501,8.8202","ensinger@@ensinger@48.501,8.8202",ensinger,"ensinger@48.501,8.8202",Ensinger,Germany,DE,48.5010122,8.8201999,baseline_primary,True,100.0,0.0001731,0.0001731,,unknown_or_legacy
R003-P001,3,T1,"T1:espace@@espace@44.7776,-0.6475","espace@@espace@44.7776,-0.6475",espace,"espace@44.7776,-0.6475",ESPACE,France,FR,44.7776436,-0.6475364,baseline_primary,True,100.0,0.0001731,0.0001731,,unknown_or_legacy
R003-P001,3,OEM,"OEM:safran_seats_safran_internal_group@@safran_seats_safran_internal_group@48.8125,1.9495","safran_seats_safran_internal_group@@safran_seats_safran_internal_group@48.8125,1.9495",safran_seats_safran_internal_group,"safran_seats_safran_internal_group@48.8125,1.9495",Safran Seats / Safran internal group,France,FR,48.8125,1.9495,baseline_primary,True,100.0,0.0001731,0.0001731,high,source_backed_or_medium_high
R004-P001,4,T4,"T4:basf__tier4_raw_material@@basf__tier4_raw_material@49.481,8.435","basf__tier4_raw_material@@basf__tier4_raw_material@49.481,8.435",basf__tier4_raw_material,"basf__tier4_raw_material@49.481,8.435",BASF,Germany,DE,49.481,8.435,baseline_primary_assumed_material_source,True,100.0,0.392,0.392,medium_high,source_backed_or_medium_high
R004-P001,4,T3,"T3:epodex@@epodex@48.8456,2.3249","epodex@@epodex@48.8456,2.3249",epodex,"epodex@48.8456,2.3249",EPODEX,France,FR,48.845562,2.3249361,baseline_primary,True,100.0,0.392,0.392,,unknown_or_legacy
R004-P001,4,T2,"T2:sika@@sika@40.6998,-73.9244","sika@@sika@40.6998,-73.9244",sika,"sika@40.6998,-73.9244",Sika,United States,US,40.6997868,-73.9244291,baseline_primary_inferred_after_business_review,True,100.0,0.392,0.392,,unknown_or_legacy
R004-P001,4,T1,"T1:mga_villeneuve_st_lot@@mga_villeneuve_st_lot@44.3975,0.7317","mga_villeneuve_st_lot@@mga_villeneuve_st_lot@44.3975,0.7317",mga_villeneuve_st_lot,"mga_villeneuve_st_lot@44.3975,0.7317",MGA Villeneuve St Lot,France,FR,44.3974711,0.7316929,baseline_primary,True,100.0,0.392,0.392,,unknown_or_legacy
