activity_name,exchange_name,exchange_category,label,value,delta_kgco2e,abs_delta_amount,exchange_unit,mapping_status,row_count
Accoudoir allee,"market for electricity, low voltage",energy,"Accoudoir allee -> market for electricity, low voltage",3575.590009725,3575.590009725,5457.252522508,kilowatt hour,mapped_exchange,53107
Ensemble coque,"market for electricity, low voltage",energy,"Ensemble coque -> market for electricity, low voltage",914.499077058,914.499077058,6346.548623629,kilowatt hour,mapped_exchange,5930
Ensemble palette optimisee,"market for electricity, low voltage",energy,"Ensemble palette optimisee -> market for electricity, low voltage",708.929857802,708.929857802,10407.038866476,kilowatt hour,mapped_exchange,13134
systeme IFE boitier,SDD scrap replacement production calibrated by component intensity,scrap_rework,systeme IFE boitier -> SDD scrap replacement production calibrated by component intensity,621.931982042,621.931982042,7.631924668,kg replacement component output,virtual_exchange_proxy,285
ecran seat,SDD scrap replacement production calibrated by component intensity,scrap_rework,ecran seat -> SDD scrap replacement production calibrated by component intensity,587.258863247,587.258863247,12.038087062,kg replacement component output,virtual_exchange_proxy,873
systeme IFE boitier,SDD backup supplier overhead calibrated by component intensity,supplier_overhead,systeme IFE boitier -> SDD backup supplier overhead calibrated by component intensity,565.65189876,565.65189876,5.851608,kg overhead-equivalent backup output,virtual_exchange_proxy,474
Ensemble porte,"market for electricity, low voltage",energy,"Ensemble porte -> market for electricity, low voltage",464.918859832,464.918859832,1537.976566332,kilowatt hour,mapped_exchange,21986
Accoudoir allee,market for lubricating oil,maintenance_consumable,Accoudoir allee -> market for lubricating oil,446.023191395,446.023191395,0.132717513,kilogram,mapped_exchange,32768
Accoudoir allee,SDD scrap replacement production calibrated by component intensity,scrap_rework,Accoudoir allee -> SDD scrap replacement production calibrated by component intensity,337.243993981,337.243993981,510.839723733,kg replacement component output,virtual_exchange_proxy,12812
Ensemble structure fixe,"market for electricity, low voltage",energy,"Ensemble structure fixe -> market for electricity, low voltage",279.235410411,279.235410411,2476.906043552,kilowatt hour,mapped_exchange,13336
Support et clamps,"market for electricity, low voltage",energy,"Support et clamps -> market for electricity, low voltage",198.918869599,198.918869599,1174.0739239,kilowatt hour,mapped_exchange,5737
Accoudoir allee,SDD avoided virgin material credit calibrated by family profile,recycling_credit,Accoudoir allee -> SDD avoided virgin material credit calibrated by family profile,-185.598567135,-185.598567135,433.765826055,kg scrap recovered,virtual_exchange_proxy,12812
Accoudoir allee,SDD backup supplier overhead calibrated by component intensity,supplier_overhead,Accoudoir allee -> SDD backup supplier overhead calibrated by component intensity,184.14649996,184.14649996,293.0914758,kg overhead-equivalent backup output,virtual_exchange_proxy,15247
ecran seat,SDD backup supplier overhead calibrated by component intensity,supplier_overhead,ecran seat -> SDD backup supplier overhead calibrated by component intensity,162.814929409,162.814929409,4.78100565,kg overhead-equivalent backup output,virtual_exchange_proxy,728
Lightning,SDD scrap replacement production calibrated by component intensity,scrap_rework,Lightning -> SDD scrap replacement production calibrated by component intensity,152.764840953,152.764840953,2.120056775,kg replacement component output,virtual_exchange_proxy,247
Lightning,SDD backup supplier overhead calibrated by component intensity,supplier_overhead,Lightning -> SDD backup supplier overhead calibrated by component intensity,149.005029244,149.005029244,2.06751645,kg overhead-equivalent backup output,virtual_exchange_proxy,382
Ensemble tablette cocktail,"market for electricity, low voltage",energy,"Ensemble tablette cocktail -> market for electricity, low voltage",144.527912561,144.527912561,9493.266475551,kilowatt hour,mapped_exchange,14139
ENS Structure fauteuil,"market for electricity, low voltage",energy,"ENS Structure fauteuil -> market for electricity, low voltage",120.403813799,120.403813799,4075.277217433,kilowatt hour,mapped_exchange,5388
Coussin Ottoman,site electricity/gas capacity proxy,proxy_unmapped,Coussin Ottoman -> site electricity/gas capacity proxy,101.76227795,101.76227795,119.720327,kg output supported by capacity boost,proxy_unmapped,6201
