site_uid,world_region,weather_profile,roles,supplier,country_code,lat,lon,month_index,climate_progress,warming_delta_c,hazard_intensification_factor,heatwave_factor,drought_factor,storm_factor,hurricane_factor,cold_factor,temp_c,humidity_pct,precip_mm,wind_ms,heat_index_c,heatwave,drought,storm_stress,hurricane,cold_stress,event_label
"halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102",Sub-Saharan Africa,temperate_mixed,T4,Halcyon Hevecam,,2.9406,9.9102,1,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,23.55,81.31,74.99,5.59,26.45,0.0,0.0,0.0,0.0,0.0,none
"halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102",Sub-Saharan Africa,temperate_mixed,T4,Halcyon Hevecam,,2.9406,9.9102,2,0.004184,0.0092,1.0008,1.0014,1.001,1.0006,1.0008,0.9997,25.22,78.07,82.61,5.55,27.86,0.0,0.0,0.0,0.0,0.0,none
"halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102",Sub-Saharan Africa,temperate_mixed,T4,Halcyon Hevecam,,2.9406,9.9102,3,0.008368,0.0184,1.0018,1.0031,1.0022,1.0014,1.0018,0.9994,28.6,74.67,92.45,5.35,30.97,0.0,0.0,0.0,0.0,0.0,none
"halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102",Sub-Saharan Africa,temperate_mixed,T4,Halcyon Hevecam,,2.9406,9.9102,4,0.012552,0.0276,1.0029,1.0049,1.0036,1.0023,1.0029,0.999,32.59,71.74,146.29,9.89,34.73,0.0736,0.0,0.4284,0.0,0.0,heatwave|storm
"halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102",Sub-Saharan Africa,temperate_mixed,T4,Halcyon Hevecam,,2.9406,9.9102,5,0.016736,0.0368,1.0041,1.0068,1.005,1.0032,1.0041,0.9986,35.94,62.79,68.01,4.53,37.36,0.4957,0.0,0.0,0.0,0.0,heatwave
"halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102",Sub-Saharan Africa,temperate_mixed,T4,Halcyon Hevecam,,2.9406,9.9102,6,0.020921,0.046,1.0053,1.0088,1.0064,1.0041,1.0053,0.9982,37.71,57.07,61.37,3.98,38.68,0.72,0.0,0.0,0.0,0.0,heatwave
"halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102",Sub-Saharan Africa,temperate_mixed,T4,Halcyon Hevecam,,2.9406,9.9102,7,0.025105,0.0552,1.0065,1.0108,1.0079,1.0051,1.0065,0.9978,37.54,56.04,58.92,3.79,38.42,0.6996,0.0,0.0,0.0,0.0,heatwave
"halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102",Sub-Saharan Africa,temperate_mixed,T4,Halcyon Hevecam,,2.9406,9.9102,8,0.029289,0.0644,1.0078,1.0129,1.0095,1.006,1.0078,0.9974,35.69,60.08,61.32,4.35,36.9,0.4673,0.0,0.0,0.0,0.0,heatwave
"halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102",Sub-Saharan Africa,temperate_mixed,T4,Halcyon Hevecam,,2.9406,9.9102,9,0.033473,0.0736,1.009,1.0151,1.0111,1.007,1.009,0.997,32.9,68.29,67.96,4.85,34.76,0.1143,0.0,0.0,0.0,0.0,heatwave
"halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102",Sub-Saharan Africa,temperate_mixed,T4,Halcyon Hevecam,,2.9406,9.9102,10,0.037657,0.0828,1.0104,1.0173,1.0127,1.0081,1.0104,0.9965,30.05,78.74,87.19,6.21,32.75,0.0,0.0,0.0,0.0,0.0,none
"halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102",Sub-Saharan Africa,temperate_mixed,T4,Halcyon Hevecam,,2.9406,9.9102,11,0.041841,0.0921,1.0117,1.0195,1.0143,1.0091,1.0117,0.9961,27.53,81.88,127.54,10.42,30.48,0.0,0.0,0.2737,0.0,0.0201,storm|cold
"halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102",Sub-Saharan Africa,temperate_mixed,T4,Halcyon Hevecam,,2.9406,9.9102,12,0.046025,0.1013,1.0131,1.0218,1.016,1.0102,1.0131,0.9956,26.73,84.16,97.37,5.6,29.87,0.0,0.0,0.0199,0.0,0.0,storm
"halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102",Sub-Saharan Africa,temperate_mixed,T4,Halcyon Hevecam,,2.9406,9.9102,13,0.050209,0.1105,1.0144,1.024,1.0176,1.0112,1.0144,0.9952,26.7,85.18,110.71,5.53,29.92,0.0,0.0,0.1324,0.0,0.0,storm
"halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102",Sub-Saharan Africa,temperate_mixed,T4,Halcyon Hevecam,,2.9406,9.9102,14,0.054393,0.1197,1.0158,1.0264,1.0193,1.0123,1.0158,0.9947,27.56,84.76,115.03,5.3,30.74,0.0,0.0,0.169,0.0,0.0,storm
"halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102",Sub-Saharan Africa,temperate_mixed,T4,Halcyon Hevecam,,2.9406,9.9102,15,0.058577,0.1289,1.0172,1.0287,1.0211,1.0134,1.0172,0.9943,28.99,82.95,109.18,4.93,32.02,0.0,0.0,0.1197,0.0,0.0,storm
"halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102",Sub-Saharan Africa,temperate_mixed,T4,Halcyon Hevecam,,2.9406,9.9102,16,0.062762,0.1381,1.0186,1.0311,1.0228,1.0145,1.0186,0.9938,30.68,80.11,88.86,4.44,33.49,0.0,0.0,0.0,0.0,0.0,none
"halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102",Sub-Saharan Africa,temperate_mixed,T4,Halcyon Hevecam,,2.9406,9.9102,17,0.066946,0.1473,1.0201,1.0335,1.0245,1.0156,1.0201,0.9933,32.37,69.66,60.91,5.83,34.35,0.0484,0.0,0.0,0.0,0.0,heatwave
"halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102",Sub-Saharan Africa,temperate_mixed,T4,Halcyon Hevecam,,2.9406,9.9102,18,0.07113,0.1565,1.0215,1.0359,1.0263,1.0167,1.0215,0.9928,33.79,61.19,69.26,8.19,35.09,0.2322,0.0,0.0,0.0,0.0,heatwave
"halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102",Sub-Saharan Africa,temperate_mixed,T4,Halcyon Hevecam,,2.9406,9.9102,19,0.075314,0.1657,1.023,1.0383,1.0281,1.0179,1.023,0.9923,34.63,56.68,25.45,4.44,35.57,0.3414,0.0,0.0,0.0,0.0,heatwave
"halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102",Sub-Saharan Africa,temperate_mixed,T4,Halcyon Hevecam,,2.9406,9.9102,20,0.079498,0.1749,1.0245,1.0408,1.0299,1.019,1.0245,0.9918,34.57,57.13,44.22,4.93,35.54,0.3349,0.0,0.0,0.0,0.0,heatwave
"halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102",Sub-Saharan Africa,temperate_mixed,T4,Halcyon Hevecam,,2.9406,9.9102,21,0.083682,0.1841,1.026,1.0433,1.0317,1.0202,1.026,0.9913,33.41,62.3,67.77,5.3,34.79,0.184,0.0,0.0,0.0,0.0,heatwave
"halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102",Sub-Saharan Africa,temperate_mixed,T4,Halcyon Hevecam,,2.9406,9.9102,22,0.087866,0.1933,1.0275,1.0458,1.0336,1.0214,1.0275,0.9908,31.18,70.8,77.06,5.53,33.24,0.0,0.0,0.0,0.0,0.0,none
"halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102",Sub-Saharan Africa,temperate_mixed,T4,Halcyon Hevecam,,2.9406,9.9102,23,0.09205,0.2025,1.029,1.0483,1.0354,1.0225,1.029,0.9903,27.79,73.37,78.59,5.95,30.06,0.0,0.0,0.0,0.0,0.0288,cold
"halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102",Sub-Saharan Africa,temperate_mixed,T4,Halcyon Hevecam,,2.9406,9.9102,24,0.096234,0.2117,1.0305,1.0508,1.0373,1.0237,1.0305,0.9898,24.87,76.64,126.72,8.75,27.4,0.0,0.0,0.2706,0.0,0.0339,storm|cold
"halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102",Sub-Saharan Africa,temperate_mixed,T4,Halcyon Hevecam,,2.9406,9.9102,25,0.100418,0.2209,1.032,1.0534,1.0391,1.0249,1.032,0.9893,23.54,80.02,150.14,9.05,26.34,0.0,0.0,0.471,0.0,0.0,storm
"halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102",Sub-Saharan Africa,temperate_mixed,T4,Halcyon Hevecam,,2.9406,9.9102,26,0.104603,0.2301,1.0335,1.0559,1.041,1.0261,1.0335,0.9888,23.31,82.89,115.03,4.85,26.35,0.0,0.0,0.1713,0.0,0.0,storm
"halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102",Sub-Saharan Africa,temperate_mixed,T4,Halcyon Hevecam,,2.9406,9.9102,27,0.108787,0.2393,1.0351,1.0585,1.0429,1.0273,1.0351,0.9883,25.04,84.72,109.18,4.35,28.22,0.0,0.0,0.1214,0.0,0.0,storm
"halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102",Sub-Saharan Africa,temperate_mixed,T4,Halcyon Hevecam,,2.9406,9.9102,28,0.112971,0.2485,1.0367,1.0611,1.0448,1.0285,1.0367,0.9878,28.35,85.19,94.72,3.79,31.56,0.0,0.0,0.0,0.0,0.0,none
"halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102",Sub-Saharan Africa,temperate_mixed,T4,Halcyon Hevecam,,2.9406,9.9102,29,0.117155,0.2577,1.0382,1.0637,1.0467,1.0297,1.0382,0.9873,32.29,77.07,67.64,3.98,34.86,0.039,0.0,0.0,0.0,0.0,heatwave
"halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102",Sub-Saharan Africa,temperate_mixed,T4,Halcyon Hevecam,,2.9406,9.9102,30,0.121339,0.2669,1.0398,1.0663,1.0486,1.031,1.0398,0.9867,35.64,69.57,60.71,4.53,37.6,0.4845,0.0,0.0,0.0,0.0,heatwave
"halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102",Sub-Saharan Africa,temperate_mixed,T4,Halcyon Hevecam,,2.9406,9.9102,31,0.125523,0.2762,1.0414,1.069,1.0506,1.0322,1.0414,0.9862,37.27,64.53,95.46,8.61,38.83,0.7039,0.0,0.0039,0.0,0.0,heatwave|storm
"halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102",Sub-Saharan Africa,temperate_mixed,T4,Halcyon Hevecam,,2.9406,9.9102,32,0.129707,0.2854,1.043,1.0716,1.0525,1.0334,1.043,0.9857,36.63,63.02,93.17,8.5,38.08,0.6207,0.0,0.0,0.0,0.0,heatwave
"halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102",Sub-Saharan Africa,temperate_mixed,T4,Halcyon Hevecam,,2.9406,9.9102,33,0.133891,0.2946,1.0446,1.0743,1.0545,1.0347,1.0446,0.9851,33.94,65.17,61.03,5.55,35.56,0.2609,0.0,0.0,0.0,0.0,heatwave
"halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102",Sub-Saharan Africa,temperate_mixed,T4,Halcyon Hevecam,,2.9406,9.9102,34,0.138075,0.3038,1.0462,1.0769,1.0564,1.0359,1.0462,0.9846,30.12,70.13,48.73,5.59,32.13,0.0,0.0,0.0,0.0,0.0,none
"halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102",Sub-Saharan Africa,temperate_mixed,T4,Halcyon Hevecam,,2.9406,9.9102,35,0.142259,0.313,1.0478,1.0796,1.0584,1.0372,1.0478,0.9841,25.99,69.23,40.67,5.82,27.93,0.0,0.0,0.0,0.0,0.028,cold
"halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102",Sub-Saharan Africa,temperate_mixed,T4,Halcyon Hevecam,,2.9406,9.9102,36,0.146444,0.3222,1.0494,1.0823,1.0604,1.0384,1.0494,0.9835,23.28,69.78,63.42,5.87,25.26,0.0,0.0,0.0,0.0,0.0549,cold
"halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102",Sub-Saharan Africa,temperate_mixed,T4,Halcyon Hevecam,,2.9406,9.9102,37,0.150628,0.3314,1.051,1.085,1.0624,1.0397,1.051,0.983,23.39,71.68,93.81,5.28,25.52,0.0,0.0,0.0,0.0,0.0405,cold
"halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102",Sub-Saharan Africa,temperate_mixed,T4,Halcyon Hevecam,,2.9406,9.9102,38,0.154812,0.3406,1.0527,1.0878,1.0644,1.041,1.0527,0.9824,26.04,74.59,159.08,8.56,28.41,0.0,0.0,0.5558,0.0,0.0,storm
"halcyon_hevecam@@halcyon_hevecam@2.9406,9.9102",Sub-Saharan Africa,temperate_mixed,T4,Halcyon Hevecam,,2.9406,9.9102,39,0.158996,0.3498,1.0543,1.0905,1.0664,1.0422,1.0543,0.9819,29.42,77.98,133.33,6.05,32.05,0.0,0.0,0.3329,0.0,0.0,storm
