month_index,classical_kgCO2e,td_dlca_kgCO2e,sdd_kgCO2e,surimpact_total,backup_material,premium_transport,scrap_rework,capacity_energy,maintenance,backlog_penalty,backup_output_kg,premium_output_kg,oem_backlog_kg,max_path_backlog_kg,avg_oem_service_level,avg_path_disruption_index,affected_path_count
1,1296.747542,1321.448004,1496.415116,174.967112,92.692422,0.0,13.912388,49.848008,18.430015,0.084278,8.069497,0.0,0.0,0.0,1.0,0.7722,172
2,1296.747542,1315.883078,1412.072424,96.189346,35.164749,0.0,11.296649,36.426188,13.262234,0.039526,3.425152,0.0,0.0,0.0,1.0,0.6074,172
3,1296.747542,1314.120927,1394.534251,80.413325,27.598099,0.0,12.227297,29.588328,10.915849,0.083751,2.369905,0.0,0.0,0.0,1.0,0.547,172
4,1296.747542,1315.239763,1408.585539,93.345775,42.307226,0.0,10.044147,29.946082,11.009873,0.038446,3.282008,0.0,0.0,0.0,1.0,0.57,172
5,1296.747542,1309.129532,1365.157549,56.028017,28.270517,2e-06,4.906018,15.393346,7.192139,0.265995,2.83082,0.0,4.925086,0.483646,0.9621,0.3864,172
6,1296.747542,1317.799805,1522.860645,205.06084,132.029415,0.0,17.401652,39.772886,15.838182,0.018706,11.620661,0.0,0.0,0.0,1.0,0.6569,172
7,1296.747542,1323.126673,1589.839909,266.713236,139.867818,0.387877,39.185622,63.499214,23.643121,0.129584,11.241011,0.04275,2.54701,0.250118,0.9804,0.796,172
8,1296.747542,1321.872678,1505.793758,183.92108,71.039827,0.0,20.879864,69.557662,22.419622,0.024105,7.503724,0.0,0.0,0.0,1.0,0.7859,172
9,1296.747542,1323.775167,1598.6758,274.900633,175.855514,0.0,13.801196,63.172611,22.070516,0.000796,15.545094,0.0,0.0,0.0,1.0,0.839,172
10,1296.747542,1321.108318,1650.377442,329.269124,240.621261,7.556259,16.280588,47.221269,17.474301,0.115445,19.998554,1.216052,0.0,0.0,1.0,0.7668,172
11,1296.747542,1322.60001,1644.227854,321.627844,246.825819,0.177459,18.434353,40.260334,15.848819,0.08106,20.297624,0.037749,0.0,0.0,1.0,0.8036,172
12,1296.747542,1318.267252,1467.283002,149.01575,75.128166,0.0,21.083644,38.492133,14.170382,0.141425,6.905589,0.0,0.0,0.0,1.0,0.6644,172
13,1296.747542,1313.103133,1470.230015,157.126883,98.306144,0.0,15.130002,30.927664,12.72696,0.036113,8.484004,0.0,0.0,0.0,1.0,0.5428,172
14,1296.747542,1314.90398,1537.741817,222.837837,162.586761,0.0,21.716084,26.301631,12.174585,0.058777,13.11278,0.0,0.350864,0.034455,0.9973,0.5675,172
15,1296.747542,1318.486412,1409.951811,91.465399,19.608154,0.0,11.723175,44.14892,15.96871,0.016441,2.131772,0.0,0.0,0.0,1.0,0.6382,172
16,1296.747542,1317.204883,1408.281259,91.076376,15.057166,0.0,7.418987,49.88947,18.701733,0.00902,2.111737,0.0,0.0,0.0,1.0,0.6128,172
17,1296.747542,1323.071517,1404.262313,81.190796,9.268002,0.0,11.800359,43.297777,16.749706,0.074952,1.440316,0.0,0.0,0.0,1.0,0.812,172
18,1296.747542,1313.554587,1438.43979,124.885204,56.429246,1e-06,20.193183,35.078343,13.131868,0.052562,3.804683,0.0,0.0,0.0,1.0,0.5398,172
19,1296.747542,1317.18901,1540.562423,223.373413,119.162053,15.353168,36.952779,37.164472,14.724313,0.016628,9.152791,2.43904,0.0,0.0,1.0,0.6206,172
20,1296.747542,1317.021726,1659.67591,342.654183,258.896208,0.0,25.764732,42.4211,15.56165,0.010493,20.679613,0.0,0.0,0.0,1.0,0.6249,172
21,1296.747542,1318.535653,1811.821345,493.285691,409.160036,0.0,19.477592,46.692874,17.953192,0.001997,33.38931,0.0,0.0,0.0,1.0,0.6995,172
22,1296.747542,1314.977331,1764.33706,449.359729,390.848276,0.0,17.0698,28.286509,13.075706,0.079437,33.343577,0.0,0.0,0.0,1.0,0.5934,172
23,1296.747542,1318.323933,1631.677002,313.353069,234.788662,0.0,18.747434,42.220569,17.563029,0.033375,20.87639,0.0,0.0,0.0,1.0,0.659,172
24,1296.747542,1319.66144,1575.03483,255.373389,170.001634,0.02429,17.962523,47.966009,19.407236,0.011698,14.147177,0.003262,0.0,0.0,1.0,0.6762,172
25,1296.747542,1320.940129,1490.743618,169.803489,74.891733,0.0,27.219107,48.643953,18.996528,0.052168,5.629656,0.0,0.0,0.0,1.0,0.7457,172
26,1296.747542,1320.008922,1457.697359,137.688437,45.199805,0.0,26.314561,48.262362,17.869457,0.042251,4.682009,0.0,0.0,0.0,1.0,0.7209,172
27,1296.747542,1316.688907,1468.314088,151.625181,81.642533,0.0,18.483317,37.052104,14.354526,0.092701,7.311912,0.0,0.0,0.0,1.0,0.6401,172
28,1296.747542,1318.276727,1584.252678,265.975951,186.784791,0.0,28.125099,36.40879,14.606788,0.050484,14.77134,0.0,0.0,0.0,1.0,0.6743,172
29,1296.747542,1315.834743,1409.394681,93.559938,42.199459,0.0,14.986715,26.229126,10.112781,0.031858,3.869293,0.0,0.0,0.0,1.0,0.59,172
30,1296.747542,1312.760598,1408.210884,95.450286,46.936814,0.0,13.198763,25.813988,9.48785,0.012872,3.740108,0.0,0.0,0.0,1.0,0.5021,172
31,1296.747542,1316.265969,1576.885474,260.619505,196.502121,0.0,16.694155,32.693788,14.711376,0.018065,14.922658,0.0,0.0,0.0,1.0,0.605,172
32,1296.747542,1324.818112,1745.716523,420.898411,334.119549,0.0,14.490913,51.14856,21.092867,0.046522,28.482862,0.0,0.0,0.0,1.0,0.8434,172
33,1296.747542,1325.453856,1912.434574,586.980719,478.951767,0.0,17.354511,65.869753,24.794855,0.009832,39.765371,0.0,0.0,0.0,1.0,0.875,172
34,1296.747542,1326.567694,1706.056361,379.488667,277.754819,0.0,18.956384,60.222725,22.410945,0.143794,25.44574,0.0,0.0,0.0,1.0,0.9259,172
35,1296.747542,1318.851756,1616.790887,297.93913,207.71527,0.0,22.079652,51.143058,16.936621,0.064529,17.366336,0.0,0.0,0.0,1.0,0.6897,172
36,1296.747542,1318.928019,1488.238763,169.310744,96.229971,0.0,16.283383,41.723299,15.065918,0.008172,7.774946,0.0,0.0,0.0,1.0,0.6892,172
37,1296.747542,1316.722257,1440.028892,123.306635,51.007824,0.0,21.557921,35.685293,14.971741,0.083857,3.60921,0.0,0.0,0.0,1.0,0.6161,172
38,1296.747542,1314.719978,1421.793342,107.073364,25.936137,0.0,17.905773,46.649146,16.570539,0.01177,2.274531,0.0,0.0,0.0,1.0,0.5568,172
39,1296.747542,1311.64664,1445.597242,133.950602,82.475198,0.0,15.757149,24.28773,11.119836,0.31069,6.763027,0.0,2.673699,0.262558,0.9794,0.4605,172
40,1296.747542,1316.25735,1460.060917,143.803567,76.255542,0.0,11.93568,41.290725,14.321563,5.7e-05,7.700834,0.0,0.0,0.0,1.0,0.5946,155
41,1296.747542,1320.718896,1450.239279,129.520383,50.936376,0.0,12.894405,46.727659,18.740986,0.220957,4.457532,0.0,4.262343,0.418564,0.9672,0.7111,172
42,1296.747542,1322.79457,1516.199286,193.404716,104.565593,0.0,15.650337,53.067181,20.071663,0.049942,8.569765,0.0,0.0,0.0,1.0,0.7979,172
43,1296.747542,1320.057518,1484.581712,164.524195,61.552382,0.0,33.086278,50.931994,18.84619,0.107352,4.60885,0.0,0.0,0.0,1.0,0.7218,172
44,1296.747542,1315.677155,1861.66647,545.989315,468.373712,0.0,24.920537,36.936957,15.743041,0.015068,34.930919,0.0,0.0,0.0,1.0,0.6182,172
