flow_uid,edge,from_site_uid,to_site_uid,from_name,to_name,from_country_code,to_country_code,from_region,to_region,route_region,distance_km,allocated_mass_kg,allocated_kg_km,month_index,climate_progress,warming_delta_c,maritime_hazard_intensification_factor,maritime_storm_factor,maritime_hurricane_factor,maritime_cold_factor,maritime_storm,maritime_hurricane,maritime_cold,maritime_monsoon,maritime_risk_index,delay_multiplier,capacity_multiplier
3cc6b4e202e68bad,T4->T3,"alcoa@@alcoa@40.4406,-79.9959","amag_austria_metall@@amag_austria_metall@48.2267,13.0357",Alcoa,AMAG Austria Metall,US,AT,North America,Europe,North Atlantic,7635.5,58.921985,449899.0,1,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
3cc6b4e202e68bad,T4->T3,"alcoa@@alcoa@40.4406,-79.9959","amag_austria_metall@@amag_austria_metall@48.2267,13.0357",Alcoa,AMAG Austria Metall,US,AT,North America,Europe,North Atlantic,7635.5,58.921985,449899.0,2,0.004184,0.0092,1.0006,1.0006,1.0008,1.0002,0.0,0.0,0.0,0.0,0.0,1.0,1.0
3cc6b4e202e68bad,T4->T3,"alcoa@@alcoa@40.4406,-79.9959","amag_austria_metall@@amag_austria_metall@48.2267,13.0357",Alcoa,AMAG Austria Metall,US,AT,North America,Europe,North Atlantic,7635.5,58.921985,449899.0,3,0.008368,0.0184,1.0013,1.0014,1.0018,1.0004,0.0,0.0,0.0,0.0,0.0,1.0,1.0
3cc6b4e202e68bad,T4->T3,"alcoa@@alcoa@40.4406,-79.9959","amag_austria_metall@@amag_austria_metall@48.2267,13.0357",Alcoa,AMAG Austria Metall,US,AT,North America,Europe,North Atlantic,7635.5,58.921985,449899.0,4,0.012552,0.0276,1.002,1.0023,1.0029,1.0007,0.0,0.0,0.0,0.0,0.0,1.0,1.0
3cc6b4e202e68bad,T4->T3,"alcoa@@alcoa@40.4406,-79.9959","amag_austria_metall@@amag_austria_metall@48.2267,13.0357",Alcoa,AMAG Austria Metall,US,AT,North America,Europe,North Atlantic,7635.5,58.921985,449899.0,5,0.016736,0.0368,1.0028,1.0032,1.0041,1.0009,0.0,0.0,0.0,0.0,0.0,1.0,1.0
3cc6b4e202e68bad,T4->T3,"alcoa@@alcoa@40.4406,-79.9959","amag_austria_metall@@amag_austria_metall@48.2267,13.0357",Alcoa,AMAG Austria Metall,US,AT,North America,Europe,North Atlantic,7635.5,58.921985,449899.0,6,0.020921,0.046,1.0037,1.0041,1.0053,1.0012,0.6085,0.0399,0.0,0.0,0.6085,1.1923,0.9121
3cc6b4e202e68bad,T4->T3,"alcoa@@alcoa@40.4406,-79.9959","amag_austria_metall@@amag_austria_metall@48.2267,13.0357",Alcoa,AMAG Austria Metall,US,AT,North America,Europe,North Atlantic,7635.5,58.921985,449899.0,7,0.025105,0.0552,1.0045,1.0051,1.0065,1.0014,0.9051,0.1502,0.0,0.0,0.9051,1.3361,0.8493
3cc6b4e202e68bad,T4->T3,"alcoa@@alcoa@40.4406,-79.9959","amag_austria_metall@@amag_austria_metall@48.2267,13.0357",Alcoa,AMAG Austria Metall,US,AT,North America,Europe,North Atlantic,7635.5,58.921985,449899.0,8,0.029289,0.0644,1.0054,1.006,1.0078,1.0017,0.5401,0.2466,0.0,0.0,0.5401,1.2868,0.8755
3cc6b4e202e68bad,T4->T3,"alcoa@@alcoa@40.4406,-79.9959","amag_austria_metall@@amag_austria_metall@48.2267,13.0357",Alcoa,AMAG Austria Metall,US,AT,North America,Europe,North Atlantic,7635.5,58.921985,449899.0,9,0.033473,0.0736,1.0063,1.007,1.009,1.002,0.154,0.237,0.0,0.0,0.237,1.1735,0.9278
3cc6b4e202e68bad,T4->T3,"alcoa@@alcoa@40.4406,-79.9959","amag_austria_metall@@amag_austria_metall@48.2267,13.0357",Alcoa,AMAG Austria Metall,US,AT,North America,Europe,North Atlantic,7635.5,58.921985,449899.0,10,0.037657,0.0828,1.0072,1.0081,1.0104,1.0023,0.0235,0.0361,0.0,0.0,0.0361,1.0264,0.989
3cc6b4e202e68bad,T4->T3,"alcoa@@alcoa@40.4406,-79.9959","amag_austria_metall@@amag_austria_metall@48.2267,13.0357",Alcoa,AMAG Austria Metall,US,AT,North America,Europe,North Atlantic,7635.5,58.921985,449899.0,11,0.041841,0.0921,1.0081,1.0091,1.0117,1.0026,0.0,0.0,0.0,0.0,0.0,1.0,1.0
3cc6b4e202e68bad,T4->T3,"alcoa@@alcoa@40.4406,-79.9959","amag_austria_metall@@amag_austria_metall@48.2267,13.0357",Alcoa,AMAG Austria Metall,US,AT,North America,Europe,North Atlantic,7635.5,58.921985,449899.0,12,0.046025,0.1013,1.0091,1.0102,1.0131,1.0029,0.0,0.0,0.0,0.0,0.0,1.0,1.0
3cc6b4e202e68bad,T4->T3,"alcoa@@alcoa@40.4406,-79.9959","amag_austria_metall@@amag_austria_metall@48.2267,13.0357",Alcoa,AMAG Austria Metall,US,AT,North America,Europe,North Atlantic,7635.5,58.921985,449899.0,13,0.050209,0.1105,1.01,1.0112,1.0144,1.0032,0.0,0.0,0.0,0.0,0.0,1.0,1.0
3cc6b4e202e68bad,T4->T3,"alcoa@@alcoa@40.4406,-79.9959","amag_austria_metall@@amag_austria_metall@48.2267,13.0357",Alcoa,AMAG Austria Metall,US,AT,North America,Europe,North Atlantic,7635.5,58.921985,449899.0,14,0.054393,0.1197,1.011,1.0123,1.0158,1.0035,0.2592,0.0,0.0,0.0,0.2592,1.0726,0.9663
3cc6b4e202e68bad,T4->T3,"alcoa@@alcoa@40.4406,-79.9959","amag_austria_metall@@amag_austria_metall@48.2267,13.0357",Alcoa,AMAG Austria Metall,US,AT,North America,Europe,North Atlantic,7635.5,58.921985,449899.0,15,0.058577,0.1289,1.012,1.0134,1.0172,1.0038,0.7863,0.0,0.0,0.0,0.7863,1.2202,0.8978
3cc6b4e202e68bad,T4->T3,"alcoa@@alcoa@40.4406,-79.9959","amag_austria_metall@@amag_austria_metall@48.2267,13.0357",Alcoa,AMAG Austria Metall,US,AT,North America,Europe,North Atlantic,7635.5,58.921985,449899.0,16,0.062762,0.1381,1.0129,1.0145,1.0186,1.0041,0.6706,0.0,0.0,0.0,0.6706,1.1878,0.9128
3cc6b4e202e68bad,T4->T3,"alcoa@@alcoa@40.4406,-79.9959","amag_austria_metall@@amag_austria_metall@48.2267,13.0357",Alcoa,AMAG Austria Metall,US,AT,North America,Europe,North Atlantic,7635.5,58.921985,449899.0,17,0.066946,0.1473,1.0139,1.0156,1.0201,1.0045,0.0,0.0,0.0,0.0,0.0,1.0,1.0
3cc6b4e202e68bad,T4->T3,"alcoa@@alcoa@40.4406,-79.9959","amag_austria_metall@@amag_austria_metall@48.2267,13.0357",Alcoa,AMAG Austria Metall,US,AT,North America,Europe,North Atlantic,7635.5,58.921985,449899.0,18,0.07113,0.1565,1.015,1.0167,1.0215,1.0048,0.0158,0.0244,0.0,0.0,0.0244,1.0178,0.9926
3cc6b4e202e68bad,T4->T3,"alcoa@@alcoa@40.4406,-79.9959","amag_austria_metall@@amag_austria_metall@48.2267,13.0357",Alcoa,AMAG Austria Metall,US,AT,North America,Europe,North Atlantic,7635.5,58.921985,449899.0,19,0.075314,0.1657,1.016,1.0179,1.023,1.0051,0.088,0.1354,0.0,0.0,0.1354,1.0991,0.9588
3cc6b4e202e68bad,T4->T3,"alcoa@@alcoa@40.4406,-79.9959","amag_austria_metall@@amag_austria_metall@48.2267,13.0357",Alcoa,AMAG Austria Metall,US,AT,North America,Europe,North Atlantic,7635.5,58.921985,449899.0,20,0.079498,0.1749,1.017,1.019,1.0245,1.0054,0.1651,0.254,0.0,0.0,0.254,1.1859,0.9227
3cc6b4e202e68bad,T4->T3,"alcoa@@alcoa@40.4406,-79.9959","amag_austria_metall@@amag_austria_metall@48.2267,13.0357",Alcoa,AMAG Austria Metall,US,AT,North America,Europe,North Atlantic,7635.5,58.921985,449899.0,21,0.083682,0.1841,1.018,1.0202,1.026,1.0058,0.1842,0.2834,0.0,0.0,0.2834,1.2074,0.9137
3cc6b4e202e68bad,T4->T3,"alcoa@@alcoa@40.4406,-79.9959","amag_austria_metall@@amag_austria_metall@48.2267,13.0357",Alcoa,AMAG Austria Metall,US,AT,North America,Europe,North Atlantic,7635.5,58.921985,449899.0,22,0.087866,0.1933,1.0191,1.0214,1.0275,1.0061,0.0578,0.089,0.0,0.0,0.089,1.0651,0.9729
3cc6b4e202e68bad,T4->T3,"alcoa@@alcoa@40.4406,-79.9959","amag_austria_metall@@amag_austria_metall@48.2267,13.0357",Alcoa,AMAG Austria Metall,US,AT,North America,Europe,North Atlantic,7635.5,58.921985,449899.0,23,0.09205,0.2025,1.0201,1.0225,1.029,1.0064,0.6033,0.0,0.0,0.0,0.6033,1.1689,0.9216
3cc6b4e202e68bad,T4->T3,"alcoa@@alcoa@40.4406,-79.9959","amag_austria_metall@@amag_austria_metall@48.2267,13.0357",Alcoa,AMAG Austria Metall,US,AT,North America,Europe,North Atlantic,7635.5,58.921985,449899.0,24,0.096234,0.2117,1.0212,1.0237,1.0305,1.0068,0.8203,0.0,0.0,0.0,0.8203,1.2297,0.8934
3cc6b4e202e68bad,T4->T3,"alcoa@@alcoa@40.4406,-79.9959","amag_austria_metall@@amag_austria_metall@48.2267,13.0357",Alcoa,AMAG Austria Metall,US,AT,North America,Europe,North Atlantic,7635.5,58.921985,449899.0,25,0.100418,0.2209,1.0222,1.0249,1.032,1.0071,0.3736,0.0,0.0,0.0,0.3736,1.1046,0.9514
3cc6b4e202e68bad,T4->T3,"alcoa@@alcoa@40.4406,-79.9959","amag_austria_metall@@amag_austria_metall@48.2267,13.0357",Alcoa,AMAG Austria Metall,US,AT,North America,Europe,North Atlantic,7635.5,58.921985,449899.0,26,0.104603,0.2301,1.0233,1.0261,1.0335,1.0075,0.0,0.0,0.0,0.0,0.0,1.0,1.0
3cc6b4e202e68bad,T4->T3,"alcoa@@alcoa@40.4406,-79.9959","amag_austria_metall@@amag_austria_metall@48.2267,13.0357",Alcoa,AMAG Austria Metall,US,AT,North America,Europe,North Atlantic,7635.5,58.921985,449899.0,27,0.108787,0.2393,1.0244,1.0273,1.0351,1.0078,0.0104,0.0,0.0371,0.0,0.0371,1.0111,0.9957
3cc6b4e202e68bad,T4->T3,"alcoa@@alcoa@40.4406,-79.9959","amag_austria_metall@@amag_austria_metall@48.2267,13.0357",Alcoa,AMAG Austria Metall,US,AT,North America,Europe,North Atlantic,7635.5,58.921985,449899.0,28,0.112971,0.2485,1.0255,1.0285,1.0367,1.0081,0.0,0.0,0.0,0.0,0.0,1.0,1.0
3cc6b4e202e68bad,T4->T3,"alcoa@@alcoa@40.4406,-79.9959","amag_austria_metall@@amag_austria_metall@48.2267,13.0357",Alcoa,AMAG Austria Metall,US,AT,North America,Europe,North Atlantic,7635.5,58.921985,449899.0,29,0.117155,0.2577,1.0265,1.0297,1.0382,1.0085,0.0,0.0,0.0,0.0,0.0,1.0,1.0
3cc6b4e202e68bad,T4->T3,"alcoa@@alcoa@40.4406,-79.9959","amag_austria_metall@@amag_austria_metall@48.2267,13.0357",Alcoa,AMAG Austria Metall,US,AT,North America,Europe,North Atlantic,7635.5,58.921985,449899.0,30,0.121339,0.2669,1.0276,1.031,1.0398,1.0088,0.0044,0.0067,0.0,0.0,0.0067,1.0049,0.9979
3cc6b4e202e68bad,T4->T3,"alcoa@@alcoa@40.4406,-79.9959","amag_austria_metall@@amag_austria_metall@48.2267,13.0357",Alcoa,AMAG Austria Metall,US,AT,North America,Europe,North Atlantic,7635.5,58.921985,449899.0,31,0.125523,0.2762,1.0287,1.0322,1.0414,1.0092,0.3534,0.1147,0.0,0.0,0.3534,1.162,0.9288
3cc6b4e202e68bad,T4->T3,"alcoa@@alcoa@40.4406,-79.9959","amag_austria_metall@@amag_austria_metall@48.2267,13.0357",Alcoa,AMAG Austria Metall,US,AT,North America,Europe,North Atlantic,7635.5,58.921985,449899.0,32,0.129707,0.2854,1.0298,1.0334,1.043,1.0095,0.9699,0.2522,0.0,0.0,0.9699,1.4103,0.8184
3cc6b4e202e68bad,T4->T3,"alcoa@@alcoa@40.4406,-79.9959","amag_austria_metall@@amag_austria_metall@48.2267,13.0357",Alcoa,AMAG Austria Metall,US,AT,North America,Europe,North Atlantic,7635.5,58.921985,449899.0,33,0.133891,0.2946,1.0309,1.0347,1.0446,1.0099,0.8835,0.3201,0.0,0.0,0.8835,1.4235,0.8147
