record_indices,blocker,current_chain_issue,proposed_solution,evidence,confidence,simulation_action,sources
"17,25,167",Combigo as aluminium T2,"Combigo is active as T2 on A2017/A2024 aluminium lines, while the LCA/BOM says supplier/process is SUMPAR for these accoudoir aluminium rows.",Replace T2=Combigo with SUMPAR internal machining/sheet-metal/process node. Keep T1=SUMPAR. Move or remove Combigo from industrial supply tiers.,"quantity_material.xlsx BOM exact rows: ACCOUDOIR ALLEE A2017/A2024 -> supplier SUMPAR, process USINAGE/TOLERIE, transport CAMION. SUMPAR states it supplies metal parts/sub-assemblies for aircraft and covers machining, sheet metal work and assembly. Combigo public profile is a travel-arrangements company.",high,Set T2 supplier_status=baseline_primary_assumed_internalized_process; process_owner=SUMPAR; mode T1->OEM=truck. Exclude Combigo from material/process tiers.,LOCAL_LCA: data/quantity_material.xlsx | SUMPAR: https://www.sumpar.com/en/ | COMBIGO: https://www.linkedin.com/company/combigo/
18,Combigo as aluminium T2 and wrong direct supplier,"Ens. Stowage lateral A2017 currently routes via Combigo/SUMPAR, but LCA/BOM exact row says MGA.",Replace T1=SUMPAR with MGA Villeneuve-sur-Lot and replace T2=Combigo with MGA internal machining/forming process.,"quantity_material.xlsx BOM exact row: ENS STOWAGE LATERAL A2017 -> supplier MGA, process USINAGE/PLIAGE, transport CAMION. MGA is documented as aerospace subcontractor for equipped parts and mechanical sub-assemblies with aluminium machining capability.",high,Set primary chain Alcoa/AMAG -> MGA internal process -> MGA -> Safran. Keep other aluminium suppliers as inactive scenarios.,LOCAL_LCA: data/quantity_material.xlsx | MGA: https://www.lafrenchfab.fr/entreprise/mga-groupe-arm/ | COMBIGO: https://www.linkedin.com/company/combigo/
19,Combigo as aluminium T2,Palette optimisee A2017 uses Combigo as T2 but LCA/BOM says SUMPAR.,Replace T2=Combigo with SUMPAR internal machining/forming process; keep T1=SUMPAR.,"quantity_material.xlsx BOM exact row: ENSEMBLE PALETTE OPTIMISEE A2017 -> supplier SUMPAR, process USINAGES, transport CAMION.",high,Use SUMPAR as process owner and direct supplier. Remove Combigo from active path.,LOCAL_LCA: data/quantity_material.xlsx | SUMPAR: https://www.sumpar.com/en/ | COMBIGO: https://www.linkedin.com/company/combigo/
"20,26",Combigo as aluminium T2 and wrong direct supplier,"Tablette cocktail A2017/A2024 currently routes via Combigo/SUMPAR, but LCA/BOM exact rows say MGA.",Replace T1=SUMPAR with MGA and T2=Combigo with MGA internal machining process.,"quantity_material.xlsx BOM exact rows: ENS TABLETTE COCKTAIL A2017/A2024 -> supplier MGA, process USINAGE, transport CAMION.",high,Set process_owner=MGA; T1=MGA; T1->OEM=truck.,LOCAL_LCA: data/quantity_material.xlsx | MGA: https://www.lafrenchfab.fr/entreprise/mga-groupe-arm/ | COMBIGO: https://www.linkedin.com/company/combigo/
"21,22,23,24,27,28",Combigo as aluminium T2 and wrong direct supplier,"Several A2017/A2024 parts currently route via Combigo/SUMPAR, but LCA/BOM exact rows point to ETS Gattefin.",Replace T1=SUMPAR with ETS Gattefin and T2=Combigo with Gattefin internal machining process.,"quantity_material.xlsx exact rows: Tablette repas, Tetiere, Stowage assemble avec porte, Support ecran -> supplier GATTEFIN, transport CAMION. Gattefin is a precision machining and large-dimension machining company with aerospace sector activity.",high,Set process_owner=ETS Gattefin; T1=ETS Gattefin; keep T4/T3 aluminium source as material scenario until certificate.,LOCAL_LCA: data/quantity_material.xlsx | GATTEFIN: https://gattefin.fr/ | COMBIGO: https://www.linkedin.com/company/combigo/
"54,55",Combigo as aluminium T2 and wrong direct supplier,"Structure fauteuil A2017/A2024 currently routes via Combigo/SUMPAR, while LCA/BOM exact rows say Senior Aerospace Thailand.",Replace T1=SUMPAR with Senior Aerospace Thailand and T2=Combigo with Senior internal machining/special process/assembly.,"quantity_material.xlsx BOM exact rows: ENS STRUCTURE FAUTEUIL A2017/A2024 -> supplier SENIOR AEROSPACE THAILAND, transport AVION. Senior Thailand documents precision machining from billet aluminium, surface treatments and complete seat-structure assemblies for Safran Seats France/GB.",high,"Set T2=Senior internal process; T1=Senior Aerospace Thailand; T1->OEM mode=air+truck for ACV baseline, with sea+truck as cost/CO2 scenario.",LOCAL_LCA: data/quantity_material.xlsx | SENIOR_TH: https://www.senior-thailand.com/Web/what_we_do | LAEM_CHABANG: https://lcp.port.co.th/cs/internet/lcp/Information.html | NANTES_PORT: https://www.nantes.port.fr/en
"157,174,175",MGR Foamtex as aluminium T2,"Seat-level aluminium aggregate lines use MGR Foamtex as T2, but MGR Foamtex is a foam/upholstery/interiors supplier, not an aluminium structural processor.",Do not use these aggregate seat aluminium rows as active component supply paths. Either mark them scenario_aggregate_only or replace T2 with unknown aluminium structural processor under the real seat T1 after BOM validation.,"MGR Foamtex product pages describe SoftWall, foam systems and StyleCover upholstery. The mass confidence is low/global material family; the detailed aluminium component rows already carry better ACV matches.",high,"Set simulation_supply_usable=false for active network, or keep as aggregate mass scenario only. Do not use MGR in aluminium T2. Use detailed A2017/A2024/A5086 records for aluminium stress tests.",LOCAL_LCA: data/quantity_material.xlsx | MGR: https://www.mgrfoamtex.com/products-2
"86,87,88,89,90",FRMC55 with steel upstream,"Cushion FRMC55 rows use Saarstahl/Aubert & Duval upstream, but LCA/BOM defines FRMC55 as fire-retardant flexible polyurethane foam and supplier FRANKLIN.",Replace steel upstream with PU/textile chain: T4=BASF or unknown PU chemistry source; T3=unknown certified foam/fabric source; T2=FRANKLIN internal cutting/gluing; T1=FRANKLIN direct cushion supplier.,"quantity_material.xlsx: FRMC55 = EU28 polyurethane flexible foam with flame retardant. Cushion rows list process DECOUPES/COLLAGES, family SELLERIE, supplier FRANKLIN, Poland, transport AVION. BASF aerospace seating source supports PU/TPU/FST seating materials.",high for removing steel; medium for BASF as active T4 without grade certificate,Remove Saarstahl/Aubert from these FRMC55 active paths. Use FRANKLIN as direct supplier path; T1->OEM=air+truck per ACV. Keep BASF as candidate/assumption unless grade certificate confirms.,LOCAL_LCA: data/quantity_material.xlsx | BASF_SEATING: https://aerospace.basf.com/seating-components.html
91,FRMC55 with steel upstream,"Stowage lateral FRMC55 row uses steel upstream and FRANKLIN/ESPACE, but LCA/BOM exact row points to MGA.","Treat this as a small FRMC55 foam/material line embedded in the MGA stowage assembly: T4=unknown/BASF PU chemistry, T3=unknown foam source, T2=MGA internal integration, T1=MGA.","quantity_material.xlsx BOM: ENS STOWAGE LATERAL FRMC55 -> supplier MGA, process USINAGE/PLIAGE, transport CAMION.",medium_high,Attach FRMC55 mass to MGA assembly path; do not route through steel mills.,LOCAL_LCA: data/quantity_material.xlsx | MGA: https://www.lafrenchfab.fr/entreprise/mga-groupe-arm/ | BASF_SEATING: https://aerospace.basf.com/seating-components.html
"92,93",FRMC55 with steel upstream,"Manchette FRMC55 rows use steel upstream and FRANKLIN/ESPACE, while LCA/BOM exact rows point to MGR Angleterre.",Replace steel upstream with PU foam chain and use MGR Foamtex as foam/interior supplier candidate for these manchette rows.,"quantity_material.xlsx BOM: MANCHETTE ACC MOBILE and MANCHETTE EQUIPEE FRMC55 -> supplier MGR ANGLETERRE, transport TRAIN. MGR Foamtex documents aircraft interior foam/upholstery systems.",high for removing steel; medium for exact site/routing,Set T2/T1 material supplier=MGR Foamtex for FRMC55 manchette lines or keep T1 assembly owner separate if drawing confirms ACH assembly.,LOCAL_LCA: data/quantity_material.xlsx | MGR: https://www.mgrfoamtex.com/products-2 | BASF_SEATING: https://aerospace.basf.com/seating-components.html
