record_index,system,component,family,mass_kg,source_mass_kg,mass_policy,lca_use_class,lca_confidence,readiness,issue_codes,total_route_km,kg_km,modes,t4,t3,t2,t1,oem
54,Ens. Structure fauteuil,A2017 - Aluminium,aluminium,12.7611,12.7611,include_exact_component,quantitative_ready,high,primary_complete_needs_validation,baseline_node_is_assumption,25977.9,331506.6,internal|ship|truck,Alcoa,AMAG Austria Metall,Senior Aerospace Thailand - internal machining/forming process,Senior Aerospace Thailand,Safran Seats / Safran internal group
110,Ens. Coque,NIDA - GLO (moulage par injection plastique),polymer_plastic,8.439,8.439,include_exact_component,quantitative_ready,high,primary_complete_needs_validation,baseline_node_is_assumption,28338.4,239147.8,ship|truck,Mitsubishi Chemical,Toray Industries,Ensinger,JAMCO Aircraft Interiors - Niigata,Safran Seats / Safran internal group
55,Ens. Structure fauteuil,A2024 - Aluminium,aluminium,5.659,5.659,include_exact_component,quantitative_ready,high,primary_complete_needs_validation,baseline_node_is_assumption,25977.9,147008.9,internal|ship|truck,Alcoa,AMAG Austria Metall,Senior Aerospace Thailand - internal machining/forming process,Senior Aerospace Thailand,Safran Seats / Safran internal group
19,Ens. Palette optimisée,A2017 - Aluminium,aluminium,12.333,12.333,include_exact_component,quantitative_ready,high,primary_complete_needs_validation,baseline_node_is_assumption,8594.1,105991.0,internal|ship|truck,Alcoa,AMAG Austria Metall,SUMPAR - internal machining/forming process,SUMPAR,Safran Seats / Safran internal group
67,Ens. Palette optimisée,Alu,aluminium,12.547571,12.5475707,include_baseline_estimate,usable_for_baseline,medium_high,primary_complete_needs_validation,baseline_node_is_assumption;material_certificate_required,7801.1,97884.9,internal|ship|truck,Aluminium Corporation of China / Chalco,Euralliage Ile de France,SUMPAR - internal machining/forming process,SUMPAR,Safran Seats / Safran internal group
68,Ensemble porte,Alu,aluminium,6.872,6.872,include_with_review,usable_with_review,medium,primary_complete_needs_validation,baseline_node_is_assumption;lca_mass_requires_review;material_certificate_required,7801.1,53609.2,internal|ship|truck,Aluminium Corporation of China / Chalco,Euralliage Ile de France,SUMPAR - internal machining/forming process,SUMPAR,Safran Seats / Safran internal group
112,Support clamps,nylon,textile_leather,1.284,1.284,include_baseline_estimate,usable_for_baseline,medium_high,primary_ready_topology,,27592.4,35428.6,ship|truck,Mitsubishi Chemical,Toray Industries,Ensinger,AmSafe,Safran Seats / Safran internal group
23,Stowage assemblé avec porte,A2017 - Aluminium,aluminium,3.956,3.956,include_exact_component,quantitative_ready,high,primary_complete_needs_validation,baseline_node_is_assumption,8639.0,34175.9,internal|ship|truck,Alcoa,AMAG Austria Metall,ETS Gattefin - internal machining/forming process,ETS Gattefin,Safran Seats / Safran internal group
1,Ens. Equipements latéraux,A5086 - Aluminium,aluminium,3.636005,3.6360048,include_exact_component,quantitative_ready,high,primary_complete_needs_validation,baseline_node_is_assumption,9239.1,33593.4,internal|ship|truck,Alcoa,AMAG Austria Metall,ESPACE - internal machining/forming process,ESPACE,Safran Seats / Safran internal group
20,Ens. Tablette cocktail,A2017 - Aluminium,aluminium,3.523,3.523,include_exact_component,quantitative_ready,high,primary_complete_needs_validation,baseline_node_is_assumption,9170.1,32306.3,internal|ship|truck,Alcoa,AMAG Austria Metall,MGA Villeneuve St Lot - internal machining/forming process,MGA Villeneuve St Lot,Safran Seats / Safran internal group
51,Ens. Structure fauteuil,35NC6 (nickel-chrome),steel,1.417,1.417,include_exact_component,quantitative_ready,high,primary_complete_needs_validation,baseline_node_is_assumption;material_certificate_required,19649.7,27843.6,internal|ship|truck,Saarstahl,Aubert & Duval,Senior Aerospace Thailand - internal machining/forming process,Senior Aerospace Thailand,Safran Seats / Safran internal group
