year_week,shortage_weeks,shortage_repetition
2025|01,0.0,0.0
2025|05,0.0,0.0
2025|09,0.0,0.0
2025|14,0.0,0.0
2025|18,0.0,0.0
2025|22,0.0,0.0
2025|27,0.0,0.0
2025|31,0.0,0.0
2025|35,0.0,0.0
2025|40,0.0,0.0
2025|44,0.0,0.0
2025|48,0.0,0.0
2026|01,0.0,0.0
2026|05,0.0,0.0
2026|09,5.0,4.0
2026|10,5.0,4.0
2026|11,6.0,3.0
2026|12,6.0,5.0
2026|13,6.0,5.0
2026|14,6.0,5.0
2026|15,11.0,6.0
2026|16,5.0,3.0
2026|17,4.0,2.0
2026|18,5.0,3.0
2026|19,5.0,4.0
2026|20,6.0,5.0
2026|21,4.0,3.0
2026|22,3.0,3.0
2026|23,5.0,4.0
2026|24,6.0,4.0
2026|25,4.0,4.0
2026|26,6.0,4.0
