policy_name,policy_label,week,material,inbound_transport,production_energy,outbound_transport,storage,scrap,total
baseline,Reference,1,600.0,24.0,264.0,5.4,2.46,0.0,895.86
baseline,Reference,2,0.0,0.0,0.0,5.4,2.28,0.0,7.68
baseline,Reference,3,200.0,8.0,80.0,5.4,2.6999999999999997,0.0,296.09999999999997
baseline,Reference,4,600.0,24.0,228.0,5.4,7.62,0.0,865.02
baseline,Reference,5,60.0,2.4000000000000004,21.6,5.4,8.43,0.0,97.83000000000001
baseline,Reference,6,60.0,2.4000000000000004,20.4,5.4,8.34,0.0,96.54
baseline,Reference,7,60.0,2.4000000000000004,19.200000000000003,5.4,8.25,0.0,95.25
baseline,Reference,8,60.0,2.4000000000000004,18.0,5.4,9.06,0.0,94.86000000000001
baseline,Reference,9,72.0,2.8800000000000003,3.456,36.0,8.046,0.0,122.382
baseline,Reference,10,72.0,2.8800000000000003,2.8800000000000003,36.0,7.032,0.0,120.79199999999999
baseline,Reference,11,72.0,2.8800000000000003,2.8800000000000003,36.0,6.017999999999999,0.0,119.77799999999999
baseline,Reference,12,72.0,2.8800000000000003,3.456,36.0,5.0040000000000004,0.0,119.34
baseline,Reference,13,72.0,2.8800000000000003,4.032000000000001,18.0,4.62,0.0,101.532
baseline,Reference,14,72.0,2.8800000000000003,4.6080000000000005,6.48,4.62,0.0,90.58800000000001
baseline,Reference,15,72.0,2.8800000000000003,5.184,6.48,4.62,0.0,91.164
baseline,Reference,16,72.0,2.8800000000000003,5.760000000000001,6.48,4.62,0.0,91.74000000000001
baseline,Reference,17,144.0,5.760000000000001,12.672,12.96,4.5,0.0,179.892
baseline,Reference,18,144.0,5.760000000000001,13.824,12.96,4.38,0.0,180.924
baseline,Reference,19,144.0,5.760000000000001,14.976,12.96,4.26,0.0,181.956
baseline,Reference,20,144.0,5.760000000000001,16.128000000000004,12.96,4.14,0.0,182.988
