week,classical_reconstructed_weekly_kgCO2e,dynamic_weekly_kgCO2e,sdd_weekly_kgCO2e,classical_cumulative_kgCO2e,dynamic_cumulative_kgCO2e,sdd_cumulative_kgCO2e,sdd_minus_dynamic_cumulative,sdd_minus_lca_cumulative
1,353.07369230769234,412.11999999999995,412.11999999999995,353.07369230769234,412.11999999999995,412.11999999999995,0.0,59.04630769230761
2,297.3107692307692,348.41,348.41,650.3844615384616,760.53,760.53,0.0,110.14553846153842
3,241.48784615384616,283.792,283.792,891.8723076923077,1044.322,1044.322,0.0,152.4496923076922
4,353.07369230769234,415.522,415.522,1244.946,1459.8439999999998,1459.8439999999998,0.0,214.8979999999999
5,297.6707692307692,349.64,349.64,1542.616769230769,1809.484,1809.484,0.0,266.8672307692309
6,297.6707692307692,348.13,348.13,1840.2875384615381,2157.614,2157.614,0.0,317.3264615384619
7,327.1918461538461,390.595,390.595,2167.4793846153843,2548.209,2548.209,0.0,380.7296153846155
8,327.2218461538461,386.80799999999994,386.80799999999994,2494.7012307692303,2935.017,2935.017,0.0,440.31576923076955
9,327.1918461538461,382.125,382.125,2821.8930769230765,3317.142,3317.142,0.0,495.24892307692335
10,327.1618461538461,366.32099999999997,366.32099999999997,3149.0549230769225,3683.4629999999997,3683.4629999999997,0.0,534.4080769230773
11,356.7429230769231,394.00200000000007,394.00200000000007,3505.7978461538455,4077.4649999999997,4077.4649999999997,0.0,571.6671538461542
12,356.7129230769231,388.764,388.764,3862.510769230769,4466.228999999999,4466.228999999999,0.0,603.7182307692306
13,356.6829230769231,391.566,405.84,4219.193692307692,4857.794999999999,4872.0689999999995,14.274000000000342,652.8753076923076
14,356.5275230769231,387.89459999999997,401.88059999999996,4575.721215384615,5245.689599999999,5273.9496,28.260000000001128,698.228384615385
15,415.6306249230769,449.355548,465.54654800000003,4991.351840307691,5695.045147999999,5739.496148,44.45100000000093,748.1443076923088
16,415.5481851630769,447.53710824000007,463.77010824000007,5406.900025470768,6142.582256239999,6203.26625624,60.684000000001106,796.3662307692321
17,382.703672590043,393.45335212416,393.45335212416,5789.603698060811,6536.035608364159,6596.71960836416,60.684000000001106,807.1159103033488
18,356.8595591027271,366.9296320559136,366.9296320559136,6146.463257163538,6902.965240420072,6963.6492404200735,60.684000000001106,817.1859832565351
19,393.05558015134403,388.1016779418034,388.1016779418034,6539.518837314882,7291.066918361876,7351.750918361877,60.684000000001106,812.2320810469946
20,529.0479588009961,522.4270045425301,544.5145072679771,7068.566796115878,7813.493922904406,7896.265425629854,82.77150272544804,827.6986295139759
21,474.76181190043076,468.6005811312,468.6005811312,7543.328608016309,8282.094504035605,8364.866006761054,82.77150272544895,821.5373987447456
22,383.34114635344696,377.5783823888639,377.5783823888639,7926.6697543697555,8659.672886424469,8742.444389149918,82.77150272544895,815.7746347801622
23,396.69481092057487,388.7943002748296,388.7943002748296,8323.36456529033,9048.467186699298,9131.238689424747,82.77150272544895,807.874124134416
24,380.0035710538068,400.6837095153453,489.05730951534525,8703.368136344137,9449.150896214644,9620.295998940092,171.14510272544794,916.9278625959541
25,325.5779961861145,342.31172999534533,416.31570311534534,9028.946132530253,9791.462626209988,10036.611702055437,245.14907584544926,1007.6655695251848
26,317.6394899428746,330.58671608779366,402.52092920779364,9346.585622473127,10122.049342297782,10439.132631263232,317.08328896545027,1092.5470087901049
27,315.30416436969944,324.7024214035456,479.9154978835456,9661.889786842827,10446.751763701328,10919.048129146777,472.2963654454488,1257.1583423039501
28,404.7657214616592,403.3840603421182,516.0336042689022,10066.655508304486,10850.135824043446,11435.081733415678,584.9459093722326,1368.4262251111923
29,322.30398525778816,316.512554124875,406.4626812711995,10388.959493562274,11166.64837816832,11841.544414686878,674.8960365185576,1452.584921124604
30,335.70181424666515,329.85103212827687,423.7443556576252,10724.66130780894,11496.499410296597,12265.288770344503,768.7893600479056,1540.6274625355636
31,328.96193790804597,305.85348638530127,408.32679132947396,11053.623245716986,11802.3528966819,12673.615561673978,871.2626649920785,1619.9923159569917
32,363.892321369551,337.1380909375894,450.44323048867835,11417.515567086537,12139.490987619489,13124.058792162656,984.5678045431669,1706.5432250761187
33,344.7284160892507,318.8476354432883,426.1973523420236,11762.243983175787,12458.338623062777,13550.25614450468,1091.9175214419029,1788.012161328892
34,619.6331223641029,572.9687627487184,864.2935877487184,12381.87710553989,13031.307385811495,14414.549732253397,1383.2423464419026,2032.6726267135073
35,365.24533084392476,339.7484468025111,441.91720895997554,12747.122436383816,13371.055832614005,14856.466941213374,1485.4111085993682,2109.344504829558
36,363.10399679030536,335.6597171376444,437.1313921208033,13110.22643317412,13706.71554975165,15293.598333334177,1586.8827835825268,2183.3719001600566
37,345.46343931729285,318.67580734957323,415.1477184231087,13455.689872491414,14025.391357101224,15708.746051757285,1683.3546946560618,2253.056179265872
38,607.2639970461917,557.7355969379623,845.3853771959276,14062.953869537605,14583.126954039186,16554.131428953213,1971.004474914027,2491.177559415608
39,377.6250285899987,346.4178727192616,451.9220348826562,14440.578898127604,14929.544826758447,17006.05346383587,2076.5086370774225,2565.474565708266
40,363.684838062293,349.90342899288385,461.1726948485134,14804.263736189896,15279.448255751331,17467.22615868438,2187.7779029330504,2662.9624224944855
41,346.19229526709296,334.6988376901118,441.4580397429012,15150.45603145699,15614.147093441443,17908.684198427283,2294.5371049858404,2758.2281669702934
42,372.0188563759096,354.5413306066788,529.3055356066789,15522.4748878329,15968.688424048121,18437.989734033963,2469.3013099858417,2915.514846201064
43,314.250805099808,296.61143958596193,443.4496841939619,15836.725692932707,16265.299863634084,18881.439418227925,2616.1395545938412,3044.713725295218
44,517.488535253047,466.17712397744964,626.3812737619401,16354.214228185754,16731.47698761153,19507.820691989866,2776.343704378334,3153.6064638041116
45,343.6205414118409,302.96922730928253,400.5395223612378,16697.834769597594,17034.446214920816,19908.360214351105,2873.9139994302896,3210.5254447535117
46,391.6271335387457,340.85266509488974,452.3585171597282,17089.46190313634,17375.298880015704,20360.718731510835,2985.4198514951313,3271.256828374495
47,362.13931366109443,294.8986047685628,398.22868861087136,17451.601216797433,17670.197484784265,20758.947420121705,3088.7499353374405,3307.346203324272
48,469.516695625452,379.8808473942431,514.0394520274634,17921.117912422884,18050.07833217851,21272.98687214917,3222.90853997066,3351.8689597262855
49,382.49727383300404,308.57016450495763,417.91571216631337,18303.615186255887,18358.64849668347,21690.90258431548,3332.2540876320127,3387.287398059594
50,540.0108789744621,431.7376764800553,595.9416994177261,18843.62606523035,18790.386173163522,22286.844283733208,3496.4581105696852,3443.218218502858
51,369.2541762736292,296.2031564003016,401.67557238286173,19212.88024150398,19086.589329563823,22688.51985611607,3601.9305265522453,3475.6396146120896
52,460.5987689865759,371.23410815351156,481.2845409776022,19673.479010490555,19457.823437717336,23169.80439709367,3711.980959376335,3496.3253866031155
