policy_name,policy_label,week,material,inbound_transport,production_energy,outbound_transport,storage,backlog_penalty,total
baseline,Reference,1,500.0,20.0,13.3,60.0,14.700000000000001,0.0,608.0
baseline,Reference,2,522.5,20.9,17.556,66.0,10.5475,0.0,637.5035
baseline,Reference,3,450.0,18.0,11.97,72.0,5.7475000000000005,0.0,557.7175
baseline,Reference,4,0.0,0.0,0.0,60.0,0.24749999999999964,0.0,60.2475
baseline,Reference,5,642.2,67.45,17.556,65.39999999999999,1.75,1.8000000000000256,796.1560000000002
baseline,Reference,6,621.0,53.1,18.144000000000005,64.80000000000001,1.4,23.400000000000013,781.844
baseline,Reference,7,540.0,21.6,18.144000000000005,64.80000000000001,0.35,63.0,707.8940000000001
baseline,Reference,8,50.0,2.0,1.12,24.0,0.0,297.0,374.12
baseline,Reference,9,428.4,56.699999999999996,10.584,151.2,1.75,453.59999999999997,1102.234
baseline,Reference,10,396.0,44.1,10.584,151.2,3.15,574.2,1179.234
baseline,Reference,11,450.0,18.0,15.120000000000001,216.0,3.8499999999999996,628.2,1331.17
baseline,Reference,12,450.0,18.0,15.120000000000001,216.0,0.35,664.2,1363.67
baseline,Reference,13,50.0,2.0,1.12,24.0,0.0,826.2,903.32
baseline,Reference,14,150.0,6.0,3.3600000000000003,72.0,0.0,970.2,1201.56
baseline,Reference,15,500.0,20.0,13.3,240.0,0.0,1006.2,1779.5
baseline,Reference,16,500.0,20.0,13.3,240.0,0.0,1060.2,1833.5
baseline,Reference,17,50.0,2.0,1.12,24.0,0.0,1258.2,1335.3200000000002
baseline,Reference,18,150.0,6.0,3.3600000000000003,72.0,0.0,1402.2,1633.56
baseline,Reference,19,500.0,20.0,13.3,240.0,0.0,1402.2,2175.5
baseline,Reference,20,500.0,20.0,13.3,240.0,0.0,1384.2,2157.5
