policy_name,policy_label,same_week_service_pct,fill_rate_pct,final_backlog_units,peak_backlog_units,total_cost,classical_total_kgCO2e,time_dependent_dlca_total_kgCO2e,dynamic_total_kgCO2e,sddlca_total_kgCO2e,hidden_carbon_vs_td_dlca,hidden_carbon_vs_dynamic,hidden_carbon_vs_classical
rt52_rr22_fg12_bq10_air1_3_std,RT52 RR22 FG12 BQ10 Air1/3 STD,86.1,90.56,63.61,78.95,75323.87,17740.49,17623.45,17623.45,21176.63,3553.18,3553.18,3436.14
rt52_rr22_fg12_bq10_air1_3_ca,RT52 RR22 FG12 BQ10 Air1/3 CA,85.5,90.08,66.84,82.19,77970.69,17657.77,17529.45,17529.45,21333.01,3803.56,3803.56,3675.24
rt52_rr22_fg12_bq10_air3_6_std,RT52 RR22 FG12 BQ10 Air3/6 STD,86.13,90.58,63.5,78.84,75071.32,17740.17,17623.53,17623.53,21082.98,3459.44,3459.44,3342.81
rt52_rr22_fg12_bq10_air3_6_ca,RT52 RR22 FG12 BQ10 Air3/6 CA,85.64,90.14,66.49,81.83,77162.31,17657.97,17532.73,17532.73,21169.21,3636.48,3636.48,3511.24
rt52_rr22_fg12_bq10_air5_8_std,RT52 RR22 FG12 BQ10 Air5/8 STD,86.13,90.58,63.5,78.84,75071.32,17740.17,17623.53,17623.53,21082.98,3459.44,3459.44,3342.81
rt52_rr22_fg12_bq10_air5_8_ca,RT52 RR22 FG12 BQ10 Air5/8 CA,85.67,90.15,66.38,81.72,76642.98,17654.03,17528.16,17528.16,20959.38,3431.22,3431.22,3305.35
rt52_rr22_fg12_bq10_air8_12_std,RT52 RR22 FG12 BQ10 Air8/12 STD,86.16,90.59,63.41,78.75,74848.11,17739.2,17622.32,17622.32,21003.37,3381.05,3381.05,3264.17
rt52_rr22_fg12_bq10_air8_12_ca,RT52 RR22 FG12 BQ10 Air8/12 CA,85.67,90.15,66.38,81.72,76642.98,17654.03,17528.16,17528.16,20959.38,3431.22,3431.22,3305.35
rt52_rr22_fg12_bq12_air1_3_std,RT52 RR22 FG12 BQ12 Air1/3 STD,86.1,90.56,63.61,78.95,75323.87,17740.49,17623.45,17623.45,21176.63,3553.18,3553.18,3436.14
rt52_rr22_fg12_bq12_air1_3_ca,RT52 RR22 FG12 BQ12 Air1/3 CA,85.5,90.08,66.84,82.19,77970.69,17657.77,17529.45,17529.45,21333.01,3803.56,3803.56,3675.24
rt52_rr22_fg12_bq12_air3_6_std,RT52 RR22 FG12 BQ12 Air3/6 STD,86.13,90.58,63.5,78.84,75071.32,17740.17,17623.53,17623.53,21082.98,3459.44,3459.44,3342.81
rt52_rr22_fg12_bq12_air3_6_ca,RT52 RR22 FG12 BQ12 Air3/6 CA,85.64,90.14,66.49,81.83,77162.31,17657.97,17532.73,17532.73,21169.21,3636.48,3636.48,3511.24
rt52_rr22_fg12_bq12_air5_8_std,RT52 RR22 FG12 BQ12 Air5/8 STD,86.13,90.58,63.5,78.84,75071.32,17740.17,17623.53,17623.53,21082.98,3459.44,3459.44,3342.81
rt52_rr22_fg12_bq12_air5_8_ca,RT52 RR22 FG12 BQ12 Air5/8 CA,85.67,90.15,66.38,81.72,76642.98,17654.03,17528.16,17528.16,20959.38,3431.22,3431.22,3305.35
rt52_rr22_fg12_bq12_air8_12_std,RT52 RR22 FG12 BQ12 Air8/12 STD,86.16,90.59,63.41,78.75,74848.11,17739.2,17622.32,17622.32,21003.37,3381.05,3381.05,3264.17
rt52_rr22_fg12_bq12_air8_12_ca,RT52 RR22 FG12 BQ12 Air8/12 CA,85.67,90.15,66.38,81.72,76642.98,17654.03,17528.16,17528.16,20959.38,3431.22,3431.22,3305.35
rt52_rr22_fg12_bq14_air1_3_std,RT52 RR22 FG12 BQ14 Air1/3 STD,86.1,90.56,63.61,78.95,75323.87,17740.49,17623.45,17623.45,21176.63,3553.18,3553.18,3436.14
rt52_rr22_fg12_bq14_air1_3_ca,RT52 RR22 FG12 BQ14 Air1/3 CA,85.5,90.08,66.84,82.19,77970.69,17657.77,17529.45,17529.45,21333.01,3803.56,3803.56,3675.24
rt52_rr22_fg12_bq14_air3_6_std,RT52 RR22 FG12 BQ14 Air3/6 STD,86.13,90.58,63.5,78.84,75071.32,17740.17,17623.53,17623.53,21082.98,3459.44,3459.44,3342.81
rt52_rr22_fg12_bq14_air3_6_ca,RT52 RR22 FG12 BQ14 Air3/6 CA,85.64,90.14,66.49,81.83,77162.31,17657.97,17532.73,17532.73,21169.21,3636.48,3636.48,3511.24
rt52_rr22_fg12_bq14_air5_8_std,RT52 RR22 FG12 BQ14 Air5/8 STD,86.13,90.58,63.5,78.84,75071.32,17740.17,17623.53,17623.53,21082.98,3459.44,3459.44,3342.81
rt52_rr22_fg12_bq14_air5_8_ca,RT52 RR22 FG12 BQ14 Air5/8 CA,85.67,90.15,66.38,81.72,76642.98,17654.03,17528.16,17528.16,20959.38,3431.22,3431.22,3305.35
rt52_rr22_fg12_bq14_air8_12_std,RT52 RR22 FG12 BQ14 Air8/12 STD,86.16,90.59,63.41,78.75,74848.11,17739.2,17622.32,17622.32,21003.37,3381.05,3381.05,3264.17
rt52_rr22_fg12_bq14_air8_12_ca,RT52 RR22 FG12 BQ14 Air8/12 CA,85.67,90.15,66.38,81.72,76642.98,17654.03,17528.16,17528.16,20959.38,3431.22,3431.22,3305.35
rt52_rr22_fg12_bq16_air1_3_std,RT52 RR22 FG12 BQ16 Air1/3 STD,86.1,90.56,63.61,78.95,75323.87,17740.49,17623.45,17623.45,21176.63,3553.18,3553.18,3436.14
rt52_rr22_fg12_bq16_air1_3_ca,RT52 RR22 FG12 BQ16 Air1/3 CA,85.5,90.08,66.84,82.19,77970.69,17657.77,17529.45,17529.45,21333.01,3803.56,3803.56,3675.24
rt52_rr22_fg12_bq16_air3_6_std,RT52 RR22 FG12 BQ16 Air3/6 STD,86.13,90.58,63.5,78.84,75071.32,17740.17,17623.53,17623.53,21082.98,3459.44,3459.44,3342.81
rt52_rr22_fg12_bq16_air3_6_ca,RT52 RR22 FG12 BQ16 Air3/6 CA,85.64,90.14,66.49,81.83,77162.31,17657.97,17532.73,17532.73,21169.21,3636.48,3636.48,3511.24
rt52_rr22_fg12_bq16_air5_8_std,RT52 RR22 FG12 BQ16 Air5/8 STD,86.13,90.58,63.5,78.84,75071.32,17740.17,17623.53,17623.53,21082.98,3459.44,3459.44,3342.81
rt52_rr22_fg12_bq16_air5_8_ca,RT52 RR22 FG12 BQ16 Air5/8 CA,85.67,90.15,66.38,81.72,76642.98,17654.03,17528.16,17528.16,20959.38,3431.22,3431.22,3305.35
rt52_rr22_fg12_bq16_air8_12_std,RT52 RR22 FG12 BQ16 Air8/12 STD,86.16,90.59,63.41,78.75,74848.11,17739.2,17622.32,17622.32,21003.37,3381.05,3381.05,3264.17
rt52_rr22_fg12_bq16_air8_12_ca,RT52 RR22 FG12 BQ16 Air8/12 CA,85.67,90.15,66.38,81.72,76642.98,17654.03,17528.16,17528.16,20959.38,3431.22,3431.22,3305.35
rt52_rr22_fg16_bq10_air1_3_std,RT52 RR22 FG16 BQ10 Air1/3 STD,86.51,90.8,62.01,77.34,74233.2,17789.16,17685.64,17685.64,21263.08,3577.45,3577.45,3473.92
rt52_rr22_fg16_bq10_air1_3_ca,RT52 RR22 FG16 BQ10 Air1/3 CA,85.94,90.43,64.49,79.83,76072.45,17719.13,17603.22,17603.22,21239.7,3636.48,3636.48,3520.57
rt52_rr22_fg16_bq10_air3_6_std,RT52 RR22 FG16 BQ10 Air3/6 STD,86.55,90.82,61.88,77.22,73960.21,17789.3,17686.21,17686.21,21162.32,3476.11,3476.11,3373.02
