week,classical_reconstructed_weekly_kgCO2e,dynamic_weekly_kgCO2e,sdd_weekly_kgCO2e,classical_cumulative_kgCO2e,dynamic_cumulative_kgCO2e,sdd_cumulative_kgCO2e
1,821.99685,976.47,976.47,821.99685,976.47,976.47
2,8.56335,8.814,8.814,830.5602,985.284,985.284
3,280.06784999999996,324.442,379.252,1110.62805,1309.726,1364.536
4,827.15685,950.685,950.685,1937.7849,2260.411,2315.221
5,96.03869999999998,107.19,107.19,2033.8236000000002,2367.601,2422.411
6,95.94869999999997,105.80700000000002,105.80700000000002,2129.7723,2473.4080000000004,2528.218
7,95.85869999999997,104.87100000000001,104.87100000000001,2225.631,2578.2790000000005,2633.089
8,96.66869999999997,104.208,104.208,2322.2997,2682.4870000000005,2737.297
9,147.52542,141.0596,152.69,2469.82512,2823.5466000000006,2889.987
10,134.7890496,124.518816,134.37552,2604.6141696,2948.0654160000004,3024.36252
11,133.7635296,122.53512000000002,132.34536,2738.3776992,3070.6005360000004,3156.70788
12,132.7380096,121.073952,131.17072000000002,2871.1157088,3191.6744880000006,3287.8786
13,107.88246,101.373408,178.3896,2978.9981688,3293.0478960000005,3466.2682
14,97.1923872,92.142912,129.34192000000002,3076.190556,3385.1908080000003,3595.61012
15,90.72374409599998,86.74366848000001,122.08938239999999,3166.914300096,3471.9344764800003,3717.6995024
16,90.73113609599999,86.80998528000002,122.42086080000001,3257.6454361919996,3558.7444617600004,3840.1203631999997
17,176.67484819199996,160.81288128,231.6280512,3434.3202843839995,3719.5573430400004,4071.7484143999995
18,176.58386323199997,161.08133760000004,232.40784384000003,3610.9041476159996,3880.6386806400005,4304.156258239999
19,176.48594415359997,154.28366876159998,226.1162735616,3787.3900917695996,4034.9223494016005,4530.272531801599
20,176.38774771046397,154.786505278464,227.17693151846402,3963.7778394800634,4189.708854680064,4757.449463320063
