policy_name,policy_label,week,material,inbound_transport,production_energy,outbound_transport,storage,scrap,transport_mode,backup_inbound,backup_consumed_raw_units,good_output_backup_units,capacity_utilization,scrap_units,air_trigger_reason,total
baseline,Reference,1,200.0,8.0,39.9,18.0,1.44,0.0,truck,0.0,0.0,0.0,0.8333333333333334,0.0,none,267.34
baseline,Reference,2,209.0,8.36,47.651999999999994,19.8,1.077,13.948,truck,0.0,0.0,0.0,0.9166666666666666,0.55,none,299.837
baseline,Reference,3,180.0,7.2,29.924999999999997,21.6,0.6269999999999999,0.0,truck,0.0,0.0,0.0,0.75,0.0,none,239.352
baseline,Reference,4,0.0,0.0,0.0,18.0,0.026999999999999958,0.0,truck,0.0,0.0,0.0,0.0,0.0,none,18.027
baseline,Reference,5,235.60000000000002,36.29,56.43,19.619999999999997,0.15,17.28,truck,12.0,7.0,6.65,0.9166666666666666,0.55,none,365.37
baseline,Reference,6,234.0,27.54,62.208000000000006,19.44,0.12,35.972,truck,0.0,5.0,4.5,1.0,1.2000000000000002,none,379.28000000000003
baseline,Reference,7,216.0,8.64,67.39200000000001,19.44,0.03,32.448,truck,0.0,0.0,0.0,1.0,1.2000000000000002,none,343.94999999999993
baseline,Reference,8,20.0,0.8,4.48,10.0,0.0,0.0,air,0.0,0.0,0.0,0.14285714285714285,0.0,backlog_end_threshold,35.28
baseline,Reference,9,151.2,31.5,45.35999999999999,63.0,0.15,25.340000000000003,air,12.0,7.0,6.3,1.0,0.7000000000000001,backlog_start_and_end,316.54999999999995
baseline,Reference,10,144.0,23.94,43.84799999999999,63.0,0.27,23.532,air,0.0,5.0,4.5,1.0,0.7,backlog_start_and_end,298.59
baseline,Reference,11,180.0,7.2,54.0,90.0,0.32999999999999996,26.8,air,0.0,0.0,0.0,1.0,1.0,backlog_start_and_end,358.33
baseline,Reference,12,180.0,7.2,47.52,90.0,0.03,26.080000000000002,air,0.0,0.0,0.0,1.0,1.0,backlog_start_and_end,350.83
baseline,Reference,13,20.0,0.8,2.88,10.0,0.0,0.0,air,0.0,0.0,0.0,0.08333333333333333,0.0,backlog_start_and_end,33.68
baseline,Reference,14,60.0,2.4000000000000004,7.199999999999999,30.0,0.0,0.0,air,0.0,0.0,0.0,0.25,0.0,backlog_start_and_end,99.6
baseline,Reference,15,200.0,8.0,26.6,100.0,0.0,0.0,air,0.0,0.0,0.0,0.8333333333333334,0.0,backlog_start_and_end,334.6
baseline,Reference,16,200.0,8.0,30.400000000000002,100.0,0.0,0.0,air,0.0,0.0,0.0,0.8333333333333334,0.0,backlog_start_and_end,338.4
baseline,Reference,17,20.0,0.8,2.72,10.0,0.0,0.0,air,0.0,0.0,0.0,0.08333333333333333,0.0,backlog_start_and_end,33.519999999999996
baseline,Reference,18,60.0,2.4000000000000004,8.64,30.0,0.0,0.0,air,0.0,0.0,0.0,0.25,0.0,backlog_start_and_end,101.03999999999999
baseline,Reference,19,200.0,8.0,38.0,100.0,0.0,0.0,air,0.0,0.0,0.0,0.8333333333333334,0.0,backlog_start_and_end,346.0
baseline,Reference,20,200.0,8.0,36.1,100.0,0.0,0.0,air,0.0,0.0,0.0,0.8333333333333334,0.0,backlog_start_and_end,344.1
