policy_name,policy_label,method_label,material,inbound_transport,production_energy,outbound_transport,storage,scrap,total
baseline,Reference,Classical LCA,2822.0,112.88,475.2248000000001,279.18,4.2509999999999994,0.0,3693.5358
baseline,Reference,SDD,2909.8,205.07000000000002,651.2550000000001,931.9,4.2509999999999994,201.40000000000003,4903.676
backup_early,Backup anticipe,Classical LCA,3238.000000000001,129.52000000000004,545.2792000000003,316.62000000000006,4.881,0.0,4234.3002000000015
backup_early,Backup anticipe,SDD,3441.0,342.66999999999996,777.6590000000002,1139.9,4.880999999999999,406.77600000000007,6112.886000000001
inventory_buffer,Stock tampon,Classical LCA,3130.0,125.2,527.0920000000001,306.90000000000003,3.8579999999999997,0.0,4093.05
inventory_buffer,Stock tampon,SDD,3130.0,125.19999999999999,642.4469999999999,1090.82,3.8579999999999997,94.388,5086.713000000001
low_carbon,Discipline carbone,Classical LCA,2790.0,111.60000000000001,469.8360000000001,276.3,4.221,0.0,3651.9570000000003
low_carbon,Discipline carbone,SDD,2877.8,203.78999999999996,602.715,897.8599999999999,4.221,142.872,4729.258
service_first,Service prioritaire,Classical LCA,3130.0,125.2,527.0920000000001,306.90000000000003,3.8579999999999997,0.0,4093.05
service_first,Service prioritaire,SDD,3130.0,125.19999999999999,642.4469999999999,1164.62,3.8579999999999997,94.388,5160.513000000001
