supplier_id,supplier_name,pair_count,max_risk_probability_proxy_4w,max_risk_probability_high_proxy_4w,mean_risk_probability_proxy_4w,max_action_priority_score,mean_action_priority_score,min_resilience_score,mean_resilience_score,early_warning_pair_count,change_point_pair_count,expected_exposure_qty_4w_proxy_sum,cvar_exposure_qty_4w_proxy_sum,worst_action_level,worst_decision_zone,recommended_action,robust_decision,top_item_id,top_dst_node_id,items_preview,destinations_preview
SDC-VD0525412A,Supplier of Packaging - VD0525412A,1,0.202203,0.253403,0.202203,0.100348,0.100348,0.792463,0.792463,0,0,65668.0606,295262.5419,green,jaune,standard_monitoring,watch_collect_data_and_confirm_supplier_status,item:333362,M-1430,item:333362,M-1430
SDC-VD0993480A,Supplier of Packaging - VD0993480A,1,0.183397,0.254111,0.183397,0.071247,0.071247,0.780435,0.780435,0,0,19126.6797,39613.7207,green,jaune,standard_monitoring,watch_collect_data_and_confirm_supplier_status,item:344135,M-1430,item:344135,M-1430
SDC-VD0508918A,Supplier of Packaging - VD0508918A,1,0.148166,0.208942,0.148166,0.070767,0.070767,0.778821,0.778821,0,0,5099.5266,5657.2662,green,vert,standard_monitoring,routine_monitoring,item:730384,M-1430,item:730384,M-1430
SDC-VD0520132A,Supplier of Raw Materials - VD0520132A,2,0.1453,0.213946,0.141825,0.05585,0.054514,0.833077,0.833461,0,0,321.1544,352.917,green,vert,standard_monitoring,routine_monitoring,item:038005,M-1430,"item:038005, item:049371","M-1430, M-1810"
SDC-VD0901566A,Supplier of Packaging - VD0901566A,1,0.164599,0.213216,0.164599,0.053237,0.053237,0.81883,0.81883,0,0,101151.0127,133324.9046,green,vert,standard_monitoring,routine_monitoring,item:338928,M-1810,item:338928,M-1810
SDC-VD0520115A,Supplier of Packaging - VD0520115A,1,0.130559,0.193588,0.130559,0.050928,0.050928,0.778192,0.778192,0,0,102.2236,107.6038,green,vert,standard_monitoring,routine_monitoring,item:708073,M-1430,item:708073,M-1430
SDC-VD0914360C,Supplier of Packaging - VD0914360C,1,0.149268,0.191745,0.149268,0.048279,0.048279,0.85,0.85,0,0,57590.5665,242486.5959,green,vert,standard_monitoring,routine_monitoring,item:338929,M-1810,item:338929,M-1810
SDC-VD1095770A,Supplier of Packaging - VD1095770A,1,0.123626,0.191245,0.123626,0.046462,0.046462,0.789099,0.789099,0,0,85.3734,89.8667,green,vert,standard_monitoring,routine_monitoring,item:734545,M-1430,item:734545,M-1430
SDC-VD0989480A,Supplier of Packaging - VD0989480A,1,0.116212,0.246138,0.116212,0.037587,0.037587,0.834615,0.834615,0,0,209.6415,220.6753,green,vert,standard_monitoring,routine_monitoring,item:426331,M-1810,item:426331,M-1810
SDC-VD0951020A,Supplier of Raw Materials - VD0951020A,4,0.09213,0.227781,0.081494,0.035889,0.031746,0.901448,0.921256,0,0,85.4291,312.1061,green,vert,standard_monitoring,routine_monitoring,item:001757,M-1810,"item:001757, item:007923, item:001848, item:001848","M-1430, M-1810"
SDC-VD1096202A,Supplier of Raw Materials - VD1096202A,1,0.109335,0.203095,0.109335,0.035363,0.035363,0.815538,0.815538,0,0,0.7704,0.811,green,vert,standard_monitoring,routine_monitoring,item:039668,M-1810,item:039668,M-1810
SDC-VD0914690A,Supplier of Raw Materials - VD0914690A,1,0.109175,0.179691,0.109175,0.035311,0.035311,0.833846,0.833846,0,0,461595.5345,485890.0363,green,vert,standard_monitoring,routine_monitoring,item:042342,M-1430,item:042342,M-1430
SDC-VD0514881A,Supplier of Raw Materials - VD0514881A,1,0.108783,0.172783,0.108783,0.035185,0.035185,0.834615,0.834615,0,0,10.306,10.8484,green,vert,standard_monitoring,routine_monitoring,item:016332,M-1810,item:016332,M-1810
SDC-VD0505677A,Supplier of Raw Materials - VD0505677A,1,0.106035,0.170035,0.106035,0.034296,0.034296,0.834615,0.834615,0,0,34.8693,36.7045,green,vert,standard_monitoring,routine_monitoring,item:099439,M-1810,item:099439,M-1810
SDC-VD0956464A,Supplier of Raw Materials - VD0956464A,1,0.082674,0.245394,0.082674,0.026404,0.026404,0.923,0.923,0,0,25.8849,65.6409,green,vert,standard_monitoring,routine_monitoring,item:007923,M-1810,item:007923,M-1810
SDC-1450,SDC-1450,4,0.092156,0.239013,0.070409,0.024191,0.018482,0.783,0.793,0,0,76721.0845,174968.3346,green,jaune,standard_monitoring,watch_collect_data_and_confirm_supplier_status,item:693055,M-1810,"item:693055, item:773474, item:693055, item:773474","M-1430, M-1810, SDC-1450"
SDC-VD0949099A,Supplier of Raw Materials - VD0949099A,1,0.080975,0.182356,0.080975,0.021256,0.021256,0.964769,0.964769,0,0,177.9665,177.9665,green,vert,standard_monitoring,routine_monitoring,item:021081,SDC-1450,item:021081,SDC-1450
SDC-VD0960508A,Supplier of Raw Materials - VD0960508A,1,0.080193,0.174565,0.080193,0.021051,0.021051,0.968308,0.968308,0,0,481.7483,481.7483,green,vert,standard_monitoring,routine_monitoring,item:021081,SDC-1450,item:021081,SDC-1450
SDC-VD0972460A,Supplier of Raw Materials - VD0972460A,1,0.079914,0.191934,0.079914,0.020977,0.020977,0.954769,0.954769,0,0,58.545,58.545,green,vert,standard_monitoring,routine_monitoring,item:021081,SDC-1450,item:021081,SDC-1450
SDC-VD0975221A,Supplier of Raw Materials - VD0975221A,1,0.079911,0.190831,0.079911,0.020977,0.020977,0.954769,0.954769,0,0,58.5428,58.5428,green,vert,standard_monitoring,routine_monitoring,item:021081,SDC-1450,item:021081,SDC-1450
SDC-VD0519670A,Supplier of Raw Materials - VD0519670A,2,0.05955,0.149684,0.057737,0.019261,0.018675,0.965538,0.966923,0,0,3.9225,4.129,green,vert,standard_monitoring,routine_monitoring,item:029313,M-1810,"item:029313, item:001848",M-1810
SDC-VD0518550B,Supplier of Raw Materials - VD0518550B,1,0.072869,0.224643,0.072869,0.019128,0.019128,0.803769,0.803769,0,0,10.57,10.57,green,vert,standard_monitoring,routine_monitoring,item:049371,M-1810,item:049371,M-1810
SDC-VD0914320A,Supplier of Raw Materials - VD0914320A,1,0.060223,0.24486,0.060223,0.015959,0.015959,0.952686,0.952686,0,0,0.3971,0.3971,green,jaune,standard_monitoring,watch_collect_data_and_confirm_supplier_status,item:055703,M-1810,item:055703,M-1810
SDC-VD0525906A,Supplier of Raw Materials - VD0525906A,1,0.05752,0.23672,0.05752,0.015099,0.015099,0.785769,0.785769,0,0,2.6969,2.6969,green,vert,standard_monitoring,routine_monitoring,item:734545,M-1430,item:734545,M-1430
SDC-VD0518684A,Supplier of Raw Materials - VD0518684A,1,0.057232,0.169712,0.057232,0.015023,0.015023,0.953538,0.953538,0,0,19.1192,19.1192,green,vert,standard_monitoring,routine_monitoring,item:001893,M-1810,item:001893,M-1810
SDC-VD0910216A,Supplier of Raw Materials - VD0910216A,2,0.056311,0.170569,0.055136,0.014782,0.014474,0.954769,0.955539,0,0,56.2142,56.2142,green,vert,standard_monitoring,routine_monitoring,item:002612,M-1810,"item:002612, item:001893",M-1810
SDC-VD0964290A,Supplier of Raw Materials - VD0964290A,1,0.055705,0.168185,0.055705,0.014622,0.014622,0.953538,0.953538,0,0,0.2449,0.2449,green,vert,standard_monitoring,routine_monitoring,item:055703,M-1810,item:055703,M-1810
SDC-VD1091642A,Supplier of Raw Materials - VD1091642A,2,0.055443,0.172015,0.055329,0.014554,0.014524,0.950769,0.953539,0,0,34.5687,34.5687,green,vert,standard_monitoring,routine_monitoring,item:001893,M-1810,"item:001893, item:002612",M-1810
SDC-VD0990780A,Supplier of Raw Materials - VD0990780A,1,0.055215,0.172015,0.055215,0.014494,0.014494,0.950769,0.950769,0,0,9.607,9.607,green,vert,standard_monitoring,routine_monitoring,item:002612,M-1810,item:002612,M-1810
SDC-VD0500655A,Supplier of Raw Materials - VD0500655A,1,0.054367,0.171167,0.054367,0.014271,0.014271,0.950769,0.950769,0,0,8.6031,8.6031,green,vert,standard_monitoring,routine_monitoring,item:002612,M-1810,item:002612,M-1810
