tier_code,role_hint,tier_label,supplier,country,region,business_family,record_count,primary_count,alternate_count,mass_exposure_kg_sum_record_level,confidence,modeling_action,has_coordinates,source_ids,geocode_status_counts,system_examples,component_examples,description_examples
T4,tier4_raw_material,Raw material / primary producer,Tata Steel,India,Outside_Europe,steel_metal_raw,88,0,88,393.081141476,high,keep_as_supply_tier_node,True,SRC_TATA_STEEL_001,source_backed_site:88,Ens. Equipements latéraux | Ens. Stowage latéral | Bumper version porte | Manchette acc. Mobile | Accoudoir allée | Ens. Palette optimisée,"A5086 - Aluminium | 15CDV6 (chrome, molibdene, vanadium) | alliage Cu | FRMC55:EU28 polyuréthane flexible traité UL | 30NCD6 (nickel-chrome- molibdene) | acier | A2017 - Aluminium | A2024 - Aluminium",Acier primaire
T4,tier4_raw_material,Raw material / primary producer,BASF,Germany,Europe_non_FR,polymer_plastic_chemical,50,14,36,118.56308398,high,keep_as_supply_tier_node,True,SRC_BASF_001,source_backed_site:50,Ens. Equipements latéraux | Manchette acc. Mobile | Ecran - Screen Display (COTS) | Accoudoir allée | Ens. Stowage latéral | Ensemble porte,"Ertalon par moulage par injection plastique | FRMC55:EU28 polyuréthane flexible traité UL | Display, liquid crystal, 17 pouces | Ertalon | GLO: moulage par injection plastique | kydex | NIDA - GLO (moulage par injection plastique) | nylon",Chimie de base / polymères
T4,tier4_raw_material,Raw material / primary producer,China Baowu / Baosteel,China,Outside_Europe,steel_metal_raw,46,1,45,17.2556947,high,keep_as_supply_tier_node,True,SRC_BAOWU_001,source_backed_site:46,Ens. Stowage latéral | Bumper version porte | Accoudoir allée | Ens. Equipements latéraux | Ens. Structure fauteuil | Ceinture de sécurité,"15CDV6 (chrome, molibdene, vanadium) | alliage Cu | 30NCD6 (nickel-chrome- molibdene) | acier | 4140 (acier) | cables FJKL1-3K1J01-01ATAB_BRACKETS-SET | Commande actionnement ECU | inox",Matière première – acier primaire
T4,tier4_raw_material,Raw material / primary producer,ArcelorMittal,Luxembourg,Europe_non_FR,steel_metal_raw,45,0,45,17.2078594,high,keep_as_supply_tier_node,True,SRC_ARCELORMITTAL_001,source_backed_site:45,Ens. Stowage latéral | Bumper version porte | Accoudoir allée | Ens. Equipements latéraux | Ens. Structure fauteuil | Ceinture de sécurité,"15CDV6 (chrome, molibdene, vanadium) | alliage Cu | 30NCD6 (nickel-chrome- molibdene) | acier | 4140 (acier) | cables FJKL1-3K1J01-01ATAB_BRACKETS-SET | Commande actionnement ECU | inox",Matière première – acier primaire
T4,tier4_raw_material,Raw material / primary producer,Saarstahl,Germany,Europe_non_FR,steel_metal_raw,45,44,1,17.2078594,medium,keep_as_supply_tier_node,True,,kept_from_source_json:45,Ens. Stowage latéral | Bumper version porte | Accoudoir allée | Ens. Equipements latéraux | Ens. Structure fauteuil | Ceinture de sécurité,"15CDV6 (chrome, molibdene, vanadium) | alliage Cu | 30NCD6 (nickel-chrome- molibdene) | acier | 4140 (acier) | cables FJKL1-3K1J01-01ATAB_BRACKETS-SET | Commande actionnement ECU | inox",Acier brut
T4,tier4_raw_material,Raw material / primary producer,Nucor Corp,United States,Outside_Europe,steel_metal_raw,44,0,44,17.2058594,medium,keep_as_supply_tier_node,True,,fallback_site_needs_source:44,Ens. Stowage latéral | Bumper version porte | Accoudoir allée | Ens. Equipements latéraux | Ceinture de sécurité | Support clamps,"15CDV6 (chrome, molibdene, vanadium) | alliage Cu | 30NCD6 (nickel-chrome- molibdene) | acier | cables FJKL1-3K1J01-01ATAB_BRACKETS-SET | Commande actionnement ECU | inox | FRMC55 (C55 = % de carbone) et FMR = ?",Acier recyclé
T4,tier4_raw_material,Raw material / primary producer,Aluminium Corporation of China / Chalco,China,Outside_Europe,aluminium_raw_or_transformation,43,9,34,376.535123376,medium,keep_as_supply_tier_node,True,,fallback_site_needs_source:43,Ens. Equipements latéraux | Manchette acc. Mobile | Accoudoir allée | Ens. Stowage latéral | Ens. Palette optimisée | Ens. Tablette cocktail,A5086 - Aluminium | FRMC55:EU28 polyuréthane flexible traité UL | A2017 - Aluminium | A2024 - Aluminium | A6060 - Aluminium | Alu | GLO: Steel sheet stamping and bending | aluminium,Matière première – aluminium/alumine | Matière première — aluminium primaire
T4,tier4_raw_material,Raw material / primary producer,Hindalco Industries,India,Outside_Europe,aluminium_raw_or_transformation,43,0,43,376.535123376,high,keep_as_supply_tier_node,True,SRC_HINDALCO_001,source_backed_site:43,Ens. Equipements latéraux | Manchette acc. Mobile | Accoudoir allée | Ens. Stowage latéral | Ens. Palette optimisée | Ens. Tablette cocktail,A5086 - Aluminium | FRMC55:EU28 polyuréthane flexible traité UL | A2017 - Aluminium | A2024 - Aluminium | A6060 - Aluminium | Alu | GLO: Steel sheet stamping and bending | aluminium,Aluminium primaire
T4,tier4_raw_material,Raw material / primary producer,Alcoa,United States,Outside_Europe,aluminium_raw_or_transformation,37,37,0,62.2863385,high,keep_as_supply_tier_node,True,SRC_ALCOA_001,source_backed_site:37,Ens. Equipements latéraux | Stowage assemblé avec porte | Accoudoir allée | Ens. Stowage latéral | Ens. Palette optimisée | Ens. Tablette cocktail,A5086 - Aluminium | 35NC6 (nickel-chrome) | A2017 - Aluminium | A2024 - Aluminium | A6060 - Aluminium | de: aluminium cast part machining + tth compris dans le steel tinplated | de: aluminium cast part machining glo: steel sheet stamping and bending | GLO: Steel sheet stamping and bending,Matière première — aluminium primaire | Aluminium primaire (site USA)
T4,tier4_raw_material,Raw material / primary producer,Bayer,Germany,Europe_non_FR,polymer_plastic_chemical,29,0,29,70.436991155,medium,keep_as_supply_tier_node,True,,kept_from_source_json:29,Ens. Equipements latéraux | Manchette acc. Mobile | Accoudoir allée | Ens. Stowage latéral | Ensemble porte | Ens. Tablette repas,Ertalon par moulage par injection plastique | FRMC55:EU28 polyuréthane flexible traité UL | Ertalon | GLO: moulage par injection plastique | kydex | Polychloroprene | SIMAPRO : extrusion and thermoforming - traitement par AER Film Schneider | télécommande,Chimie de base / polyuréthane
