source_id,entity,source_type,url,evidence,canonical_country,canonical_site_address,canonical_role,confidence
SRC_JAMCO_001,JAMCO Aircraft Interiors / JAMCO Philippines,official_company,https://www.jamco.co.jp/en/company/group.html,"JAMCO group page lists Niigata, Miyazaki and Philippines aircraft-interiors sites.",Japan / Philippines depending site,"Niigata: 341-1 Kamitsubone, Tsubone, Murakami, Niigata 958-0822; Miyazaki: 8136-7 Tanocho-ko, Miyazaki 889-1701; Philippines: N7000 Gil Puyat Avenue, Clark Civil Aviation Complex, Pampanga.",tier1 aircraft interiors manufacturer,high
SRC_MGR_001,MGR Foamtex Ltd,official_company,https://www.mgrfoamtex.com/contact-us,"Contact page gives DAX House, Wenman Road, Thame, Oxfordshire OX9 3SE, UK.",United Kingdom,"DAX House, Wenman Road, Thame, Oxfordshire OX9 3SE, UK",aircraft upholstery / foam systems supplier,high
SRC_LAUAK_001,Groupe LAUAK,official_company,https://www.groupe-lauak.com/lauak-groupe/presentation-du-groupe/sites/,LAUAK sites page lists Hasparren and other group sites.,"France, plus other group countries depending site","2245 Route de Minhotz, 64240 Hasparren, France",aerostructures / sheet metal / machining / structural assembly supplier,medium_high
SRC_PLASTISERVICE_001,Plastiservice Charleroi,official_company,https://plastiservice.com/nos-implantations/,"Locations page lists Plastiservice Charleroi at ZI de Jumet, Allee Centrale 72, B-6040 Charleroi.",Belgium,"ZI de Jumet, Allee Centrale 72, B-6040 Charleroi, Belgium",tier2 plastics materials / processing supplier,high
SRC_JCAERO_001,J&C Aero,official_company,https://e.jcaero.com/contactus,"Contact page lists Vilties st. 11, Kuprioniskes, Vilnius, Lithuania, LT13279.",Lithuania,"Vilties st. 11, Kuprioniskes, Vilnius, Lithuania, LT13279",tier1 aircraft interior provider,high
SRC_STELIA_AIRBUS_001,STELIA Aerospace / Airbus Atlantic,official_group,https://www.airbus.com/fr/products-services/commercial-aircraft/airframes/airbus-atlantic/amenagement-cabine,Airbus identifies STELIA Aerospace as Airbus Atlantic premium passenger seat brand.,France,"Rochefort, France when no better site is proven",premium passenger seat brand / Airbus Atlantic cabin interiors,medium_high
SRC_SAFRAN_SEATS_001,Safran Seats,official_group,https://www.safran-group.com/locations,"Safran locations list Safran Seats sites including Plaisir, Issoudun, Saint-Crepin-Ibouvillers and Gainesville.",France / USA / UK depending actual site,"Use actual Safran Seats site; HQ fallback: 61 Rue Pierre Curie, 78373 Plaisir, France",OEM/internal final integrator in this dataset context,high
SRC_FIGEAC_001,Figeac Aero,official_company,https://www.figeac-aero.com/fr/contact,"Contact page lists Zone industrielle de l Aiguille, 46100 Figeac, France.",France,"Zone industrielle de l'Aiguille, 46100 Figeac, France",tier1 aerostructures / assemblies supplier,high
SRC_GATTEFIN_001,ETS Gattefin,official_company,https://gattefin.fr/,"Official site gives 201 Av. Raoul Aladenize, 18500 Mehun-sur-Yevre and aerospace activity.",France,"201 Av. Raoul Aladenize, 18500 Mehun-sur-Yevre, France",tier1 precision machining supplier,high
SRC_SEGNERE_001,Groupe Segnere / SEGNERE Ade,industry_association,https://www.space-aero.org/en/member/segnere-ade/,"SPACE Aero member page lists SEGNERE Ade in France with precision mechanics, sheet metal and structural assembly.",France,"Z.I. du Toulicou, Ade, Occitanie 65100, France",tier1 precision mechanics / sheet metal / assembly supplier,medium_high
SRC_CELSO_001,Celso SAS,official_company,https://celso.fr/en/contact-us/,"Contact page lists Celso SAS, 200 impasse de Fontanilles, ZI de Bressols, 82710 Bressols.",France,"200 impasse de Fontanilles, ZI de Bressols, 82710 Bressols, France",foam and cellular materials transformer,high
SRC_ACH_001,ACH,official_company,https://www.ach-aeronefs.fr/en/contact/,"Contact page lists 16 rue Marcellin Berthelot, Zone Pole Republique 3, 86000 Poitiers.",France,"16 rue Marcellin Berthelot, Zone Pole Republique 3, 86000 Poitiers, France",aircraft upholstery / foams / seats supplier,high
SRC_EXSTO_001,EXSTO / Baule-Exsto Polymere,official_company,https://www.exsto.com/en/contact,"EXSTO contact page gives headquarter at 55 avenue de la Deportation, 26100 Romans-sur-Isere.",France,"55 avenue de la Deportation, 26100 Romans-sur-Isere, France",technical polymer / polyurethane supplier,high
SRC_ANCRA_001,Ancra International / Ancra Aircraft,official_company,https://ancraaircraft.com/about-us/,"Ancra Aircraft Division lists Ancra International, 601 S Vincent Ave, Azusa, CA 91702.",USA,"601 S Vincent Ave, Azusa, CA 91702, USA",tier1 cargo restraint / fittings / aircraft systems supplier,high
SRC_TA_001,TA Aerospace,official_company,https://www.taaerospace.com/,"Official site describes aerospace clamping devices, thermal insulation products and engineered solutions.",USA,"Valencia, California, USA - verify exact site address before geocoding",tier1 aerospace clamps / insulation supplier,medium
SRC_E2IP_001,e2ip technologies,official_company,https://e2ip.com/contact/,"Contact page lists Design & Manufacturing Center at 1455, 32nd Avenue, Lachine, QC H8T 3J1.",Canada,"1455, 32nd Avenue, Lachine, QC H8T 3J1, Canada",tier2 electronics / HMI supplier,high
SRC_THYSSEN_001,thyssenkrupp Materials France,official_company,https://www.thyssenkrupp-aerospace.com/en/company/locations/france,"France location page lists Z.A Pariwest, 6 av. Gutenberg, 78310 Maurepas and materials/supply-chain capabilities.",France,"Z.A Pariwest, 6 av. Gutenberg, 78310 Maurepas, France",tier3 material distributor / supply-chain service provider,high
