severity,category,record_index,supplier_index,system,component,supplier_name,role_hint,location,normalized_location,country,lat,lon,geocode_provider,geocode_query,description,detail
HIGH,DATASET_MARKET_SHARE_EMPTY,,,,,,,,,,,,,,,market_share_pct is an empty string on all records
HIGH,DATASET_MASS_ZERO_REMAINING,,,,,,,,,,,,,,,mass_kg is 0.0 on 160/175 records
HIGH,MASS_INVALID,1,,Ens. Equipements latéraux,A5086 - Aluminium,,,,,,,,,,,"mass_kg should be positive, got 0.0"
MEDIUM,MARKET_SHARE_INVALID,1,,Ens. Equipements latéraux,A5086 - Aluminium,,,,,,,,,,,"market_share_pct should be a 0-100 number, got ''"
MEDIUM,MULTIPLE_PRIMARY_SUPPLIERS_PER_ROLE,1,,Ens. Equipements latéraux,A5086 - Aluminium,,,,,,,,,,,"role 'tier1' has 6 primary suppliers: ['ESPACE', 'GATTEFIN', 'Segnere Aero SAS', 'MGA Villeneuve St Lot', 'SENIOR AEROSPACE', 'JV Group']"
MEDIUM,MULTIPLE_PRIMARY_SUPPLIERS_PER_ROLE,1,,Ens. Equipements latéraux,A5086 - Aluminium,,,,,,,,,,,"role 'oem' has 2 primary suppliers: ['SAFRAN', 'Safran']"
MEDIUM,DUPLICATE_SUPPLIER_SAME_RECORD_ROLE,1,"6,10",Ens. Equipements latéraux,A5086 - Aluminium,Thyssen group,tier3_first_transformation,France,France,,48.758488,1.925304,nominatim,"6, Avenue Gutenberg, Zones d'activités de Pariwest, Maurepas, Rambouillet, Yvelines, Île-de-France, France métropolitaine, 78310, France",Métallurgie — 1ère transformation,"duplicate supplier ('thyssen group', 'tier3_first_transformation', 'France') at positions [6, 10]"
MEDIUM,DUPLICATE_SUPPLIER_SAME_RECORD_ROLE,1,"12,16",Ens. Equipements latéraux,A5086 - Aluminium,Figeac Aero,tier1,France,France,,44.590773,2.0333182,cache:nominatim,"Figeac Aero, France",Aéronautique — structures usinées (Tier 1),"duplicate supplier ('figeac aero', 'tier1', 'France') at positions [12, 16]"
MEDIUM,DUPLICATE_SUPPLIER_SAME_RECORD_ROLE,1,"13,24",Ens. Equipements latéraux,A5086 - Aluminium,GATTEFIN,tier1,France,France,,47.1426393,2.2372016,cache:nominatim,"GATTEFIN, France",Pièces métalliques — Tier 1,"duplicate supplier ('gattefin', 'tier1', 'France') at positions [13, 24]"
MEDIUM,DUPLICATE_SUPPLIER_SAME_RECORD_ROLE,1,"20,21",Ens. Equipements latéraux,A5086 - Aluminium,JV Group,tier1,France,France,,44.854094,-0.4991053,cache:nominatim,"JV Group, France",Usinage aéronautique — Tier 1,"duplicate supplier ('jv group', 'tier1', 'France') at positions [20, 21]"
MEDIUM,DUPLICATE_SUPPLIER_SAME_RECORD_ROLE,1,"22,25",Ens. Equipements latéraux,A5086 - Aluminium,SAFRAN,oem,France,France,,49.2625,2.003,manual,"ZA de la Reine Blanche, 60149 Saint-Crépin-Ibouvillers, France",OEM (constructeur / intégrateur final),"duplicate supplier ('safran', 'oem', 'France') at positions [22, 25]"
HIGH,MASS_INVALID,2,,Ens. Stowage latéral,"15CDV6 (chrome, molibdene, vanadium)",,,,,,,,,,,"mass_kg should be positive, got 0.0"
