record_index,system,component,container,supplier,role_hint,fix_id,site_name,before_location,before_lat,before_lon,after_location,after_lat,after_lon,confidence,source_url,simulation_action
,Ens. Equipements latéraux,A5086 - Aluminium,suppliers,Alcoa,tier4_raw_material,SITE_ALCOA_WARRICK,Alcoa Warrick Operations,United States,40.4406,-79.9959,"Newburgh, United States",37.9202921,-87.3302684,high,https://www.alcoa.com/global/en/pdf/Alcoa-Warrick-Fact-Sheet.pdf,Replace Pittsburgh fallback with Warrick primary aluminium operation.
,Ens. Equipements latéraux,A5086 - Aluminium,suppliers,Constellium,tier3_first_transformation,SITE_CONSTELLIUM_ISSOIRE,Constellium Issoire,France,45.3094248,5.607597,"Issoire, France",45.5583927,3.2601128,high,https://www.constellium.com/fr/sites-de-production/issoire,Replace Voreppe R&D fallback with Issoire aerospace production site.
,Ens. Equipements latéraux,A5086 - Aluminium,suppliers,Hindalco Industries,tier4_raw_material,SITE_HINDALCO_RENUKOOT,Hindalco Renukoot,India,19.076,72.8777,"Renukoot, India",24.2236632,83.0306552,high,https://www.hindalco.com/about-us/manufacturing/renukoot,Replace Mumbai corporate fallback with Renukoot aluminium plant.
,Ens. Equipements latéraux,A5086 - Aluminium,suppliers,Aluminium Corporation of China / Chalco,tier4_raw_material,SITE_CHALCO_QINGHAI,Chalco Qinghai Branch / Beichuan Industrial Park,China,39.9042,116.4074,"Xining, China",36.7653535,101.7640249,medium,https://www.chalco.com/en/sctxen/cpzsen/202012/t20201215_66289.html,Replace Beijing fallback with Qinghai smelter candidate; keep allocation validation required.
,Ens. Equipements latéraux,A5086 - Aluminium,suppliers,Tata Steel,tier4_raw_material,SITE_TATA_JAMSHEDPUR,Tata Steel Jamshedpur Works,India,22.7853607,86.1994836,"Jamshedpur, India",22.7853607,86.1994836,medium_high,https://www.tatasteel.com/contact-us/,Use Jamshedpur Works as steel mill candidate; keep certificate validation required.
,Ens. Stowage latéral,"15CDV6 (chrome, molibdene, vanadium)",suppliers,ArcelorMittal,tier4_raw_material,SITE_ARCELORMITTAL_INDUSTEEL,ArcelorMittal Industeel Le Creusot,Luxembourg,49.6116,6.1319,"Le Creusot / Torcy, France",46.7897099,4.4493912,medium,https://industeel.arcelormittal.com/legal-mentions/,Use Industeel Le Creusot as special-steel scenario candidate; certificate required before hard allocation.
,Ens. Stowage latéral,"15CDV6 (chrome, molibdene, vanadium)",suppliers,China Baowu / Baosteel,tier4_raw_material,SITE_BAOSTEEL_BAOSHAN,Baosteel Baoshan / Fujin Road site,China,31.2304,121.4737,"Shanghai, China",31.4114498,121.4557873,medium,https://craft.co/baosteel/locations,Use Baoshan/Fujin Road as China steel mill candidate; require certificate for active allocation.
,Ens. Stowage latéral,"15CDV6 (chrome, molibdene, vanadium)",suppliers,Tata Steel,tier4_raw_material,SITE_TATA_JAMSHEDPUR,Tata Steel Jamshedpur Works,India,22.7853607,86.1994836,"Jamshedpur, India",22.7853607,86.1994836,medium_high,https://www.tatasteel.com/contact-us/,Use Jamshedpur Works as steel mill candidate; keep certificate validation required.
,Ens. Stowage latéral,"15CDV6 (chrome, molibdene, vanadium)",suppliers,Nucor Corp,tier4_raw_material,SITE_NUCOR_BERKELEY,Nucor Steel Berkeley,United States,35.2271,-80.8431,"Huger, United States",33.007,-79.879,medium_high,https://enviro.epa.gov/triexplorer/release_fac_profile?TRI=29450NCRST1455H,Replace Charlotte HQ fallback with Nucor Berkeley mill candidate.
,Ens. Stowage latéral,"15CDV6 (chrome, molibdene, vanadium)",suppliers,Aubert & Duval,tier3_first_transformation,SITE_AUBERT_ANCIZES,Aubert & Duval Les Ancizes,France,45.7772,3.087,"Les Ancizes-Comps, France",45.9235016,2.8415731,high,https://www.space-aero.org/en/member/aubert-duval-les-ancizes/,Replace Aubiere/Clermont fallback with Les Ancizes metallurgical site.
,Ens. Equipements latéraux,Ertalon par moulage par injection plastique,suppliers,Mitsubishi Chemical,tier4_raw_material,SITE_MITSUBISHI_TIELT_ERTALON,Mitsubishi Chemical Advanced Materials Tielt,Japan,35.6812,139.7671,"Tielt, Belgium",50.9997611,3.3450176,high_for_ertalon_only,https://eu.mitsubishi-chemical.com/locations/,Use Tielt for Ertalon/MCAM records; keep non-Ertalon Mitsubishi records unchanged.
,Ens. Equipements latéraux,Ertalon par moulage par injection plastique,suppliers,DuPont de Nemours,tier2_second_transformation,SITE_DUPONT_SPRUANCE,DuPont Spruance Manufacturing Site,United States,39.7391,-75.5398,"Richmond, United States",37.4520437,-77.4335412,high,https://www.dupont.co.jp/locations/dupont-spruance-manufacturing-site.html,Replace Wilmington HQ fallback with Spruance manufacturing site for DuPont fiber/polymer exposure.
,Ensemble porte,FILM DECOR AERFILM - Ep0.33 714g-m2,suppliers,KEMKO Aerospace,tier1,SITE_KEMCO_STLOUIS,Kemco/Mastercraft Building 1,"St. Louis, United States",38.627,-90.1994,"St. Louis, United States",38.563572,-90.4559651,high,https://kemcoaerospace.com/about/locations/,Replace St. Louis city fallback with Kemco/Mastercraft building.
,Padding (rembourrage),AIRVOLT LAMINAT,suppliers,Daio Paper Corporation,tier3_first_transformation,SITE_DAIO_MISHIMA,Daio Paper Mishima Mill,"Shikokuchuo, Japan",33.9803,133.5498,"Shikokuchuo, Japan",33.980744,133.5499338,medium,https://www.daio-paper.co.jp/en/company/base/,Replace generic Shikokuchuo city note with Mishima Mill site identity; improve coordinates if local geocoder available.
,Padding (rembourrage),AIRVOLT LAMINAT,suppliers,Nordic Paper,tier4_raw_material,SITE_NORDIC_SAFFLE,Nordic Paper Saffle Mill,Sweden,59.132,12.928,"Saffle, Sweden",59.1442024,12.9149356,high,https://www.nordic-paper.com/en/about-us/production-units,Replace multi-mill fallback with Saffle mill for this paper/padding scenario.
,Stowage assemblé avec porte,Silicone,suppliers,Shin-Etsu Silicones,tier3_first_transformation,SITE_SHINETSU_GUNMA_ISOBE,Shin-Etsu Chemical Gunma Complex Isobe Plant,"Tokyo, Japan",35.6812,139.7671,"Annaka, Japan",36.2983921,138.8497966,medium_high,https://www.shinetsu.co.jp/en/company/network/plant/,Replace Tokyo HQ/city fallback with Gunma silicone plant area.
,Stowage assemblé avec porte,Silicone,suppliers,Silicone Engineering,tier2_second_transformation,SITE_SILICONE_ENGINEERING_BLACKBURN,Silicone Engineering Blackburn,"Blackburn, United Kingdom",53.7486,-2.4875,"Blackburn, United Kingdom",53.7559111,-2.4483932,medium_high,https://ukgsassociation.co.uk/member/silicone-engineering-ltd/,Replace Blackburn city point with Blakewater Road/Greenbank Business Park area.
,Coussin ottoman,tissu,suppliers,DuPont de Nemours,tier2_second_transformation,SITE_DUPONT_SPRUANCE,DuPont Spruance Manufacturing Site,United States,39.7391,-75.5398,"Richmond, United States",37.4520437,-77.4335412,high,https://www.dupont.co.jp/locations/dupont-spruance-manufacturing-site.html,Replace Wilmington HQ fallback with Spruance manufacturing site for DuPont fiber/polymer exposure.
,Coussin ottoman,tissu,suppliers,Huddersfield Textiles,tier3_first_transformation,SITE_HUDDERSFIELD_TEXTILES,Huddersfield Textiles Old Dye Works showroom / company site,"Huddersfield, United Kingdom",53.6458,-1.785,"Huddersfield, United Kingdom",53.64077,-1.80072,medium,https://www.huddersfieldtextiles.com/contact/,Replace town centroid with company postcode-level site; validate mill/weaver before production allocation.
,Manchette acc. Mobile,FRMC55:EU28 polyuréthane flexible traité UL,suppliers,DuPont de Nemours,tier2_second_transformation,SITE_DUPONT_SPRUANCE,DuPont Spruance Manufacturing Site,United States,39.7391,-75.5398,"Richmond, United States",37.4520437,-77.4335412,high,https://www.dupont.co.jp/locations/dupont-spruance-manufacturing-site.html,Replace Wilmington HQ fallback with Spruance manufacturing site for DuPont fiber/polymer exposure.
,Manchette acc. Mobile,FRMC55:EU28 polyuréthane flexible traité UL,suppliers,Huddersfield Textiles,tier3_first_transformation,SITE_HUDDERSFIELD_TEXTILES,Huddersfield Textiles Old Dye Works showroom / company site,"Huddersfield, United Kingdom",53.6458,-1.785,"Huddersfield, United Kingdom",53.64077,-1.80072,medium,https://www.huddersfieldtextiles.com/contact/,Replace town centroid with company postcode-level site; validate mill/weaver before production allocation.
,Manchette acc. Mobile,FRMC55:EU28 polyuréthane flexible traité UL,suppliers,Aluminium Corporation of China / Chalco,tier4_raw_material,SITE_CHALCO_QINGHAI,Chalco Qinghai Branch / Beichuan Industrial Park,China,39.9042,116.4074,"Xining, China",36.7653535,101.7640249,medium,https://www.chalco.com/en/sctxen/cpzsen/202012/t20201215_66289.html,Replace Beijing fallback with Qinghai smelter candidate; keep allocation validation required.
,Manchette acc. Mobile,FRMC55:EU28 polyuréthane flexible traité UL,suppliers,Hindalco Industries,tier4_raw_material,SITE_HINDALCO_RENUKOOT,Hindalco Renukoot,India,19.076,72.8777,"Renukoot, India",24.2236632,83.0306552,high,https://www.hindalco.com/about-us/manufacturing/renukoot,Replace Mumbai corporate fallback with Renukoot aluminium plant.
,Manchette acc. Mobile,FRMC55:EU28 polyuréthane flexible traité UL,suppliers,Tata Steel,tier4_raw_material,SITE_TATA_JAMSHEDPUR,Tata Steel Jamshedpur Works,India,22.7853607,86.1994836,"Jamshedpur, India",22.7853607,86.1994836,medium_high,https://www.tatasteel.com/contact-us/,Use Jamshedpur Works as steel mill candidate; keep certificate validation required.
,Accoudoir allée,30NCD6 (nickel-chrome- molibdene),suppliers,ArcelorMittal,tier4_raw_material,SITE_ARCELORMITTAL_INDUSTEEL,ArcelorMittal Industeel Le Creusot,Luxembourg,49.6116,6.1319,"Le Creusot / Torcy, France",46.7897099,4.4493912,medium,https://industeel.arcelormittal.com/legal-mentions/,Use Industeel Le Creusot as special-steel scenario candidate; certificate required before hard allocation.
,Accoudoir allée,30NCD6 (nickel-chrome- molibdene),suppliers,China Baowu / Baosteel,tier4_raw_material,SITE_BAOSTEEL_BAOSHAN,Baosteel Baoshan / Fujin Road site,China,31.2304,121.4737,"Shanghai, China",31.4114498,121.4557873,medium,https://craft.co/baosteel/locations,Use Baoshan/Fujin Road as China steel mill candidate; require certificate for active allocation.
,Accoudoir allée,30NCD6 (nickel-chrome- molibdene),suppliers,Tata Steel,tier4_raw_material,SITE_TATA_JAMSHEDPUR,Tata Steel Jamshedpur Works,India,22.7853607,86.1994836,"Jamshedpur, India",22.7853607,86.1994836,medium_high,https://www.tatasteel.com/contact-us/,Use Jamshedpur Works as steel mill candidate; keep certificate validation required.
,Accoudoir allée,30NCD6 (nickel-chrome- molibdene),suppliers,Nucor Corp,tier4_raw_material,SITE_NUCOR_BERKELEY,Nucor Steel Berkeley,United States,35.2271,-80.8431,"Huger, United States",33.007,-79.879,medium_high,https://enviro.epa.gov/triexplorer/release_fac_profile?TRI=29450NCRST1455H,Replace Charlotte HQ fallback with Nucor Berkeley mill candidate.
,Accoudoir allée,30NCD6 (nickel-chrome- molibdene),suppliers,Aubert & Duval,tier3_first_transformation,SITE_AUBERT_ANCIZES,Aubert & Duval Les Ancizes,France,45.7772,3.087,"Les Ancizes-Comps, France",45.9235016,2.8415731,high,https://www.space-aero.org/en/member/aubert-duval-les-ancizes/,Replace Aubiere/Clermont fallback with Les Ancizes metallurgical site.
