source_id,entity,source_type,url,evidence,canonical_country,canonical_site_address,canonical_role,confidence
SRC_JAMCO_001,JAMCO Aircraft Interiors Corporation,official_company,https://www.jamco.co.jp/en/company/group.html,"JAMCO Aircraft Interiors Corporation: aircraft interiors manufacturing; Head Office/Niigata Factory at 341-1 Kamitsubone, Tsubone, Murakami, Niigata 958-0822, Japan.",Japan,"341-1 Kamitsubone, Tsubone, Murakami, Niigata 958-0822, Japan",aircraft interiors manufacturer,high
SRC_MGR_001,MGR Foamtex Ltd,official_company,https://www.mgrfoamtex.com/contact-us,"MGR Foamtex contact page gives DAX House, Wenman Road, Thame, Oxfordshire OX9 3SE, UK and Part 21 approvals.",United Kingdom,"DAX House, Wenman Road, Thame, Oxfordshire OX9 3SE, UK",aircraft passenger upholstery / foam systems supplier,high
SRC_LAUAK_001,Groupe LAUAK,official_company,https://www.groupe-lauak.com/lauak-groupe/presentation-du-groupe/sites/,"LAUAK official sites include 2245 Route de Minhotz, 64240 Hasparren, France and other sites in France, Portugal, Canada, Mexico, India. No Poland or Thailand site appears in the captured official site list.",France,"2245 Route de Minhotz, 64240 Hasparren, France",aerostructures / sheet metal / machining / structural assembly supplier,medium_high
SRC_PLASTISERVICE_001,Plastiservice Charleroi,official_company,https://plastiservice.com/nos-implantations/,"Plastiservice locations page lists Plastiservice Charleroi (B), ZI de Jumet, Allee Centrale 72, B-6040 Charleroi, Belgium.",Belgium,"ZI de Jumet, Allee Centrale 72, B-6040 Charleroi, Belgium",plastics materials / processing supplier,high
SRC_JCAERO_001,J&C Aero,official_company,https://e.jcaero.com/contactus,"J&C Aero contact page lists Vilties st. 11, Kuprioniskes, Vilnius, Lithuania, LT13279 and describes complete aircraft interior and CAMO solutions.",Lithuania,"Vilties st. 11, Kuprioniskes, Vilnius, Lithuania, LT13279",aircraft interior / CAMO solutions provider,high
SRC_STELIA_AIRBUS_001,STELIA Aerospace / Airbus Atlantic cabin interior activity,official_group,https://www.airbus.com/fr/products-services/commercial-aircraft/airframes/airbus-atlantic/amenagement-cabine,Airbus states STELIA Aerospace is the premium passenger seat brand of Airbus Atlantic and describes STELIA teams at Rochefort for business/first-class seat development.,France,"Rochefort, France",premium passenger seat brand / Airbus Atlantic cabin interior activity,medium_high
SRC_SAFRAN_SEATS_001,Safran Seats,official_group,https://www.safran-group.com/locations,"Safran locations list Safran Seats headquarters at 61 Rue Pierre Curie, 78373 Plaisir, France; industrial sites include Issoudun, Saint-Crepin-Ibouvillers and Gainesville, TX.",France / United States / United Kingdom depending site,"Headquarters: 61 Rue Pierre Curie, 78373 Plaisir, France; other Safran Seats sites listed by Safran.",seat manufacturer; also customer/internal group in this dataset context,high
SRC_FIGEAC_001,Figeac Aero,official_company,https://www.figeac-aero.com/fr/contact,"Figeac Aero contact page lists Zone industrielle de l Aiguille, 46100 Figeac, France; subsidiaries are listed separately.",France,"Zone industrielle de l'Aiguille, 46100 Figeac, France",aerostructures / metal transformation / assemblies supplier,high
SRC_GATTEFIN_001,ETS Gattefin,official_company,https://gattefin.fr/,"Gattefin official site states it is based in Mehun-sur-Yevre and gives 201 Av. Raoul Aladenize, 18500 Mehun-sur-Yevre; sectors include aeronautics.",France,"201 Av. Raoul Aladenize, 18500 Mehun-sur-Yevre, France",precision machining / large-dimension machining supplier,high
SRC_SEGNERE_001,Groupe Segnere / SEGNERE Ade,industry_association,https://www.space-aero.org/en/member/segnere-ade/,"SPACE Aero member page lists SEGNERE Ade in France and address Z.I. du Toulicou, Ade, Occitanie 65100, France; activities include precision mechanics, sheet metal and structural assembly.",France,"Z.I. du Toulicou, Ade, Occitanie 65100, France",precision mechanics / sheet metal / structural assembly supplier,medium_high
SRC_CELSO_001,Celso SAS,official_company,https://celso.fr/en/contact-us/,"Celso contact page lists Celso SAS, 200 impasse de Fontanilles, ZI de Bressols, 82710 Bressols, France.",France,"200 impasse de Fontanilles, ZI de Bressols, 82710 Bressols, France",foam / cellular materials transformer; aeronautic aviation applications,high
SRC_ACH_001,ACH,official_company,https://www.ach-aeronefs.fr/en/contact/,"ACH contact page gives 16 rue Marcellin Berthelot, Zone Pole Republique 3, 86000 Poitiers, France and lists aircraft interior upholstery, seats and divans, moulded foams for aeronautics.",France,"16 rue Marcellin Berthelot, Zone Pole Republique 3, 86000 Poitiers, France",aircraft interior upholstery / seats / foams supplier,high
SRC_EXSTO_001,EXSTO Groupe France / Baule-Exsto Polymere,official_company,https://www.exsto.com/en/contact,"EXSTO contact page gives EXSTO Groupe France / headquarter at 55 avenue de la Deportation, 26100 Romans-sur-Isere, France; technical polymer solutions.",France,"55 avenue de la Deportation, 26100 Romans-sur-Isere, France",technical polymer / polyurethane supplier,high
SRC_ANCRA_001,Ancra International / Ancra Aircraft,official_company,https://ancraaircraft.com/about-us/,"Ancra Aircraft Division address: Ancra International, 601 S Vincent Ave, Azusa, CA 91702, United States of America; categories include cargo loading systems, fittings, nets and straps.",USA,"601 S Vincent Ave, Azusa, CA 91702, United States of America",cargo restraint / fittings / straps / aircraft systems supplier,high
SRC_TA_001,TA Aerospace,official_company,https://www.taaerospace.com/,"TA Aerospace official site describes specialty and standard clamping devices, thermal insulation products and engineered aerospace solutions. Certificate/search evidence points to Valencia, California for address; verify before writing site coordinates.",USA,"Valencia, California, USA - verify exact site address before geocoding",aerospace clamps / thermal insulation / engineered solutions supplier,medium
SRC_E2IP_001,e2ip technologies,official_company,https://e2ip.com/contact/,"e2ip contact page lists a Design & Manufacturing Center at 1455, 32nd Avenue, Lachine, QC H8T 3J1; Canada offices include HQ in St-Laurent and manufacturing in Quebec.",Canada,"1455, 32nd Avenue, Lachine, QC H8T 3J1, Canada",electronics / HMI / electromechanical systems supplier,high
SRC_THYSSEN_001,thyssenkrupp Materials France / thyssenkrupp Aerospace,official_company,https://www.thyssenkrupp-aerospace.com/en/company/locations/france,"thyssenkrupp Aerospace France page lists Z.A Pariwest, 6 av. Gutenberg, 78310 Maurepas and capabilities in materials sourcing, logistics, cut-to-size, machining and supply chain.",France,"Z.A Pariwest, 6 av. Gutenberg, 78310 Maurepas, France","materials distributor / aerospace supply chain service provider, not raw material extractor",high
SRC_EURALLIAGE_001,Euralliage Ile de France,official_company,https://www.euralliage.com/coordonnees.htm,"Euralliage coordinates page lists Euralliage Ile de France at 3 rue des freres Montgolfier, ZI des Cressonnieres, 95500 Gonesse, France; activity is stock/trade/cutting of non-ferrous metals.",France,"3 rue des freres Montgolfier, ZI des Cressonnieres, 95500 Gonesse, France","non-ferrous metals stockist / trader / cutting service, not raw material extractor",high
SRC_TATA_STEEL_001,Tata Steel,official_group,https://www.tata.com/business/tata-steel,"Tata group page states Tata Steel operates in India in Jamshedpur and Gamharia in Jharkhand, and Kalinganagar and Meramandali in Odisha.",India,"India operations include Jamshedpur, Gamharia, Kalinganagar and Meramandali; choose site based on product flow.",steel producer / upstream material producer,medium_high
