supplier_id,evidence_kind,event_date,scope,confidence,verification_status,summary,source_url
SDC-VD0949099A,identity,2026-01-01,entité,0.65,registre officiel,"Entité déclarée active dans le registre public consulté en 2026 ; ce signal confirme seulement l'existence juridique, pas la capacité opérationnelle.",https://search.sunbiz.org/Inquiry/corporationsearch/SearchResultDetail?aggregateId=forp-f16000002049-9c494a9d-2ff4-4170-aba6-46523bcb72f6
SDC-VD0960508A,success,2026-01-01,entité,0.75,source institutionnelle,"Réseau d'approvisionnement annoncé dans 15 pays, entrepôts à zones climatisées, laboratoire de contrôle qualité et audits d'usines déclarés.",https://lalilab.com/about-us/
SDC-VD0500655A,certification,2026-01-01,réseau de sites,0.70,source institutionnelle,"Le dispositif qualité et durabilité publié mentionne notamment ISO 9001, 14001, 45001, 50001 et 22000 ; la portée exacte par site doit être confirmée.",https://www.klkoleo.com/lifescience/about/
SDC-VD0500655A,success,2026-01-01,entité,0.70,source institutionnelle,"Deux implantations industrielles et plus de cent ans d'activité sont publiquement déclarés, ce qui constitue un signal de profondeur opérationnelle.",https://www.klkoleo.com/de/klkemmerich/
SDC-VD0505677A,incident,2024-07-29,site,0.98,communiqué officiel,"Un incendie a arrêté une unité et provoqué une force majeure sur plusieurs vitamines et ingrédients aromatiques ; aucune contamination de l'air, de l'eau ou du sol n'a été détectée.",https://www.basf.com/global/en/who-we-are/organization/locations/europe/german-sites/ludwigshafen/news-and-media/news-releases/2024/08/p-24-263
SDC-VD0505677A,success,2026-01-01,site,0.90,source institutionnelle,"Le site intégré publie un portefeuille de 125 unités de production et un système mutualisé d'énergie, de flux matières et de logistique.",https://www.basf.com/global/en/who-we-are/organization/locations/europe/german-sites/ludwigshafen
SDC-VD0508918A,certification,2026-01-29,site,0.95,certificat tiers,"Audit BRCGS Packaging Materials Issue 7 obtenu avec grade B ; certificat annoncé valable jusqu'au 2 avril 2027.",https://www.cflex.com/locations/constantia-eliopack-france/cflex?tx_dwboilerplate_cflex%5Baction%5D=download&tx_dwboilerplate_cflex%5Bcontroller%5D=Cflex&tx_dwboilerplate_cflex%5Bfile%5D=4283
SDC-VD0514881A,certification,2025-11-01,réseau national,0.65,certificat tiers,"Un certificat ISO 9001 couvrant des activités suédoises est publié pour 2025-2028 ; le document ne permet pas d'attribuer sans réserve la certification à l'adresse du matricule.",https://www.nouryon.com/globalassets/inriver/resources/certificate-nouryon-isc-emea-iso9001-nov-2025-2028.pdf
SDC-VD0518684A,success,2026-01-01,groupe,0.80,source institutionnelle,"Le siège et deux sites de production sont annoncés, avec plus de 330 collaborateurs ; signal de capacité au niveau du groupe, pas du seul bureau référencé.",https://www.ioioleo.de/en/
SDC-VD0518684A,certification,2025-01-01,réseau de sites,0.75,source institutionnelle,"Le dossier qualité 2025 documente des référentiels qualité et réglementaires ; la portée par site doit être contrôlée lors de l'audit.",https://www.ioioleo.de/wp-content/uploads/IOI_PH_Quality_and_Regulatory_2025_WEB.pdf
SDC-VD0519670A,incident,2023-10-30,site,0.98,autorité publique,"Une explosion lors d'une opération sur de l'acide nitrique a déclenché le plan d'urgence interne ; aucun blessé, dégât extérieur ou pollution atmosphérique n'a été signalé.",https://www.tarn.gouv.fr/Actualites/Explosion-sur-le-site-industriel-de-Brenntag-a-Saint-Sulpice-la-Pointe
SDC-VD0519670A,regulatory,2026-01-01,site,0.90,autorité publique,"Le site est couvert par l'information publique d'un établissement Seveso seuil haut et par un plan particulier d'intervention.",https://www.saintsulpicelapointe.fr/sites/saintsulpicelapointe.fr/www.saintsulpicelapointe.fr/files/inline-files/Plaquette%20info%20public%5B1%5D.pdf
SDC-VD0519670A,certification,2026-01-01,site,0.85,source institutionnelle,"La page qualité française répertorie pour ce site des référentiels SQAS, ISCC+ et ISO ; leur validité documentaire doit être confirmée en audit.",https://www.brenntag.com/fr-fr/durabilite/qualite-et-certifications/
SDC-VD0520115A,financial_risk,2025-11-04,groupe,0.98,communiqué officiel,"Accord de restructuration et procédure volontaire prépackagée de Chapter 11 annoncés, avec environ 1,3 milliard d'euros de dette à réduire et 215 millions d'euros de financement nouveau ; activité annoncée sans interruption.",https://www.kpfilms.com/en/news-events/_news?qlId=5152
SDC-VD0520115A,success,2025-12-16,groupe,0.95,communiqué officiel,"Plan de restructuration approuvé par le tribunal, avec poursuite normale des opérations annoncée et apport de capital destiné à renforcer le bilan.",https://www.kpfilms.com/spezial/quicklister/images/news/5200_20251612_PR_kp_Plan_Confirmation_EN.pdf
SDC-VD0520115A,certification,2024-05-01,site,0.95,certificat tiers,"Certification ISO 50001 du site publiée avec une période de validité 2024-2027.",https://www.kpfilms.com/en/about-us/MTB_C_50001_EN_2024.05-2027.pdf
