day,demand,served,backlog_end,arrivals_qty,produced_qty,shipped_qty,inventory_total,holding_cost_day,transport_cost_day,purchase_cost_day,external_procured_ordered_qty,external_procured_arrived_qty,external_procured_rejected_qty,estimated_source_replenished_qty,supplier_capacity_binding_qty
0,40.0,0.0,40.0,0.0,40.0,1596.8783,1096522.2996,43271.2856,712.3528,32.4772,0.0,0.0,0.0,25486.3441,0.0
1,47.5,0.0,87.5,0.0,86.228,1836.7697,1118388.9603,44151.1645,822.2917,41.7534,0.0,0.0,0.0,25486.3441,0.0
2,52.5,0.0,140.0,178.064,136.4902,2033.7351,1140122.5134,45020.461,922.7221,50.4351,0.0,0.0,0.0,25486.3441,0.0
3,60.0,0.0,200.0,244.1385,178.7296,2018.4455,1161979.9294,45889.7317,915.0627,54.9034,0.0,0.0,0.0,25486.3441,0.0
4,55.0,18.432,236.568,64.512,211.7165,2041.7804,1183647.6718,46758.9707,933.6222,58.7456,0.0,0.0,0.0,25486.3441,0.0
5,50.0,62.6688,223.8992,249.0688,236.2556,2020.803,1205501.9054,47628.1993,920.758,61.2205,0.0,0.0,0.0,25486.3441,0.0
6,45.0,23.04,245.8592,104.24,250.4232,1847.2547,1227592.7712,48507.3721,838.8935,59.8903,0.0,0.0,0.0,25486.3441,0.0
7,40.0,0.0,285.8592,373.3653,254.6807,1671.5366,1250357.0761,49399.6934,766.9301,57.0882,0.0,0.0,0.0,25486.3441,0.0
8,47.5,21.1968,312.1624,380.7918,260.3254,1961.7268,1272616.0083,50278.8062,918.9978,62.1254,0.0,0.0,0.0,25486.3441,0.0
9,52.5,23.04,341.6224,136.3946,267.9019,2042.3868,1294406.0767,51148.0166,938.0047,64.8985,0.0,0.0,0.0,25486.3441,0.0
10,60.0,0.0,401.6224,344.2522,275.3716,2019.4243,1316458.365,52017.4474,922.5562,65.4861,0.0,0.0,0.0,25486.3441,0.0
11,55.0,90.4209,366.2015,1524.6985,282.0762,2036.1842,1339589.8651,52942.4252,934.6887,66.3872,0.0,0.0,0.0,25486.3441,0.0
12,50.0,105.3925,310.809,618.3411,287.2869,2042.5708,1361798.5477,53811.6307,939.4992,67.0212,0.0,0.0,0.0,25486.3441,0.0
13,45.0,21.3116,334.4975,126.7228,287.3826,1870.6283,1383925.9031,54690.7862,857.7591,64.1675,0.0,0.0,0.0,25486.3441,0.0
14,40.0,0.0,374.4975,193.4632,281.4339,1762.1973,1406442.381,55583.0861,831.8885,60.9217,0.0,0.0,0.0,25486.3441,0.0
15,47.5,44.3516,377.6459,2763.9827,279.6867,1848.4391,1431198.5455,56570.9597,841.5483,63.1107,0.0,0.0,0.0,25486.3441,0.0
16,52.5,136.5009,293.645,569.7428,281.9126,2063.257,1453300.6469,57440.1686,953.5117,66.6401,0.0,0.0,0.0,25486.3441,0.0
17,60.0,0.0,353.645,1873.3549,285.5101,2038.5207,1476872.1936,58369.7212,936.5563,66.7863,0.0,0.0,0.0,25486.3441,0.0
18,55.0,46.08,362.565,440.0081,289.4125,2042.5898,1498963.9424,59239.926,939.6622,67.2539,0.0,0.0,0.0,25486.3441,0.0
19,50.0,59.3231,353.2418,324.8934,292.5955,2021.3067,1520952.6579,60109.127,925.08,67.3893,0.0,0.0,0.0,25486.3441,0.0
20,45.0,44.3516,353.8903,196.0014,291.224,1915.0036,1543083.8346,60988.2818,888.9018,65.0315,0.0,0.0,0.0,25486.3441,0.0
21,40.0,0.0,393.8903,692.9798,284.2136,1740.9213,1566124.7466,61880.602,817.2827,61.013,0.0,0.0,0.0,25486.3441,0.0
22,47.5,44.3409,397.0493,111.5753,281.6981,1848.4571,1588230.489,62759.7017,841.7026,63.3309,0.0,0.0,0.0,25486.3441,0.0
23,52.5,92.16,357.3893,134.4652,283.368,2038.4909,1609968.894,63628.904,936.3846,66.5516,0.0,0.0,0.0,25486.3441,0.0
24,60.0,19.0058,398.3836,1706.4405,286.5632,2019.5137,1633375.3632,64558.4552,923.4073,66.7114,0.0,0.0,0.0,25486.3441,0.0
25,55.0,21.3009,432.0826,1474.4122,290.1746,2038.5624,1656531.2456,65484.0846,936.9141,67.297,0.0,0.0,0.0,25486.3441,0.0
26,50.0,67.3809,414.7017,3053.4948,293.1469,2065.6632,1681194.8465,66463.4145,955.9776,67.8932,0.0,0.0,0.0,25486.3441,0.0
27,45.0,40.3173,419.3843,529.6594,291.623,1893.7062,1703686.2956,67342.6078,874.1133,64.8622,0.0,0.0,0.0,25486.3441,0.0
