record_index,system,component,material_family,present_chain,missing_tier_code,resolution_class,most_probable_resolution,recommended_modeling_decision,validation_question,candidate_name,confidence,source_urls
1,Ens. Equipements latéraux,A5086 - Aluminium,aluminium,T4=Alcoa | T3=AMAG Austria Metall | T2=MISSING | T1=ESPACE,T2,probable_internalized_process,T2 le plus probable: operation internalisee chez le T1 primaire (ESPACE).,Ne pas creer un fournisseur externe; creer un noeud process virtuel T2 rattache au T1 si la simulation exige un T2 explicite.,"Valider gamme/process: usinage, formage, decoupe, traitement, kitting ou assemblage chez le T1.",ESPACE - machining/forming process owner,medium_high,https://www.groupe-lauak.com/lauak-groupe/presentation-du-groupe/sites/;https://www.sumpar.com/en/join-us/;https://www.figeac-aero.com/fr/contact
2,Ens. Stowage latéral,"15CDV6 (chrome, molibdene, vanadium)",steel,T4=Saarstahl | T3=Aubert & Duval | T2=MISSING | T1=MGA Villeneuve St Lot,T2,probable_internalized_process,T2 le plus probable: operation internalisee chez le T1 primaire (MGA Villeneuve St Lot).,Ne pas creer un fournisseur externe; creer un noeud process virtuel T2 rattache au T1 si la simulation exige un T2 explicite.,"Valider gamme/process: usinage, formage, decoupe, traitement, kitting ou assemblage chez le T1.",MGA Villeneuve St Lot - machining/forming process owner,medium_high,https://www.groupe-lauak.com/lauak-groupe/presentation-du-groupe/sites/;https://www.sumpar.com/en/join-us/;https://www.figeac-aero.com/fr/contact
4,Ensemble porte,FILM DECOR AERFILM - Ep0.33 714g-m2,adhesive_composite,T4=MISSING | T3=EPODEX | T2=Combigo | T1=MGA Villeneuve St Lot,T4,probable_material_family_source,"T4 le plus probable: source amont de famille matiere, candidats/famille: BASF / SABIC / Solvay raw polymer or resin source.",Ne pas activer comme fournisseur unique; utiliser comme hypothese de famille tant que la specification matiere n'est pas connue.,"Valider composition exacte, grade, fiche matiere et fournisseur reel.",BASF / SABIC / Solvay raw polymer or resin source,medium,https://www.basf.com/global/en/who-we-are/organization/locations/europe/german-sites/ludwigshafen;https://www.sabic.com/en/about;https://www.solvay.com/en/solutions-market/aerospace
5,Bumper version porte,alliage Cu,copper,T4=Saarstahl | T3=Aurubis | T2=MISSING | T1=SUMPAR,T2,probable_internalized_process,T2 le plus probable: operation internalisee chez le T1 primaire (SUMPAR).,Ne pas creer un fournisseur externe; creer un noeud process virtuel T2 rattache au T1 si la simulation exige un T2 explicite.,"Valider gamme/process: usinage, formage, decoupe, traitement, kitting ou assemblage chez le T1.",SUMPAR - machining/forming process owner,medium_high,https://www.groupe-lauak.com/lauak-groupe/presentation-du-groupe/sites/;https://www.sumpar.com/en/join-us/;https://www.figeac-aero.com/fr/contact
6,Ens. Stowage latéral,cuir,textile_leather,T4=MISSING | T3=Gruppo Mastrotto | T2=Maison Fichet | T1=MGA Villeneuve St Lot,T4,probable_material_family_source,"T4 le plus probable: source amont de famille matiere, candidats/famille: fiber/polymer or hide upstream source.",Ne pas activer comme fournisseur unique; utiliser comme hypothese de famille tant que la specification matiere n'est pas connue.,"Valider composition exacte, grade, fiche matiere et fournisseur reel.",fiber/polymer or hide upstream source,medium,https://www.toray.com/global/;https://www.dupont.com/locations.html.html;https://www.basf.com/global/en/who-we-are/organization/locations/europe/german-sites/ludwigshafen;https://www.ultrafabricsinc.com/
7,lightning,lightning,electronics_cots,T4=MISSING | T3=MISSING | T2=e2ip technologies | T1=Thales,T4,do_not_infer_from_cots,T4: ne pas inferer depuis les marques COTS; il faut la BOM electronique exacte.,Conserver hors reseau switchable; ajouter seulement le fournisseur de carte/equipement exact si connu.,"Valider BOM electronique, EMS/ODM, integrateur, distributeur, et reference composant.",do not infer generic semiconductor/foundry tier,low,https://www.thalesgroup.com/en/markets/aerospace;https://aerospace.honeywell.com/;https://www.collinsaerospace.com/
7,lightning,lightning,electronics_cots,T4=MISSING | T3=MISSING | T2=e2ip technologies | T1=Thales,T3,do_not_infer_from_cots,T3: ne pas inferer depuis les marques COTS; il faut la BOM electronique exacte.,Conserver hors reseau switchable; ajouter seulement le fournisseur de carte/equipement exact si connu.,"Valider BOM electronique, EMS/ODM, integrateur, distributeur, et reference composant.",electronics sub-tier unknown,low,https://www.thalesgroup.com/en/markets/aerospace;https://aerospace.honeywell.com/;https://www.collinsaerospace.com/
9,Stowage assemblé avec porte,Silicone,rubber_silicone,T4=MISSING | T3=Saint-Gobain | T2=Silicone Engineering | T1=MGA Villeneuve St Lot,T4,probable_material_family_source,"T4 le plus probable: source amont de famille matiere, candidats/famille: Shin-Etsu / silicone raw chemistry source.",Ne pas activer comme fournisseur unique; utiliser comme hypothese de famille tant que la specification matiere n'est pas connue.,"Valider composition exacte, grade, fiche matiere et fournisseur reel.",Shin-Etsu / silicone raw chemistry source,medium,https://www.shinetsusilicone-global.com/
10,System IFE (In-Flight Entertainment) est un ensemble d'équipements et de logiciels qui permet aux passagers d'occuper leur temps à bord d'un avion.,System IFE boitier ref FJKL1-3K1100-01ATAB,electronics_cots,T4=MISSING | T3=Saint-Gobain | T2=3M | T1=Thales,T4,do_not_infer_from_cots,T4: ne pas inferer depuis les marques COTS; il faut la BOM electronique exacte.,Conserver hors reseau switchable; ajouter seulement le fournisseur de carte/equipement exact si connu.,"Valider BOM electronique, EMS/ODM, integrateur, distributeur, et reference composant.",do not infer generic semiconductor/foundry tier,low,https://www.thalesgroup.com/en/markets/aerospace;https://aerospace.honeywell.com/;https://www.collinsaerospace.com/
11,Coussin ottoman,tissu,textile_leather,"T4=MISSING | T3=Zhejiang Yuxin Textile Co.,Ltd. | T2=DuPont de Nemours | T1=ETS Gattefin",T4,probable_material_family_source,"T4 le plus probable: source amont de famille matiere, candidats/famille: fiber/polymer or hide upstream source.",Ne pas activer comme fournisseur unique; utiliser comme hypothese de famille tant que la specification matiere n'est pas connue.,"Valider composition exacte, grade, fiche matiere et fournisseur reel.",fiber/polymer or hide upstream source,medium,https://www.toray.com/global/;https://www.dupont.com/locations.html.html;https://www.basf.com/global/en/who-we-are/organization/locations/europe/german-sites/ludwigshafen;https://www.ultrafabricsinc.com/
13,Accoudoir allée,30NCD6 (nickel-chrome- molibdene),steel,T4=Saarstahl | T3=Aubert & Duval | T2=MISSING | T1=SUMPAR,T2,probable_internalized_process,T2 le plus probable: operation internalisee chez le T1 primaire (SUMPAR).,Ne pas creer un fournisseur externe; creer un noeud process virtuel T2 rattache au T1 si la simulation exige un T2 explicite.,"Valider gamme/process: usinage, formage, decoupe, traitement, kitting ou assemblage chez le T1.",SUMPAR - machining/forming process owner,medium_high,https://www.groupe-lauak.com/lauak-groupe/presentation-du-groupe/sites/;https://www.sumpar.com/en/join-us/;https://www.figeac-aero.com/fr/contact
14,Ens. Palette optimisée,35NC6 (nickel-chrome),steel,T4=MISSING | T3=Euralliage Ile de France | T2=MISSING | T1=SUMPAR,T4,probable_material_certificate_source,"T4 le plus probable: fournisseur matiere primaire a choisir via certificat matiere, candidats: Saarstahl / ArcelorMittal / Tata Steel / China Baowu steel source.",Garder en candidat non actif tant que le certificat matiere ou l'achat ne donne pas le producteur/site exact.,"Valider nuance, certificat EN/AMS, mill, pays, site, et allocation.",Saarstahl / ArcelorMittal / Tata Steel / China Baowu steel source,medium,https://luxembourg.arcelormittal.com/en/arcelormittal-in-luxembourg/headquarters;https://www.tata.com/business/tata-steel;https://craft.co/baosteel/locations
14,Ens. Palette optimisée,35NC6 (nickel-chrome),steel,T4=MISSING | T3=Euralliage Ile de France | T2=MISSING | T1=SUMPAR,T2,probable_internalized_process,T2 le plus probable: operation internalisee chez le T1 primaire (SUMPAR).,Ne pas creer un fournisseur externe; creer un noeud process virtuel T2 rattache au T1 si la simulation exige un T2 explicite.,"Valider gamme/process: usinage, formage, decoupe, traitement, kitting ou assemblage chez le T1.",SUMPAR - machining/forming process owner,medium_high,https://www.groupe-lauak.com/lauak-groupe/presentation-du-groupe/sites/;https://www.sumpar.com/en/join-us/;https://www.figeac-aero.com/fr/contact
16,Stowage assemblé avec porte,35NC6 (nickel-chrome),steel,T4=Alcoa | T3=MISSING | T2=MISSING | T1=ETS Gattefin,T3,probable_existing_material_processor,"T3 le plus probable: un transformateur matiere deja present dans la supply, candidats: thyssenkrupp Materials France / Aubert & Duval / Euralliage.",Prioriser le candidat deja utilise sur la meme famille matiere; activer seulement avec traceabilite grade/site.,Valider stockiste/forge/lamineur/extrudeur exact et flux vers le T1.,thyssenkrupp Materials France / Aubert & Duval / Euralliage,medium,https://www.thyssenkrupp-aerospace.com/en/company/locations/france;https://www.aubertduval.com/;https://www.euralliage.com/coordonnees.htm
16,Stowage assemblé avec porte,35NC6 (nickel-chrome),steel,T4=Alcoa | T3=MISSING | T2=MISSING | T1=ETS Gattefin,T2,probable_internalized_process,T2 le plus probable: operation internalisee chez le T1 primaire (ETS Gattefin).,Ne pas creer un fournisseur externe; creer un noeud process virtuel T2 rattache au T1 si la simulation exige un T2 explicite.,"Valider gamme/process: usinage, formage, decoupe, traitement, kitting ou assemblage chez le T1.",ETS Gattefin - machining/forming process owner,medium_high,https://www.groupe-lauak.com/lauak-groupe/presentation-du-groupe/sites/;https://www.sumpar.com/en/join-us/;https://www.figeac-aero.com/fr/contact
29,Accoudoir allée,A5086 - Aluminium,aluminium,T4=Alcoa | T3=AMAG Austria Metall | T2=MISSING | T1=ESPACE,T2,probable_internalized_process,T2 le plus probable: operation internalisee chez le T1 primaire (ESPACE).,Ne pas creer un fournisseur externe; creer un noeud process virtuel T2 rattache au T1 si la simulation exige un T2 explicite.,"Valider gamme/process: usinage, formage, decoupe, traitement, kitting ou assemblage chez le T1.",ESPACE - machining/forming process owner,medium_high,https://www.groupe-lauak.com/lauak-groupe/presentation-du-groupe/sites/;https://www.sumpar.com/en/join-us/;https://www.figeac-aero.com/fr/contact
30,Bumper version porte,A5086 - Aluminium,aluminium,T4=Alcoa | T3=AMAG Austria Metall | T2=MISSING | T1=ESPACE,T2,probable_internalized_process,T2 le plus probable: operation internalisee chez le T1 primaire (ESPACE).,Ne pas creer un fournisseur externe; creer un noeud process virtuel T2 rattache au T1 si la simulation exige un T2 explicite.,"Valider gamme/process: usinage, formage, decoupe, traitement, kitting ou assemblage chez le T1.",ESPACE - machining/forming process owner,medium_high,https://www.groupe-lauak.com/lauak-groupe/presentation-du-groupe/sites/;https://www.sumpar.com/en/join-us/;https://www.figeac-aero.com/fr/contact
