component_item_id,safety_days,planned_avg_daily_demand_qty,observed_avg_daily_flow_qty,stock_equiv_safety_time_qty,explicit_safety_stock_qty,effective_reference_stock_qty,unit_value_eur,avg_stock_value_eur,safety_delay_value_eur,effective_reference_value_eur,excess_above_safety_delay_eur,excess_above_effective_reference_eur,share_above_safety_pct
item:049371,40.0,20.173764,3.225901,806.950561,888.0,938.782895,14.65,276447.160724,11821.82571865,13753.16941175,264625.33500535,262693.99131225,95.72365811691128
item:002612,20.0,27.261843,4.359325,545.236866,0.0,594.028487,1.26,243584.19921363232,686.9984511599998,748.4758936200001,242897.20076247232,242835.7233200123,99.71796263740511
item:007923,15.0,43.618949,6.974921,654.284239,0.0,712.457428,2.0,143961.41403076923,1308.568478,1424.9148559999999,142652.84555276923,142536.49917476924,99.09102832393664
item:001757,20.0,21.809475,3.48746,436.189493,0.0,474.869934,5.43,81828.7331436923,2368.50894699,2578.5437416199998,79460.2241967023,79250.18940207231,97.10552900430358
item:338928,10.0,13429.479452,2147.450959,134294.794521,0.0,146245.589973,0.14131,75983.012025,18977.197413762507,20665.96431908463,57005.81461123749,55317.04770591537,75.02442071193674
item:338929,10.0,13429.479452,2147.450959,134294.794521,0.0,146241.453881,0.21585,45642.312692307685,28987.53139735785,31566.21782021385,25180.51057105995,23395.266124467333,55.16922584710249
item:001848,20.0,16.357106,2.615595,327.142119,0.0,356.417092,2.89,42899.34166984616,945.44072391,1030.0453958800001,41953.90094593616,41869.29627396615,97.79614164901149
item:099439,7.0,27.261843,4.359325,190.832903,0.0,207.824945,9.17,41552.825138461536,1749.93772051,1905.7547456500001,39802.88741795153,39647.07039281154,95.78864321576476
item:001893,15.0,103.595004,16.565437,1553.925067,0.0,1692.161308,4.64,37615.70247876923,7210.212310879999,7851.628469119999,30405.490167889224,29764.074009649226,80.8319083899881
item:055703,30.0,1.090474,0.174373,32.714212,0.0,35.623015,34.775,28630.595333775,1137.6367223,1238.790346625,27492.958611474998,27391.804987149997,96.02649994162729
item:016332,7.0,6.542842,1.046238,45.799897,0.0,49.873853,27.62,21464.19819396923,1264.99315514,1377.51581986,20199.205038829234,20086.68237410923,94.10649704354938
item:426331,7.0,147.724274,23.621961,1034.069918,0.0,1125.345117,0.50393,19900.792663230768,521.0988537777399,567.0951648098101,19379.69380945303,19333.69749842096,97.38151709534398
item:039668,7.0,0.545237,0.087187,3.816658,0.0,4.156499,12.21,5505.127997261539,46.60139417999999,50.75085279,5458.526603081539,5454.3771444715385,99.15349117762237
item:029313,7.0,0.545237,0.087187,3.816658,0.0,4.156145,2.07,451.2712480615385,7.90048206,8.60322015,443.37076600153847,442.6680279115384,98.24928308773559
