shock_name,type,target,exogenous_severity,amplitude_rel,lost_area_rel,area_rel_norm,recovery_time,cost_delta_rel,score
site_drop40::PLANT_FR,site_capacity_drop,PLANT_FR,1.6842105263157894,0.39285714285714285,0.08389513108614233,0.04981273408239701,1,0.00914267122173418,0.8531310070213948
material_drop50::Foam,material_capacity_drop,Foam,2.1621621621621623,0.33035714285714285,0.08239700374531835,0.03810861423220973,1,0.010053684724255734,0.8721188868312225
site_shutdown::PLANT_US,site_shutdown,PLANT_US,3.1578947368421053,0.32142857142857145,0.08838951310861423,0.027990012484394505,1,0.006474703107206768,0.8738361781615274
site_drop40::PLANT_UK,site_capacity_drop,PLANT_UK,1.0526315789473684,0.3125,0.0853932584269663,0.08112359550561798,1,0.0002602895721490158,0.8781959752907694
site_drop40::PLANT_US,site_capacity_drop,PLANT_US,1.263157894736842,0.32142857142857145,0.06816479400749063,0.05396379525593009,1,0.00247275093541565,0.8794926507625769
site_shutdown::PLANT_UK,site_shutdown,PLANT_UK,2.631578947368421,0.3125,0.08014981273408239,0.030456928838951312,1,0.00019521717911176182,0.879516597572946
material_drop50::Ti,material_capacity_drop,Ti,0.13513513513513514,0.26785714285714285,0.08089887640449438,0.5986516853932583,1,-0.00029282576866764275,0.8927514713750668
material_block::Al,material_block,Al,5.405405405405405,0.26785714285714285,0.07191011235955057,0.013303370786516855,1,0.00029282576866764275,0.8949547385210027
material_drop50::Al,material_capacity_drop,Al,2.7027027027027026,0.22321428571428573,0.05767790262172284,0.02134082397003745,1,0.001301447860745079,0.9117543547845052
material_block::Foam,material_block,Foam,4.324324324324325,0.21428571428571427,0.058426966292134834,0.01351123595505618,1,3.2536196518626975e-05,0.9144359970451076
site_shutdown::PLANT_FR,site_shutdown,PLANT_FR,4.2105263157894735,0.125,0.030711610486891385,0.007294007490636705,1,0.002277533756303888,0.9478138006481649
material_block::Ti,material_block,Ti,0.2702702702702703,0.08928571428571429,0.030711610486891385,0.11363295880149812,1,0.0006832601268911664,0.9587672274068625
