Utilisateur;Type;Système;Composant;Fournisseur composant;Mode de transport du fournisseur direct;Compagnie de transport;1ére transformation avant réalisation;Risque de défaillance Frs 1ére transformation;Matière 1ére;Transport vers la 1ére transformation - Fonderie;Fournisseur matière 1ére;Transport de mine vers Raffinerie
Safran;Sous-ensemble;Ens. Tablette repas;A2017 - Aluminium;"GATTEFIN (France)*
SUMPAR (France)
Figeac Aéro (France)
Jamco (Japon)";Camion;"Interne entreprise
KUEHNE-NAGEL Road
GEODIS
DENJEAN Logistique
GONDRAND";"Euralliage ( France)
Aluminium France (France)
Thyssen group (France)";3 continents, 3 modes de transport , 2 voies marintimes, 4 continents d'extraction (Asie, Australie, Chine, Canada) --> Faible malgrés certaines tensions d'approvisionnement lié à l'expension de pays demandeurs (Chine / Inde);Aluminium;Train - Camion - Bateau;"Alcoa (USA)
Constellium (France/USA)
Austria metall (Autriche)
Hindalco (Inde)
Aluminium Corporation of China (Chine)
Thyssen group (France)
TATA Steel (Inde - France)";
Safran;Sous-ensemble;Ens. Têtière;A2017 - Aluminium;"GATTEFIN (France)*
SUMPAR (France)
Lauak Group (France)
Figeac Aéro (France)";Camion;"Interne entreprise
KUEHNE-NAGEL Road
GEODIS
DENJEAN Logistique
GONDRAND";"Euralliage ( France)
Aluminium France (France)
Thyssen group (France)";3 continents, 3 modes de transport , 2 voies marintimes, 4 continents d'extraction (Asie, Australie, Chine, Canada) --> Faible malgrés certaines tensions d'approvisionnement lié à l'expension de pays demandeurs (Chine / Inde);Aluminium;Train - Camion - Bateau;"Alcoa (USA)
Constellium (France/USA)
Austria metall (Autriche)
Hindalco (Inde)
Aluminium Corporation of China (Chine)
Thyssen group (France)
TATA Steel (Inde - France)";
Safran;Sous-ensemble;Stowage assemblé avec porte;A2017 - Aluminium;"GATTEFIN (France)*
SUMPAR (France)
Lauak Group (France)
Figeac Aéro (France)";Camion;"Interne entreprise
KUEHNE-NAGEL Road
GEODIS
DENJEAN Logistique
GONDRAND";"Euralliage ( France)
Aluminium France (France)
Thyssen group (France)";3 continents, 3 modes de transport , 2 voies marintimes, 4 continents d'extraction (Asie, Australie, Chine, Canada) --> Faible malgrés certaines tensions d'approvisionnement lié à l'expension de pays demandeurs (Chine / Inde);Aluminium;Train - Camion - Bateau;"Alcoa (USA)
Constellium (France/USA)
Austria metall (Autriche)
Hindalco (Inde)
Aluminium Corporation of China (Chine)
Thyssen group (France)
TATA Steel (Inde - France)";
Safran;Sous-ensemble;Support écran;A2017 - Aluminium;"GATTEFIN (France)*
SUMPAR (France)
Lauak Group (France)
Figeac Aéro (France)";Camion;"Interne entreprise
KUEHNE-NAGEL Road
GEODIS
DENJEAN Logistique
GONDRAND";"Euralliage ( France)
Aluminium France (France)
Thyssen group (France)";3 continents, 3 modes de transport , 2 voies marintimes, 4 continents d'extraction (Asie, Australie, Chine, Canada) --> Faible malgrés certaines tensions d'approvisionnement lié à l'expension de pays demandeurs (Chine / Inde);Aluminium;Train - Camion - Bateau;"Alcoa (USA)
Constellium (France/USA)
Austria metall (Autriche)
Hindalco (Inde)
Aluminium Corporation of China (Chine)
Thyssen group (France)
TATA Steel (Inde - France)";
Safran;Sous-ensemble;Accoudoir allée;A2024 - Aluminium;"SUMPAR (France)*
segnere aero SAS (France)
Figeac Aéro (France)";Camion;"Interne entreprise
KUEHNE-NAGEL Road
GEODIS
DENJEAN Logistique
GONDRAND";"Euralliage ( France)
Aluminium France (France)
Thyssen group (France)";3 continents, 3 modes de transport , 2 voies marintimes, 4 continents d'extraction (Asie, Australie, Chine, Canada) --> Faible malgrés certaines tensions d'approvisionnement lié à l'expension de pays demandeurs (Chine / Inde);Aluminium;Train - Camion - Bateau;"Alcoa (USA)
Constellium (France/USA)
Austria metall (Autriche)
Hindalco (Inde)
Aluminium Corporation of China (Chine)
Thyssen group (France)
TATA Steel (Inde - France)";
Safran;Sous-ensemble;Accoudoir allée;Transport;"SUMPAR (France)*
segnere aero SAS (France)
MGA (Villeneuve s/ Lot)
Lauak Group (France)";Camion - Bateau;"Kuehne-Nagel (Allemagne)
Combigo (France)
GEODIS (France)
XPO Logistic (USA)
CEVA Logistics (France)";"Film célophane
RUBAFILM (France)
SURFILM PACKAGING (France)
SORETRAC (France)
Chips d'emballage
Storopack (France)
Butterfly Packaging (France)
Carton
Butterfly Packaging (France)
RAJA (France)
Transpack Group (France)
Palette européenne
Socarbois (France)
Palette.com (France)";Multisourcing ;"CONTENAIRE
Kuehne-Nagel (Allemagne)
Combigo (France)
GEODIS (France)
XPO Logistic (USA)
CEVA Logistics (France)";Bateau - Camion;"CONTENAIRE
Kuehne-Nagel (Allemagne)
Combigo (France)
GEODIS (France)
XPO Logistic (USA)
CEVA Logistics (France)";
Safran;Sous-ensemble;Ens. Tablette cocktail;A2024 - Aluminium;"MGA (Villeneuve s/ Lot)*
GATTEFIN (France)
SUMPAR (France)
Figeac Aéro (France)
Jamco Corp (Japon)";Camion;"Interne entreprise
KUEHNE-NAGEL Road
GEODIS
DENJEAN Logistique
GONDRAND";"Euralliage ( France)
Aluminium France (France)
Thyssen group (France)";3 continents, 3 modes de transport , 2 voies marintimes, 4 continents d'extraction (Asie, Australie, Chine, Canada) --> Faible malgrés certaines tensions d'approvisionnement lié à l'expension de pays demandeurs (Chine / Inde);Aluminium;Train - Camion - Bateau;"Alcoa (USA)
Constellium (France/USA)
Austria metall (Autriche)
Hindalco (Inde)
Aluminium Corporation of China (Chine)
Thyssen group (France)
TATA Steel (Inde - France)";
Safran;Sous-ensemble;Ens. Tablette repas;A2024 - Aluminium;"GATTEFIN (France)*
SUMPAR (France)
Figeac Aéro (France)
Jamco (Japon)";Camion;"Interne entreprise
KUEHNE-NAGEL Road
GEODIS
DENJEAN Logistique
GONDRAND";"Euralliage ( France)
Aluminium France (France)
Thyssen group (France)";3 continents, 3 modes de transport , 2 voies marintimes, 4 continents d'extraction (Asie, Australie, Chine, Canada) --> Faible malgrés certaines tensions d'approvisionnement lié à l'expension de pays demandeurs (Chine / Inde);Aluminium;Train - Camion - Bateau;"Alcoa (USA)
Constellium (France/USA)
Austria metall (Autriche)
Hindalco (Inde)
Aluminium Corporation of China (Chine)
Thyssen group (France)
TATA Steel (Inde - France)";
Safran;Sous-ensemble;Ens. Têtière;A2024 - Aluminium;"GATTEFIN (France)*
SUMPAR (France)
Figeac Aéro (France)";Camion;"Interne entreprise
KUEHNE-NAGEL Road
GEODIS
DENJEAN Logistique
GONDRAND";"Euralliage ( France)
Aluminium France (France)
Thyssen group (France)";3 continents, 3 modes de transport , 2 voies marintimes, 4 continents d'extraction (Asie, Australie, Chine, Canada) --> Faible malgrés certaines tensions d'approvisionnement lié à l'expension de pays demandeurs (Chine / Inde);Aluminium;Train - Camion - Bateau;"Alcoa (USA)
Constellium (France/USA)
Austria metall (Autriche)
Hindalco (Inde)
Aluminium Corporation of China (Chine)
Thyssen group (France)
TATA Steel (Inde - France)";
Safran;Sous-ensemble;Ens. Tablette repas;A2024 - Aluminium;"GATTEFIN (France)*
SUMPAR (France)
Figeac Aéro (France)
Jamco (Japon)";Camion;"Interne entreprise
KUEHNE-NAGEL Road
GEODIS
DENJEAN Logistique
GONDRAND";"Euralliage ( France)
Aluminium France (France)
Thyssen group (France)";3 continents, 3 modes de transport , 2 voies marintimes, 4 continents d'extraction (Asie, Australie, Chine, Canada) --> Faible malgrés certaines tensions d'approvisionnement lié à l'expension de pays demandeurs (Chine / Inde);Aluminium;Train - Camion - Bateau;"Alcoa (USA)
Constellium (France/USA)
Austria metall (Autriche)
Hindalco (Inde)
Aluminium Corporation of China (Chine)
Thyssen group (France)
TATA Steel (Inde - France)";
Safran;Sous-ensemble;Accoudoir allée;A5086 - Aluminium;"SUMPAR (France)*
segnere aero SAS (France)
Figeac Aéro (France)";Camion;"Interne entreprise
KUEHNE-NAGEL Road
GEODIS
DENJEAN Logistique
GONDRAND";"Euralliage ( France)
Aluminium France (France)
Thyssen group (France)";3 continents, 3 modes de transport , 2 voies marintimes, 4 continents d'extraction (Asie, Australie, Chine, Canada) --> Faible malgrés certaines tensions d'approvisionnement lié à l'expension de pays demandeurs (Chine / Inde);Aluminium;Train - Camion - Bateau;"Alcoa (USA)
Constellium (France/USA)
Austria metall (Autriche)
Hindalco (Inde)
Aluminium Corporation of China (Chine)
Thyssen group (France)
TATA Steel (Inde - France)";
Safran;Sous-ensemble;Bumper version porte;A5086 - Aluminium;"SUMPAR (France)*
segnere aero SAS (France)
MGA (Villeneuve s/ Lot)
SENIOR AEROSPACE (Thailand)";Camion;"Interne entreprise
KUEHNE-NAGEL Road
GEODIS
DENJEAN Logistique
GONDRAND";"Euralliage ( France)
Aluminium France (France)
Thyssen group (France)";3 continents, 3 modes de transport , 2 voies marintimes, 4 continents d'extraction (Asie, Australie, Chine, Canada) --> Faible malgrés certaines tensions d'approvisionnement lié à l'expension de pays demandeurs (Chine / Inde);Aluminium;Train - Camion - Bateau;"Alcoa (USA)
Constellium (France/USA)
Austria metall (Autriche)
Hindalco (Inde)
Aluminium Corporation of China (Chine)
Thyssen group (France)
TATA Steel (Inde - France)";
Safran;Sous-ensemble;Ens. Stowage latéral;A5086 - Aluminium;"MGA (Villeneuve s/ Lot)*
GATTEFIN (France)
Figeac Aéro (France)";Camion;"Interne entreprise
KUEHNE-NAGEL Road
GEODIS
DENJEAN Logistique
GONDRAND";"Euralliage ( France)
Aluminium France (France)
Thyssen group (France)";3 continents, 3 modes de transport , 2 voies marintimes, 4 continents d'extraction (Asie, Australie, Chine, Canada) --> Faible malgrés certaines tensions d'approvisionnement lié à l'expension de pays demandeurs (Chine / Inde);Aluminium;Train - Camion - Bateau;"Alcoa (USA)
Constellium (France/USA)
Austria metall (Autriche)
Hindalco (Inde)
Aluminium Corporation of China (Chine)
Thyssen group (France)
TATA Steel (Inde - France)";
Safran;Sous-ensemble;Ens. Equipements latéraux;"Velours
EU28: Polyurethane flexible foam, with flame retardant
EU28: PA6.6 fibres";"ESPACE (France)*
GATTEFIN (France)
Celso (France)";Camion;"Interne entreprise
KUEHNE-NAGEL Road
GEODIS
DENJEAN Logistique
GONDRAND";"TELATEX (France)
TISSEN (France)
ASD Textiles (France)

Ensinger (Allemagne)
BASF (Allemagne)
DuPont de Nemours (Delaware - USA)
Toray Industries, Inc. (Japon)
BAULE(France)";Multisourcing ;Velours / Aluminium / Polyamide;Bateau - Camion;"Velours:
SOMANI (Portugal)
GLAMOUR VELVET (Japon)
Tongxiang Zhuoyi Textile (Chine)
Kvadrat (Danemark)
Tissu Huddersfield (Royaume-Uni)


polyurèthane:
Mitsubischi chemical (Japon)
BASF (Allemagne)
Krohne (Allemagne)
DuPont de Nemours (Delaware - USA)";Bateau, Pipeline
Safran;Sous-ensemble;Ens. Structure fauteuil;4140 (acier);"SENIOR AEROSPACE(Thailand)*
MGA (Villeneuve s/ Lot)
Lauak Group (France)
SUMPAR (France)";Camion;"Interne entreprise
KUEHNE-NAGEL Road
GEODIS
DENJEAN Logistique
GONDRAND";"Altec Etirage (France)
Thyssen group (France)
Aubert&Duval (France)*
";3 continents, 3 modes de transport , 2 voies marintimes, 4 continents d'extraction (Afrique, Australie, Chine, Europe) --> Faible malgrés certaines tensions d'approvisionnement lié à l'expension de pays demandeurs (Chine / Inde);Acier;Train - Camion - Bateau;"Saarstahl (Allemagne)
Arcelor Mittal (Luxembourg)
Krupp (Allemagne)
China Baowu (Chine)
Thyssen group (France)
TATA Steel (Inde - France)Nucor Corp (USA)
Aubert&Duval (France)";
Safran;Sous-ensemble;Habillage sous fauteuil;A5086 - Aluminium;"GATTEFIN (France)
ESPACE (France)*
Figeac Aéro (France)";Camion;"Interne entreprise
KUEHNE-NAGEL Road
GEODIS
DENJEAN Logistique
GONDRAND";"Euralliage ( France)
Aluminium France (France)
Thyssen group (France)";3 continents, 3 modes de transport , 2 voies marintimes, 4 continents d'extraction (Asie, Australie, Chine, Canada) --> Faible malgrés certaines tensions d'approvisionnement lié à l'expension de pays demandeurs (Chine / Inde);Aluminium;Train - Camion - Bateau;"Alcoa (USA)
Constellium (France/USA)
Austria metall (Autriche)
Hindalco (Inde)
Aluminium Corporation of China (Chine)
Thyssen group (France)
TATA Steel (Inde - France)";
Safran;Sous-ensemble;Manchette acc. Mobile;A5086 - Aluminium;"FUCH(s) THAILAND* ??
segnere aero SAS (France)
GATTEFIN (France)
Figeac Aéro (France)";Camion;"Interne entreprise
KUEHNE-NAGEL Road
GEODIS
DENJEAN Logistique
GONDRAND";"Euralliage ( France)
Aluminium France (France)
Thyssen group (France)";3 continents, 3 modes de transport , 2 voies marintimes, 4 continents d'extraction (Asie, Australie, Chine, Canada) --> Faible malgrés certaines tensions d'approvisionnement lié à l'expension de pays demandeurs (Chine / Inde);Aluminium;Train - Camion - Bateau;"Alcoa (USA)
Constellium (France/USA)
Austria metall (Autriche)
Hindalco (Inde)
Aluminium Corporation of China (Chine)
Thyssen group (France)
TATA Steel (Inde - France)";
Safran;Sous-ensemble;Manchette équipée;A5086 - Aluminium;"FUCH(s) THAILAND* ??
segnere aero SAS (France)
GATTEFIN (France)
Figeac Aéro (France)";Camion;"Interne entreprise
KUEHNE-NAGEL Road
GEODIS
DENJEAN Logistique
GONDRAND";"Euralliage ( France)
Aluminium France (France)
Thyssen group (France)";3 continents, 3 modes de transport , 2 voies marintimes, 4 continents d'extraction (Asie, Australie, Chine, Canada) --> Faible malgrés certaines tensions d'approvisionnement lié à l'expension de pays demandeurs (Chine / Inde);Aluminium;Train - Camion - Bateau;"Alcoa (USA)
Constellium (France/USA)
Austria metall (Autriche)
Hindalco (Inde)
Aluminium Corporation of China (Chine)
Thyssen group (France)
TATA Steel (Inde - France)";
Safran;Sous-ensemble;Renfort tubulaire;A5086 - Aluminium;"segnere aero SAS (France)*
L&P Aerospace (France)
JV Group ( France)
SENIOR AEROSPACE (France)";Camion;"Interne entreprise
KUEHNE-NAGEL Road
GEODIS
DENJEAN Logistique
GONDRAND";"Euralliage ( France)
Aluminium France (France)
Thyssen group (France)";3 continents, 3 modes de transport , 2 voies marintimes, 4 continents d'extraction (Asie, Australie, Chine, Canada) --> Faible malgrés certaines tensions d'approvisionnement lié à l'expension de pays demandeurs (Chine / Inde);Aluminium;Train - Camion - Bateau;"Alcoa (USA)
Constellium (France/USA)
Austria metall (Autriche)
Hindalco (Inde)
Aluminium Corporation of China (Chine)
Thyssen group (France)
TATA Steel (Inde - France)";
Safran;Sous-ensemble;Stowage assemblé avec porte;A5086 - Aluminium;"GATTEFIN (France)*
Figeac Aero (France)
MGA (Villeneuve s/ Lot)
Senior Aerospace (Thaïlande)";Camion;"Interne entreprise
KUEHNE-NAGEL Road
GEODIS
DENJEAN Logistique
GONDRAND";"Euralliage ( France)
Aluminium France (France)
Thyssen group (France)";3 continents, 3 modes de transport , 2 voies marintimes, 4 continents d'extraction (Asie, Australie, Chine, Canada) --> Faible malgrés certaines tensions d'approvisionnement lié à l'expension de pays demandeurs (Chine / Inde);Aluminium;Train - Camion - Bateau;"Alcoa (USA)
Constellium (France/USA)
Austria metall (Autriche)
Hindalco (Inde)
Aluminium Corporation of China (Chine)
Thyssen group (France)
TATA Steel (Inde - France)";
Safran;Sous-ensemble;Structure ottoman horizontale;A5086 - Aluminium;"JV GROUP (France)*
L&P Aerospace (France)";Camion;"Interne entreprise
KUEHNE-NAGEL Road
GEODIS
DENJEAN Logistique
GONDRAND";"Euralliage ( France)
Aluminium France (France)
Thyssen group (France)";3 continents, 3 modes de transport , 2 voies marintimes, 4 continents d'extraction (Asie, Australie, Chine, Canada) --> Faible malgrés certaines tensions d'approvisionnement lié à l'expension de pays demandeurs (Chine / Inde);Aluminium;Train - Camion - Bateau;"Alcoa (USA)
Constellium (France/USA)
Austria metall (Autriche)
Hindalco (Inde)
Aluminium Corporation of China (Chine)
Thyssen group (France)
TATA Steel (Inde - France)";
Safran;Sous-ensemble;Support écran;A5086 - Aluminium;"SAFRAN*
GATTEFIN (France)
Figeac Aéro (France)";Camion;"Interne entreprise
KUEHNE-NAGEL Road
GEODIS
DENJEAN Logistique
GONDRAND";"Euralliage ( France)
Aluminium France (France)
Thyssen group (France)";3 continents, 3 modes de transport , 2 voies marintimes, 4 continents d'extraction (Asie, Australie, Chine, Canada) --> Faible malgrés certaines tensions d'approvisionnement lié à l'expension de pays demandeurs (Chine / Inde);Aluminium;Train - Camion - Bateau;"Alcoa (USA)
Constellium (France/USA)
Austria metall (Autriche)
Hindalco (Inde)
Aluminium Corporation of China (Chine)
Thyssen group (France)
TATA Steel (Inde - France)";
Safran;Sous-ensemble;Support équipé;A5086 - Aluminium;"ESPACE (France)*
GATTEFIN (France)
Lauak (France)
Figeac Aéro (France)";Camion;"Interne entreprise
KUEHNE-NAGEL Road
GEODIS
DENJEAN Logistique
GONDRAND";"Euralliage ( France)
Aluminium France (France)
Thyssen group (France)";3 continents, 3 modes de transport , 2 voies marintimes, 4 continents d'extraction (Asie, Australie, Chine, Canada) --> Faible malgrés certaines tensions d'approvisionnement lié à l'expension de pays demandeurs (Chine / Inde);Aluminium;Train - Camion - Bateau;"Alcoa (USA)
Constellium (France/USA)
Austria metall (Autriche)
Hindalco (Inde)
Aluminium Corporation of China (Chine)
Thyssen group (France)
TATA Steel (Inde - France)";
Safran;Sous-ensemble;Support manchette équipée;A5086 - Aluminium;"ESPACE (France)*
GATTEFIN (France)
Lauak (France)
Figeac Aéro (France)";Camion;"Interne entreprise
KUEHNE-NAGEL Road
GEODIS
DENJEAN Logistique
GONDRAND";"Euralliage ( France)
Aluminium France (France)
Thyssen group (France)";3 continents, 3 modes de transport , 2 voies marintimes, 4 continents d'extraction (Asie, Australie, Chine, Canada) --> Faible malgrés certaines tensions d'approvisionnement lié à l'expension de pays demandeurs (Chine / Inde);Aluminium;Train - Camion - Bateau;"Alcoa (USA)
Constellium (France/USA)
Austria metall (Autriche)
Hindalco (Inde)
Aluminium Corporation of China (Chine)
Thyssen group (France)
TATA Steel (Inde - France)";
Safran;Sous-ensemble;Support NFC;A5086 - Aluminium;"ESPACE (France)*
GATTEFIN (France)
Lauak (France)
Figeac Aéro (France)";Camion;"Interne entreprise
KUEHNE-NAGEL Road
GEODIS
DENJEAN Logistique
GONDRAND";"Euralliage ( France)
Aluminium France (France)
Thyssen group (France)";3 continents, 3 modes de transport , 2 voies marintimes, 4 continents d'extraction (Asie, Australie, Chine, Canada) --> Faible malgrés certaines tensions d'approvisionnement lié à l'expension de pays demandeurs (Chine / Inde);Aluminium;Train - Camion - Bateau;"Alcoa (USA)
Constellium (France/USA)
Austria metall (Autriche)
Hindalco (Inde)
Aluminium Corporation of China (Chine)
Thyssen group (France)
TATA Steel (Inde - France)";
