variant,record_index,system,component,present_roles,missing_roles,complete_roles,has_t1,has_oem,direct_adjacent_edge_count,bridge_needed,bridge_labels,status
primary,1,Ens. Equipements latéraux,A5086 - Aluminium,T4;T3;T1;OEM,T2,False,True,True,2,True,T3->T1 missing:T2,continuous_with_gap_bridge
primary,2,Ens. Stowage latéral,"15CDV6 (chrome, molibdene, vanadium)",T4;T3;T1;OEM,T2,False,True,True,2,True,T3->T1 missing:T2,continuous_with_gap_bridge
primary,3,Ens. Equipements latéraux,Ertalon par moulage par injection plastique,T4;T3;T2;T1;OEM,,True,True,True,4,False,,continuous_direct
primary,4,Ensemble porte,FILM DECOR AERFILM - Ep0.33 714g-m2,T3;T2;T1;OEM,T4,False,True,True,3,False,,continuous_direct
primary,5,Bumper version porte,alliage Cu,T3;T1;OEM,T4;T2,False,True,True,1,True,T3->T1 missing:T2,continuous_with_gap_bridge
primary,6,Ens. Stowage latéral,cuir,T3;T2;T1;OEM,T4,False,True,True,3,False,,continuous_direct
primary,7,lightning,lightning,T2;T1;OEM,T4;T3,False,True,True,2,False,,continuous_direct
primary,8,Padding (rembourrage),AIRVOLT LAMINAT,T4;T3;T2;T1;OEM,,True,True,True,4,False,,continuous_direct
primary,9,Stowage assemblé avec porte,Silicone,T3;T2;T1;OEM,T4,False,True,True,3,False,,continuous_direct
primary,10,System IFE (In-Flight Entertainment) est un ensemble d'équipements et de logiciels qui permet aux passagers d'occuper leur temps à bord d'un avion.,System IFE boitier ref FJKL1-3K1100-01ATAB,T3;T2;T1;OEM,T4,False,True,True,3,False,,continuous_direct
primary,11,Coussin ottoman,tissu,T3;T2;T1;OEM,T4,False,True,True,3,False,,continuous_direct
primary,12,Manchette acc. Mobile,FRMC55:EU28 polyuréthane flexible traité UL,T4;T3;T2;T1;OEM,,True,True,True,4,False,,continuous_direct
primary,13,Accoudoir allée,30NCD6 (nickel-chrome- molibdene),T4;T3;T1;OEM,T2,False,True,True,2,True,T3->T1 missing:T2,continuous_with_gap_bridge
primary,14,Ens. Palette optimisée,35NC6 (nickel-chrome),T3;T1;OEM,T4;T2,False,True,True,1,True,T3->T1 missing:T2,continuous_with_gap_bridge
primary,15,Ens. Equipements latéraux,acier,T4;T3;T2;T1;OEM,,True,True,True,4,False,,continuous_direct
primary,16,Stowage assemblé avec porte,35NC6 (nickel-chrome),T1;OEM,T4;T3;T2,False,True,True,1,False,,continuous_direct
primary,17,Accoudoir allée,A2017 - Aluminium,T4;T3;T2;T1;OEM,,True,True,True,4,False,,continuous_direct
primary,18,Ens. Stowage latéral,A2017 - Aluminium,T4;T3;T2;T1;OEM,,True,True,True,4,False,,continuous_direct
primary,19,Ens. Palette optimisée,A2017 - Aluminium,T4;T3;T2;T1;OEM,,True,True,True,4,False,,continuous_direct
primary,20,Ens. Tablette cocktail,A2017 - Aluminium,T4;T3;T2;T1;OEM,,True,True,True,4,False,,continuous_direct
primary,21,Ens. Tablette repas,A2017 - Aluminium,T4;T3;T2;T1;OEM,,True,True,True,4,False,,continuous_direct
primary,22,Ens. Têtière,A2017 - Aluminium,T4;T3;T2;T1;OEM,,True,True,True,4,False,,continuous_direct
primary,23,Stowage assemblé avec porte,A2017 - Aluminium,T4;T3;T2;T1;OEM,,True,True,True,4,False,,continuous_direct
primary,24,Support écran,A2017 - Aluminium,T4;T3;T2;T1;OEM,,True,True,True,4,False,,continuous_direct
primary,25,Accoudoir allée,A2024 - Aluminium,T4;T3;T2;T1;OEM,,True,True,True,4,False,,continuous_direct
primary,26,Ens. Tablette cocktail,A2024 - Aluminium,T4;T3;T2;T1;OEM,,True,True,True,4,False,,continuous_direct
primary,27,Ens. Tablette repas,A2024 - Aluminium,T4;T3;T2;T1;OEM,,True,True,True,4,False,,continuous_direct
primary,28,Ens. Têtière,A2024 - Aluminium,T4;T3;T2;T1;OEM,,True,True,True,4,False,,continuous_direct
primary,29,Accoudoir allée,A5086 - Aluminium,T4;T3;T1;OEM,T2,False,True,True,2,True,T3->T1 missing:T2,continuous_with_gap_bridge
primary,30,Bumper version porte,A5086 - Aluminium,T4;T3;T1;OEM,T2,False,True,True,2,True,T3->T1 missing:T2,continuous_with_gap_bridge
primary,31,Ens. Stowage latéral,A5086 - Aluminium,T4;T3;T1;OEM,T2,False,True,True,2,True,T3->T1 missing:T2,continuous_with_gap_bridge
primary,32,ens. equipements lateraux,"velours eu28: polyurethane flexible foam, with flame retardant eu28: pa6.6 fibres",T3;T2;T1;OEM,T4,False,True,True,3,False,,continuous_direct
