record_index,supplier,change_type,old_location,new_location,note
1,Tata Steel,removed_from_aluminium_chain,"Jamshedpur, India",,Tata Steel kept only for steel records.
1,Aluminium Corporation of China / Chalco,candidate_site_metadata_refined,"Xining, China","Xining / Qinghai, China",KEEP_AS_ALUMINIUM_PRODUCER_CANDIDATE_CERTIFICATE_REQUIRED
2,ArcelorMittal,candidate_site_metadata_refined,"Le Creusot / Torcy, France","Le Creusot, France",KEEP_AS_SPECIAL_STEEL_CANDIDATE_CERTIFICATE_REQUIRED
2,China Baowu / Baosteel,candidate_site_metadata_refined,"Shanghai, China","Shanghai / Baoshan, China",KEEP_AS_STEEL_CANDIDATE_CERTIFICATE_REQUIRED
2,Tata Steel,candidate_site_metadata_refined,"Jamshedpur, India","Jamshedpur / Jharkhand, India",KEEP_AS_STEEL_CANDIDATE_REMOVE_FROM_ALUMINIUM
2,Nucor Corp,candidate_site_metadata_refined,"Huger, United States","Huger / South Carolina, United States",KEEP_AS_STEEL_CANDIDATE_CERTIFICATE_REQUIRED
3,Toray Industries,toray_split_nagoya,Japan,"Nagoya / Aichi, Japan",Ertalon par moulage par injection plastique
4,XPO Logistic,xpo_lyon_company_node,"Greenwich, United States","Lyon, France","Use for company-level EU logistics node, not lane depot."
8,Daio Paper Corporation,approx_site_refined,"Shikokuchuo, Japan","Shikokuchuo / Ehime, Japan",REPLACE_CITY_NOTE_WITH_MISHIMA_MILL_SITE
9,Shin-Etsu Silicones,approx_site_refined,"Annaka, Japan","Annaka / Gunma, Japan",REPLACE_TOKYO_OR_CITY_FALLBACK_WITH_GUNMA_PLANT
9,Silicone Engineering,approx_site_refined,"Blackburn, United Kingdom","Blackburn, United Kingdom",REPLACE_CITY_POINT_WITH_MANUFACTURING_CENTRE
11,Toray Industries,toray_generic_unknown_site,Japan,unknown textile mill / supplier-specific site,tissu
11,Huddersfield Textiles,approx_site_refined,"Huddersfield, United Kingdom","Huddersfield, United Kingdom",REPLACE_TOWN_CENTROID_WITH_COMPANY_SITE
12,Tata Steel,removed_from_aluminium_chain,"Jamshedpur, India",,Tata Steel kept only for steel records.
12,Toray Industries,toray_generic_unknown_site,Japan,unknown textile mill / supplier-specific site,FRMC55:EU28 polyuréthane flexible traité UL
12,Huddersfield Textiles,approx_site_refined,"Huddersfield, United Kingdom","Huddersfield, United Kingdom",REPLACE_TOWN_CENTROID_WITH_COMPANY_SITE
12,Aluminium Corporation of China / Chalco,candidate_site_metadata_refined,"Xining, China","Xining / Qinghai, China",KEEP_AS_ALUMINIUM_PRODUCER_CANDIDATE_CERTIFICATE_REQUIRED
13,ArcelorMittal,candidate_site_metadata_refined,"Le Creusot / Torcy, France","Le Creusot, France",KEEP_AS_SPECIAL_STEEL_CANDIDATE_CERTIFICATE_REQUIRED
13,China Baowu / Baosteel,candidate_site_metadata_refined,"Shanghai, China","Shanghai / Baoshan, China",KEEP_AS_STEEL_CANDIDATE_CERTIFICATE_REQUIRED
13,Tata Steel,candidate_site_metadata_refined,"Jamshedpur, India","Jamshedpur / Jharkhand, India",KEEP_AS_STEEL_CANDIDATE_REMOVE_FROM_ALUMINIUM
13,Nucor Corp,candidate_site_metadata_refined,"Huger, United States","Huger / South Carolina, United States",KEEP_AS_STEEL_CANDIDATE_CERTIFICATE_REQUIRED
15,ArcelorMittal,candidate_site_metadata_refined,"Le Creusot / Torcy, France","Le Creusot, France",KEEP_AS_SPECIAL_STEEL_CANDIDATE_CERTIFICATE_REQUIRED
15,China Baowu / Baosteel,candidate_site_metadata_refined,"Shanghai, China","Shanghai / Baoshan, China",KEEP_AS_STEEL_CANDIDATE_CERTIFICATE_REQUIRED
15,Tata Steel,candidate_site_metadata_refined,"Jamshedpur, India","Jamshedpur / Jharkhand, India",KEEP_AS_STEEL_CANDIDATE_REMOVE_FROM_ALUMINIUM
15,Nucor Corp,candidate_site_metadata_refined,"Huger, United States","Huger / South Carolina, United States",KEEP_AS_STEEL_CANDIDATE_CERTIFICATE_REQUIRED
17,Tata Steel,removed_from_aluminium_chain,"Jamshedpur, India",,Tata Steel kept only for steel records.
17,Aluminium Corporation of China / Chalco,candidate_site_metadata_refined,"Xining, China","Xining / Qinghai, China",KEEP_AS_ALUMINIUM_PRODUCER_CANDIDATE_CERTIFICATE_REQUIRED
17,XPO Logistic,xpo_lyon_company_node,"Greenwich, United States","Lyon, France","Use for company-level EU logistics node, not lane depot."
18,Tata Steel,removed_from_aluminium_chain,"Jamshedpur, India",,Tata Steel kept only for steel records.
18,Aluminium Corporation of China / Chalco,candidate_site_metadata_refined,"Xining, China","Xining / Qinghai, China",KEEP_AS_ALUMINIUM_PRODUCER_CANDIDATE_CERTIFICATE_REQUIRED
18,XPO Logistic,xpo_lyon_company_node,"Greenwich, United States","Lyon, France","Use for company-level EU logistics node, not lane depot."
19,Tata Steel,removed_from_aluminium_chain,"Jamshedpur, India",,Tata Steel kept only for steel records.
19,Aluminium Corporation of China / Chalco,candidate_site_metadata_refined,"Xining, China","Xining / Qinghai, China",KEEP_AS_ALUMINIUM_PRODUCER_CANDIDATE_CERTIFICATE_REQUIRED
19,XPO Logistic,xpo_lyon_company_node,"Greenwich, United States","Lyon, France","Use for company-level EU logistics node, not lane depot."
20,Tata Steel,removed_from_aluminium_chain,"Jamshedpur, India",,Tata Steel kept only for steel records.
20,Aluminium Corporation of China / Chalco,candidate_site_metadata_refined,"Xining, China","Xining / Qinghai, China",KEEP_AS_ALUMINIUM_PRODUCER_CANDIDATE_CERTIFICATE_REQUIRED
20,XPO Logistic,xpo_lyon_company_node,"Greenwich, United States","Lyon, France","Use for company-level EU logistics node, not lane depot."
21,Tata Steel,removed_from_aluminium_chain,"Jamshedpur, India",,Tata Steel kept only for steel records.
