categories,count,record_indexes,name,role_hint,location,country_code,lat,lon,geocode_status,geocode_provider,geocode_query,site_address,site_selection_name,site_selection_confidence,site_selection_source_url,recommended_action
unresolved_hq_or_fallback,49,"3,11,12,32,79,80,82,83,84,85,97,103,104,105,106,107,108,109,110,124,125,128,130,131,132,133,134,135,136,140,141,142,143,149,151,152,158,159,160,162,163,164,165,168,169,170,171,172,173",Toray Industries,tier3_first_transformation,Japan,JP,35.6866,139.7746,source_backed_site,manual:source_registry,"Tokyo 103-8666, Japan fallback; choose actual production site","Tokyo 103-8666, Japan fallback; choose actual production site",,,,
unresolved_hq_or_fallback,21,"78,110,111,112,113,114,115,117,118,119,120,121,125,126,130,139,153,159,163,172,173",Mitsubishi Chemical,tier4_raw_material,Japan,JP,35.6812,139.7671,fallback_site_needs_source,manual:cleanup_rule,Tokyo fallback; choose actual chemical site,Tokyo fallback; choose actual chemical site,,,,
unresolved_hq_or_fallback,16,"4,17,18,19,20,21,22,23,24,25,26,27,28,54,55,167",XPO Logistic,logistics,"Greenwich, United States",US,41.0262,-73.6282,source_backed_city_or_hq,manual:review_followup,"Greenwich, Connecticut, United States","Greenwich, Connecticut, United States",,,,
unresolved_hq_or_fallback,1,71,TE Connectivity,tier1,"Berwyn, United States",US,40.044,-75.4388,source_backed_city_or_hq,manual:review_followup,"Berwyn, Pennsylvania, United States","Berwyn, Pennsylvania, United States",,,,
site_candidate_requires_certificate,86,"1,2,12,13,15,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,74,81,86,87,88,89,90,91,92,93,94,95,96,98,99,100,101,102,122,123,138,151,152,157,161,167,174,175",Tata Steel,tier4_raw_material,"Jamshedpur, India",IN,22.7853607,86.1994836,source_backed_industrial_site_candidate,manual:site_location_review_2026-05-21,"Tata Steel, Jamshedpur, Jharkhand 831001, India","Tata Steel Limited, Jamshedpur 831001, Jharkhand, India",Tata Steel Jamshedpur Works,medium_high,https://www.tatasteel.com/contact-us/,Use Jamshedpur Works as steel mill candidate; keep certificate validation required.
site_candidate_requires_certificate,44,"2,13,15,33,45,46,47,48,49,52,53,56,57,58,59,60,61,62,63,64,65,71,72,74,81,86,87,88,89,90,91,92,93,94,95,96,98,99,100,101,102,122,138,151",China Baowu / Baosteel,tier4_raw_material,"Shanghai, China",CN,31.4114498,121.4557873,source_backed_industrial_site_candidate,manual:site_location_review_2026-05-21,"885 Fujin Road, Baoshan District, Shanghai, China","Baosteel Administrative Center, No. 885 Fujin Road, Baoshan District, Shanghai, China",Baosteel Baoshan / Fujin Road site,medium,https://craft.co/baosteel/locations,Use Baoshan/Fujin Road as China steel mill candidate; require certificate for active allocation.
site_candidate_requires_certificate,43,"2,13,15,33,45,46,47,48,49,52,53,56,57,58,59,60,61,62,63,64,65,71,72,74,81,86,87,88,89,90,91,92,93,94,95,96,98,99,100,101,102,122,138",ArcelorMittal,tier4_raw_material,"Le Creusot / Torcy, France",FR,46.7897099,4.4493912,source_backed_industrial_site_candidate,manual:site_location_review_2026-05-21,"ArcelorMittal Industeel Le Creusot / Torcy, France","Industeel Le Creusot, 56 Avenue Clemenceau BP 19, 71201 Le Creusot Cedex, France",ArcelorMittal Industeel Le Creusot,medium,https://industeel.arcelormittal.com/legal-mentions/,Use Industeel Le Creusot as special-steel scenario candidate; certificate required before hard allocation.
site_candidate_requires_certificate,42,"1,12,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,34,35,36,37,38,39,40,41,42,43,44,54,55,66,67,68,69,70,123,152,157,161,167,174,175",Aluminium Corporation of China / Chalco,tier4_raw_material,"Xining, China",CN,36.7653535,101.7640249,source_backed_industrial_site_candidate,manual:site_location_review_2026-05-21,"Beichuan Industrial Park, Datong County, Xining, Qinghai, China","Beichuan Industrial Park, Datong County, Xining, Qinghai, China",Chalco Qinghai Branch / Beichuan Industrial Park,medium,https://www.chalco.com/en/sctxen/cpzsen/202012/t20201215_66289.html,Replace Beijing fallback with Qinghai smelter candidate; keep allocation validation required.
site_candidate_requires_certificate,42,"2,13,15,45,46,47,48,49,52,53,56,57,58,59,60,61,62,63,64,65,71,72,74,81,86,87,88,89,90,91,92,93,94,95,96,98,99,100,101,102,122,138",Nucor Corp,tier4_raw_material,"Huger, United States",US,33.007,-79.879,source_backed_industrial_site_candidate,manual:site_location_review_2026-05-21,"EPA TRI NUCOR STEEL-BERKELEY 1455 HAGAN AVE, HUGER SC 29450","1455 Hagan Ave, Huger, South Carolina 29450, United States",Nucor Steel Berkeley,medium_high,https://enviro.epa.gov/triexplorer/release_fac_profile?TRI=29450NCRST1455H,Replace Charlotte HQ fallback with Nucor Berkeley mill candidate.
approx_source_geocode,29,"11,12,131,132,133,134,135,136,140,141,142,143,144,145,146,147,148,149,150,152,158,160,162,164,165,168,169,170,171",Huddersfield Textiles,tier3_first_transformation,"Huddersfield, United Kingdom",GB,53.64077,-1.80072,source_backed_site_postcode,manual:site_location_review_2026-05-21,"HD1 4SF / Birkhouse Lane, Huddersfield, United Kingdom","The Old Dye Works, Birkhouse Lane, Paddock, Huddersfield, West Yorkshire, HD1 4SF, United Kingdom",Huddersfield Textiles Old Dye Works showroom / company site,medium,https://www.huddersfieldtextiles.com/contact/,Replace town centroid with company postcode-level site; validate mill/weaver before production allocation.
