scope,record_index,system,component,material_family,path_status,logical_path,mappable_path,present_roles,mappable_roles,missing_roles,unpositioned_roles,gap_action_classes,gap_count,primary_t4,primary_t3,primary_t2,primary_t1,all_t4_count,all_t3_count,all_t2_count,all_t1_count,all_switchability_note
all,1,Ens. Equipements latéraux,A5086 - Aluminium,aluminium,valid_with_internalized_process_bridge,T4=Alcoa | Hindalco Industries | Aluminium Corporation of China / Chalco > T3=Constellium | AMAG Austria Metall | thyssenkrupp Materials France | Euralliage Ile de France | Aluminium France > T2=MISSING > T1=ESPACE | Figeac Aero | ETS Gattefin | SUMPAR | Groupe Segnere / SEGNERE Ade | MGA Villeneuve St Lot | Senior Aerospace Thailand | L&P Aerospace | JV Group | Groupe LAUAK > OEM=Safran Seats / Safran internal group,T4=Alcoa | Hindalco Industries | Aluminium Corporation of China / Chalco > T3=Constellium | AMAG Austria Metall | thyssenkrupp Materials France | Euralliage Ile de France | Aluminium France > T2=MISSING/UNMAPPED > T1=ESPACE | Figeac Aero | ETS Gattefin | SUMPAR | Groupe Segnere / SEGNERE Ade | MGA Villeneuve St Lot | Senior Aerospace Thailand | L&P Aerospace | JV Group | Groupe LAUAK > OEM=Safran Seats / Safran internal group,T4;T3;T1;OEM,T4;T3;T1;OEM,T2,,accepted_internalized_process,1,Alcoa [baseline_primary],AMAG Austria Metall [baseline_primary],,ESPACE [baseline_primary],3,5,0,10,T4 alternates=2; T3 alternates=4; T1 alternates=9; validate qualification/capacity/share before stress-test activation
all,2,Ens. Stowage latéral,"15CDV6 (chrome, molibdene, vanadium)",steel,valid_with_internalized_process_bridge,T4=Saarstahl | ArcelorMittal | China Baowu / Baosteel | Tata Steel | Nucor Corp > T3=Krupp | thyssenkrupp Materials France | Altec Etirage | Aubert & Duval > T2=MISSING > T1=MGA Villeneuve St Lot | Groupe LAUAK | ETS Gattefin > OEM=Safran Seats / Safran internal group,T4=Saarstahl | ArcelorMittal | China Baowu / Baosteel | Tata Steel | Nucor Corp > T3=Krupp | thyssenkrupp Materials France | Altec Etirage | Aubert & Duval > T2=MISSING/UNMAPPED > T1=MGA Villeneuve St Lot | Groupe LAUAK | ETS Gattefin > OEM=Safran Seats / Safran internal group,T4;T3;T1;OEM,T4;T3;T1;OEM,T2,,accepted_internalized_process,1,Saarstahl [baseline_primary],Aubert & Duval [baseline_primary],,MGA Villeneuve St Lot [baseline_primary],5,4,0,3,T4 alternates=4; T3 alternates=3; T1 alternates=2; validate qualification/capacity/share before stress-test activation
all,3,Ens. Equipements latéraux,Ertalon par moulage par injection plastique,polymer_plastic,complete_direct,T4=Mitsubishi Chemical | BASF | Bayer > T3=Toray Industries | EXSTO / Baule-Exsto Polymere > T2=Krohne | DuPont de Nemours | Ensinger | Plastitek > T1=ESPACE > OEM=Safran Seats / Safran internal group,T4=Mitsubishi Chemical | BASF | Bayer > T3=Toray Industries | EXSTO / Baule-Exsto Polymere > T2=Krohne | DuPont de Nemours | Ensinger | Plastitek > T1=ESPACE > OEM=Safran Seats / Safran internal group,T4;T3;T2;T1;OEM,T4;T3;T2;T1;OEM,,,,0,Mitsubishi Chemical [baseline_primary],Toray Industries [baseline_primary],Ensinger [baseline_primary],ESPACE [baseline_primary],3,2,4,1,T4 alternates=2; T3 alternates=1; T2 alternates=3; validate qualification/capacity/share before stress-test activation
all,4,Ensemble porte,FILM DECOR AERFILM - Ep0.33 714g-m2,rubber_silicone,valid_but_upstream_not_switchable,T4=MISSING > T3=EPODEX | Henkel > T2=Sika > T1=MGA Villeneuve St Lot | Adhetec | KEMKO Aerospace > OEM=Safran Seats / Safran internal group,T4=MISSING/UNMAPPED > T3=EPODEX | Henkel > T2=Sika > T1=MGA Villeneuve St Lot | Adhetec | KEMKO Aerospace > OEM=Safran Seats / Safran internal group,T3;T2;T1;OEM,T3;T2;T1;OEM,T4,,accepted_upstream_family_unknown,1,,EPODEX [baseline_primary],Sika [baseline_primary_inferred_after_business_review],MGA Villeneuve St Lot [baseline_primary],0,2,1,3,T3 alternates=1; T1 alternates=2; validate qualification/capacity/share before stress-test activation
all,5,Bumper version porte,alliage Cu,copper,requires_certificate_or_routing,T4=MISSING > T3=Aurubis | Ampco Metal France | thyssenkrupp Materials France > T2=MISSING > T1=SUMPAR | Groupe Segnere / SEGNERE Ade | MGA Villeneuve St Lot | Senior Aerospace Thailand > OEM=Safran Seats / Safran internal group,T4=MISSING/UNMAPPED > T3=Aurubis | Ampco Metal France | thyssenkrupp Materials France > T2=MISSING/UNMAPPED > T1=SUMPAR | Groupe Segnere / SEGNERE Ade | MGA Villeneuve St Lot | Senior Aerospace Thailand > OEM=Safran Seats / Safran internal group,T3;T1;OEM,T3;T1;OEM,T4;T2,,requires_material_certificate;accepted_internalized_process,2,,Aurubis [baseline_primary],,SUMPAR [baseline_primary],0,3,0,4,T3 alternates=2; T1 alternates=3; validate qualification/capacity/share before stress-test activation
all,6,Ens. Stowage latéral,cuir,textile_leather,valid_but_upstream_not_switchable,T4=MISSING > T3=Gruppo Mastrotto > T2=Maison Fichet | MGR Foamtex Ltd > T1=MGA Villeneuve St Lot | ACH | Celso SAS > OEM=Safran Seats / Safran internal group,T4=MISSING/UNMAPPED > T3=Gruppo Mastrotto > T2=Maison Fichet | MGR Foamtex Ltd > T1=MGA Villeneuve St Lot | ACH | Celso SAS > OEM=Safran Seats / Safran internal group,T3;T2;T1;OEM,T3;T2;T1;OEM,T4,,accepted_upstream_family_unknown,1,,Gruppo Mastrotto [baseline_primary_inferred_after_review],Maison Fichet [baseline_primary],MGA Villeneuve St Lot [baseline_primary],0,1,2,3,T2 alternates=1; T1 alternates=2; validate qualification/capacity/share before stress-test activation
all,7,lightning,lightning,electronics_cots,valid_but_upstream_not_switchable,T4=MISSING > T3=MISSING > T2=e2ip technologies | MGR Foamtex Ltd > T1=Thales | Madelec Aero | SCHOTT Aviation > OEM=Safran Seats / Safran internal group,T4=MISSING/UNMAPPED > T3=MISSING/UNMAPPED > T2=e2ip technologies | MGR Foamtex Ltd > T1=Thales | Madelec Aero | SCHOTT Aviation > OEM=Safran Seats / Safran internal group,T2;T1;OEM,T2;T1;OEM,T4;T3,,accepted_do_not_infer_cots;accepted_do_not_infer_cots,2,,,e2ip technologies [baseline_primary_inferred_after_review],Thales [baseline_primary_inferred_after_review],0,0,2,3,T2 alternates=1; T1 alternates=2; validate qualification/capacity/share before stress-test activation
all,8,Padding (rembourrage),AIRVOLT LAMINAT,general,complete_direct,T4=Klabin S.A. | Billerud | Nordic Paper | Gascogne Papier > T3=Daio Paper Corporation | Kronotex GmbH & Co | Formica > T2=Glatfelter | MGR Foamtex Ltd > T1=Celso SAS > OEM=Safran Seats / Safran internal group,T4=Klabin S.A. | Billerud | Nordic Paper | Gascogne Papier > T3=Daio Paper Corporation | Kronotex GmbH & Co | Formica > T2=Glatfelter | MGR Foamtex Ltd > T1=Celso SAS > OEM=Safran Seats / Safran internal group,T4;T3;T2;T1;OEM,T4;T3;T2;T1;OEM,,,,0,Klabin S.A. [baseline_primary],Kronotex GmbH & Co [baseline_primary],Glatfelter [baseline_primary_inferred_after_review],Celso SAS [baseline_primary],4,3,2,1,T4 alternates=3; T3 alternates=2; T2 alternates=1; validate qualification/capacity/share before stress-test activation
all,9,Stowage assemblé avec porte,Silicone,rubber_silicone,valid_but_upstream_not_switchable,T4=MISSING > T3=Saint-Gobain | Shin-Etsu Silicones > T2=Silicone Engineering | Plastiservice Charleroi > T1=MGA Villeneuve St Lot | ETS Gattefin | ACH > OEM=Safran Seats / Safran internal group,T4=MISSING/UNMAPPED > T3=Saint-Gobain | Shin-Etsu Silicones > T2=Silicone Engineering | Plastiservice Charleroi > T1=MGA Villeneuve St Lot | ETS Gattefin | ACH > OEM=Safran Seats / Safran internal group,T3;T2;T1;OEM,T3;T2;T1;OEM,T4,,accepted_upstream_family_unknown,1,,Saint-Gobain [baseline_primary],Silicone Engineering [baseline_primary_inferred_after_review],MGA Villeneuve St Lot [baseline_primary_inferred_after_review],0,2,2,3,T3 alternates=1; T2 alternates=1; T1 alternates=2; validate qualification/capacity/share before stress-test activation
all,10,System IFE (In-Flight Entertainment) est un ensemble d'équipements et de logiciels qui permet aux passagers d'occuper leur temps à bord d'un avion.,System IFE boitier ref FJKL1-3K1100-01ATAB,electronics_cots,valid_but_upstream_not_switchable,T4=MISSING > T3=Saint-Gobain > T2=3M > T1=Thales > OEM=Safran Seats / Safran internal group,T4=MISSING/UNMAPPED > T3=Saint-Gobain > T2=3M > T1=Thales > OEM=Safran Seats / Safran internal group,T3;T2;T1;OEM,T3;T2;T1;OEM,T4,,accepted_do_not_infer_cots,1,,Saint-Gobain [baseline_primary],3M [baseline_primary_inferred_after_review],Thales [baseline_primary_inferred_after_review],0,1,1,1,single_or_unresolved
