record_index,system,component,family,mass_kg,lca_use_class,lca_confidence,lca_match_level,lca_equipment_match,lca_material_match,raw_materials_status,edge,from_name,to_name,distance_km,transport_segment_used,modes,transport_model_status,lane_issue_codes,lane_max_severity,path_use_count
1,Ens. Equipements latéraux,A5086 - Aluminium,aluminium,3.6360048,quantitative_ready,high,exact_equipment_material,ENSEMBLE EQUIPEMENTS LATERALES,a5086,provided,T4->T3,Alcoa,Constellium,7153.9,to_first_transformation,rail|ship|truck,generic_phase_mode,,INFO,10
1,Ens. Equipements latéraux,A5086 - Aluminium,aluminium,3.6360048,quantitative_ready,high,exact_equipment_material,ENSEMBLE EQUIPEMENTS LATERALES,a5086,provided,T3->T2,Constellium,ESPACE - internal machining/forming process,318.4,,,missing_explicit_lane_mode,edge_transport_mode_not_explicit,MEDIUM,30
1,Ens. Equipements latéraux,A5086 - Aluminium,aluminium,3.6360048,quantitative_ready,high,exact_equipment_material,ENSEMBLE EQUIPEMENTS LATERALES,a5086,provided,T2->T1,ESPACE - internal machining/forming process,ESPACE,0.0,,internal,internalized_no_external_transport,,INFO,15
1,Ens. Equipements latéraux,A5086 - Aluminium,aluminium,3.6360048,quantitative_ready,high,exact_equipment_material,ENSEMBLE EQUIPEMENTS LATERALES,a5086,provided,T1->OEM,ESPACE,Safran Seats / Safran internal group,490.2,from_supplier_to_safran,truck,generic_phase_mode,,INFO,15
1,Ens. Equipements latéraux,A5086 - Aluminium,aluminium,3.6360048,quantitative_ready,high,exact_equipment_material,ENSEMBLE EQUIPEMENTS LATERALES,a5086,provided,T2->T1,ESPACE - internal machining/forming process,Figeac Aero,213.0,,internal,internalized_no_external_transport,,INFO,15
1,Ens. Equipements latéraux,A5086 - Aluminium,aluminium,3.6360048,quantitative_ready,high,exact_equipment_material,ENSEMBLE EQUIPEMENTS LATERALES,a5086,provided,T1->OEM,Figeac Aero,Safran Seats / Safran internal group,469.5,from_supplier_to_safran,truck,generic_phase_mode,,INFO,15
1,Ens. Equipements latéraux,A5086 - Aluminium,aluminium,3.6360048,quantitative_ready,high,exact_equipment_material,ENSEMBLE EQUIPEMENTS LATERALES,a5086,provided,T2->T1,ESPACE - internal machining/forming process,ETS Gattefin,344.7,,internal,internalized_no_external_transport,,INFO,15
1,Ens. Equipements latéraux,A5086 - Aluminium,aluminium,3.6360048,quantitative_ready,high,exact_equipment_material,ENSEMBLE EQUIPEMENTS LATERALES,a5086,provided,T1->OEM,ETS Gattefin,Safran Seats / Safran internal group,186.9,from_supplier_to_safran,truck,generic_phase_mode,,INFO,15
1,Ens. Equipements latéraux,A5086 - Aluminium,aluminium,3.6360048,quantitative_ready,high,exact_equipment_material,ENSEMBLE EQUIPEMENTS LATERALES,a5086,provided,T2->T1,ESPACE - internal machining/forming process,SUMPAR,531.7,,internal,internalized_no_external_transport,,INFO,15
1,Ens. Equipements latéraux,A5086 - Aluminium,aluminium,3.6360048,quantitative_ready,high,exact_equipment_material,ENSEMBLE EQUIPEMENTS LATERALES,a5086,provided,T1->OEM,SUMPAR,Safran Seats / Safran internal group,83.8,from_supplier_to_safran,truck,generic_phase_mode,,INFO,15
1,Ens. Equipements latéraux,A5086 - Aluminium,aluminium,3.6360048,quantitative_ready,high,exact_equipment_material,ENSEMBLE EQUIPEMENTS LATERALES,a5086,provided,T2->T1,ESPACE - internal machining/forming process,Groupe Segnere / SEGNERE Ade,187.0,,internal,internalized_no_external_transport,,INFO,15
1,Ens. Equipements latéraux,A5086 - Aluminium,aluminium,3.6360048,quantitative_ready,high,exact_equipment_material,ENSEMBLE EQUIPEMENTS LATERALES,a5086,provided,T1->OEM,Groupe Segnere / SEGNERE Ade,Safran Seats / Safran internal group,646.9,from_supplier_to_safran,truck,generic_phase_mode,,INFO,15
1,Ens. Equipements latéraux,A5086 - Aluminium,aluminium,3.6360048,quantitative_ready,high,exact_equipment_material,ENSEMBLE EQUIPEMENTS LATERALES,a5086,provided,T2->T1,ESPACE - internal machining/forming process,MGA Villeneuve St Lot,117.1,,internal,internalized_no_external_transport,,INFO,15
1,Ens. Equipements latéraux,A5086 - Aluminium,aluminium,3.6360048,quantitative_ready,high,exact_equipment_material,ENSEMBLE EQUIPEMENTS LATERALES,a5086,provided,T1->OEM,MGA Villeneuve St Lot,Safran Seats / Safran internal group,499.6,from_supplier_to_safran,truck,generic_phase_mode,,INFO,15
1,Ens. Equipements latéraux,A5086 - Aluminium,aluminium,3.6360048,quantitative_ready,high,exact_equipment_material,ENSEMBLE EQUIPEMENTS LATERALES,a5086,provided,T2->T1,ESPACE - internal machining/forming process,Senior Aerospace Thailand,9881.2,,internal,internalized_no_external_transport,,INFO,15
1,Ens. Equipements latéraux,A5086 - Aluminium,aluminium,3.6360048,quantitative_ready,high,exact_equipment_material,ENSEMBLE EQUIPEMENTS LATERALES,a5086,provided,T1->OEM,Senior Aerospace Thailand,Safran Seats / Safran internal group,9564.8,from_supplier_to_safran,truck,generic_phase_mode,long_distance_mode_implausible,HIGH,15
1,Ens. Equipements latéraux,A5086 - Aluminium,aluminium,3.6360048,quantitative_ready,high,exact_equipment_material,ENSEMBLE EQUIPEMENTS LATERALES,a5086,provided,T2->T1,ESPACE - internal machining/forming process,L&P Aerospace,505.3,,internal,internalized_no_external_transport,,INFO,15
1,Ens. Equipements latéraux,A5086 - Aluminium,aluminium,3.6360048,quantitative_ready,high,exact_equipment_material,ENSEMBLE EQUIPEMENTS LATERALES,a5086,provided,T1->OEM,L&P Aerospace,Safran Seats / Safran internal group,18.8,from_supplier_to_safran,truck,generic_phase_mode,,INFO,15
1,Ens. Equipements latéraux,A5086 - Aluminium,aluminium,3.6360048,quantitative_ready,high,exact_equipment_material,ENSEMBLE EQUIPEMENTS LATERALES,a5086,provided,T2->T1,ESPACE - internal machining/forming process,JV Group,14.5,,internal,internalized_no_external_transport,,INFO,15
1,Ens. Equipements latéraux,A5086 - Aluminium,aluminium,3.6360048,quantitative_ready,high,exact_equipment_material,ENSEMBLE EQUIPEMENTS LATERALES,a5086,provided,T1->OEM,JV Group,Safran Seats / Safran internal group,477.9,from_supplier_to_safran,truck,generic_phase_mode,,INFO,15
1,Ens. Equipements latéraux,A5086 - Aluminium,aluminium,3.6360048,quantitative_ready,high,exact_equipment_material,ENSEMBLE EQUIPEMENTS LATERALES,a5086,provided,T2->T1,ESPACE - internal machining/forming process,Groupe LAUAK,164.3,,internal,internalized_no_external_transport,,INFO,15
1,Ens. Equipements latéraux,A5086 - Aluminium,aluminium,3.6360048,quantitative_ready,high,exact_equipment_material,ENSEMBLE EQUIPEMENTS LATERALES,a5086,provided,T1->OEM,Groupe LAUAK,Safran Seats / Safran internal group,654.3,from_supplier_to_safran,truck,generic_phase_mode,,INFO,15
1,Ens. Equipements latéraux,A5086 - Aluminium,aluminium,3.6360048,quantitative_ready,high,exact_equipment_material,ENSEMBLE EQUIPEMENTS LATERALES,a5086,provided,T4->T3,Alcoa,AMAG Austria Metall,7635.5,to_first_transformation,rail|ship|truck,generic_phase_mode,,INFO,10
1,Ens. Equipements latéraux,A5086 - Aluminium,aluminium,3.6360048,quantitative_ready,high,exact_equipment_material,ENSEMBLE EQUIPEMENTS LATERALES,a5086,provided,T3->T2,AMAG Austria Metall,ESPACE - internal machining/forming process,1113.4,,,missing_explicit_lane_mode,edge_transport_mode_not_explicit,MEDIUM,30
1,Ens. Equipements latéraux,A5086 - Aluminium,aluminium,3.6360048,quantitative_ready,high,exact_equipment_material,ENSEMBLE EQUIPEMENTS LATERALES,a5086,provided,T4->T3,Alcoa,thyssenkrupp Materials France,6898.4,to_first_transformation,rail|ship|truck,generic_phase_mode,,INFO,10
1,Ens. Equipements latéraux,A5086 - Aluminium,aluminium,3.6360048,quantitative_ready,high,exact_equipment_material,ENSEMBLE EQUIPEMENTS LATERALES,a5086,provided,T3->T2,thyssenkrupp Materials France,ESPACE - internal machining/forming process,484.0,,,missing_explicit_lane_mode,edge_transport_mode_not_explicit,MEDIUM,30
1,Ens. Equipements latéraux,A5086 - Aluminium,aluminium,3.6360048,quantitative_ready,high,exact_equipment_material,ENSEMBLE EQUIPEMENTS LATERALES,a5086,provided,T4->T3,Alcoa,Euralliage Ile de France,6921.2,to_first_transformation,rail|ship|truck,generic_phase_mode,,INFO,10
