role,supplier,component_count,mass_kg,kg_km_context,families,status_examples,example_components
OEM,Safran Seats / Safran internal group,170,129.9495,1702441.1,textile_leather=52;steel=41;aluminium=37;polymer_plastic=23;electronics_cots=8;general=3;adhesive_composite=2;rubber_silicone=2;copper=1;titanium_carbon=1,baseline_primary=170,"1:A5086 - Aluminium | 2:15CDV6 (chrome, molibdene, vanadium) | 3:Ertalon par moulage par injection plastique | 4:FILM DECOR AERFILM - Ep0.33 714g-m2 | 5:alliage Cu | 6:cuir | 7:lightning | 8:AIRVOLT LAMINAT | 9:Silicone | 10:System IFE boitier ref FJKL1-3K1100-01ATAB | 11:tissu | 12:FRMC55:EU28 polyuréthane flexible traité UL | 13:30NCD6 (nickel-chrome- molibdene) | 14:35NC6 (nickel-chrome) | 15:acier | 16:35NC6 (nickel-chrome)"
T3,AMAG Austria Metall,31,58.922,837229.6,aluminium=31,baseline_primary=31,1:A5086 - Aluminium | 17:A2017 - Aluminium | 18:A2017 - Aluminium | 19:A2017 - Aluminium | 20:A2017 - Aluminium | 21:A2017 - Aluminium | 22:A2017 - Aluminium | 23:A2017 - Aluminium | 24:A2017 - Aluminium | 25:A2024 - Aluminium | 26:A2024 - Aluminium | 27:A2024 - Aluminium | 28:A2024 - Aluminium | 29:A5086 - Aluminium | 30:A5086 - Aluminium | 31:A5086 - Aluminium
T4,Alcoa,31,58.922,837229.6,aluminium=31,baseline_primary=31,1:A5086 - Aluminium | 17:A2017 - Aluminium | 18:A2017 - Aluminium | 19:A2017 - Aluminium | 20:A2017 - Aluminium | 21:A2017 - Aluminium | 22:A2017 - Aluminium | 23:A2017 - Aluminium | 24:A2017 - Aluminium | 25:A2024 - Aluminium | 26:A2024 - Aluminium | 27:A2024 - Aluminium | 28:A2024 - Aluminium | 29:A5086 - Aluminium | 30:A5086 - Aluminium | 31:A5086 - Aluminium
T1,SUMPAR,22,43.2038,335475.1,aluminium=9;polymer_plastic=7;steel=5;copper=1,baseline_primary=15;baseline_primary_lca_exact_supplier=7,5:alliage Cu | 13:30NCD6 (nickel-chrome- molibdene) | 14:35NC6 (nickel-chrome) | 17:A2017 - Aluminium | 19:A2017 - Aluminium | 25:A2024 - Aluminium | 50:de: aluminium cast part machining + tth compris dans le steel tinplated | 66:Alu | 67:Alu | 68:Alu | 70:Alu | 79:Ertalon | 80:Ertalon | 82:Ertalon | 83:Ertalon | 84:Ertalon
T2,SUMPAR - internal machining/forming process,15,43.1565,334601.7,aluminium=9;steel=5;copper=1,baseline_primary_assumed_internalized_process=15,5:alliage Cu | 13:30NCD6 (nickel-chrome- molibdene) | 14:35NC6 (nickel-chrome) | 17:A2017 - Aluminium | 19:A2017 - Aluminium | 25:A2024 - Aluminium | 50:de: aluminium cast part machining + tth compris dans le steel tinplated | 66:Alu | 67:Alu | 68:Alu | 70:Alu | 123:Alu | 154:de: aluminium cast part machining glo: steel sheet stamping and bending | 155:de: aluminium cast part machining glo: steel sheet stamping and bending | 167:A2024 - Aluminium
T3,Euralliage Ile de France,7,26.7708,204037.8,aluminium=6;steel=1,baseline_primary=7,14:35NC6 (nickel-chrome) | 66:Alu | 67:Alu | 68:Alu | 70:Alu | 123:Alu | 161:65% aluminium
T4,Aluminium Corporation of China / Chalco,6,26.1101,203687.4,aluminium=6,baseline_primary=6,66:Alu | 67:Alu | 68:Alu | 70:Alu | 123:Alu | 161:65% aluminium
T1,ESPACE,44,23.7835,283689.3,steel=20;aluminium=15;polymer_plastic=8;textile_leather=1,baseline_primary=44,"1:A5086 - Aluminium | 3:Ertalon par moulage par injection plastique | 15:acier | 29:A5086 - Aluminium | 30:A5086 - Aluminium | 31:A5086 - Aluminium | 32:velours eu28: polyurethane flexible foam, with flame retardant eu28: pa6.6 fibres | 34:A5086 - Aluminium | 35:A5086 - Aluminium | 36:A5086 - Aluminium | 37:A5086 - Aluminium | 38:A5086 - Aluminium | 39:A5086 - Aluminium | 40:A5086 - Aluminium | 41:A5086 - Aluminium | 42:A5086 - Aluminium"
T1,Senior Aerospace Thailand,15,20.0889,512742.9,steel=12;aluminium=2;polymer_plastic=1,baseline_primary=13;baseline_primary_lca_exact_supplier=2,33:4140 (acier) | 51:35NC6 (nickel-chrome) | 54:A2017 - Aluminium | 55:A2024 - Aluminium | 81:inox | 94:inox | 95:inox | 96:inox | 97:GLO: moulage par injection plastique | 98:inox | 99:inox | 100:inox | 101:inox | 102:inox | 138:inox
T2,Senior Aerospace Thailand - internal machining/forming process,14,20.0079,509716.0,steel=12;aluminium=2,baseline_primary_assumed_internalized_process=14,33:4140 (acier) | 51:35NC6 (nickel-chrome) | 54:A2017 - Aluminium | 55:A2024 - Aluminium | 81:inox | 94:inox | 95:inox | 96:inox | 98:inox | 99:inox | 100:inox | 101:inox | 102:inox | 138:inox
T2,Ensinger,34,14.2896,340598.9,polymer_plastic=22;textile_leather=10;adhesive_composite=1;general=1,baseline_primary=34,3:Ertalon par moulage par injection plastique | 79:Ertalon | 80:Ertalon | 82:Ertalon | 83:Ertalon | 84:Ertalon | 85:Ertalon | 97:GLO: moulage par injection plastique | 103:kydex | 104:kydex | 105:kydex | 106:kydex | 107:kydex | 108:kydex | 109:kydex | 110:NIDA - GLO (moulage par injection plastique)
T3,Toray Industries,31,13.7166,330163.1,polymer_plastic=20;textile_leather=10;titanium_carbon=1,baseline_primary=31,3:Ertalon par moulage par injection plastique | 79:Ertalon | 80:Ertalon | 82:Ertalon | 83:Ertalon | 84:Ertalon | 85:Ertalon | 97:GLO: moulage par injection plastique | 103:kydex | 104:kydex | 105:kydex | 106:kydex | 107:kydex | 108:kydex | 109:kydex | 110:NIDA - GLO (moulage par injection plastique)
T2,ESPACE - internal machining/forming process,15,12.003,110897.0,aluminium=15,baseline_primary_assumed_internalized_process=15,1:A5086 - Aluminium | 29:A5086 - Aluminium | 30:A5086 - Aluminium | 31:A5086 - Aluminium | 34:A5086 - Aluminium | 35:A5086 - Aluminium | 36:A5086 - Aluminium | 37:A5086 - Aluminium | 38:A5086 - Aluminium | 39:A5086 - Aluminium | 40:A5086 - Aluminium | 41:A5086 - Aluminium | 42:A5086 - Aluminium | 43:A5086 - Aluminium | 69:A5086 - Aluminium
T1,ETS Gattefin,21,11.8142,156803.1,textile_leather=13;aluminium=6;steel=1;rubber_silicone=1,baseline_primary=14;baseline_primary_lca_exact_supplier=6;baseline_primary_inferred_after_review=1,11:tissu | 16:35NC6 (nickel-chrome) | 21:A2017 - Aluminium | 22:A2017 - Aluminium | 23:A2017 - Aluminium | 24:A2017 - Aluminium | 27:A2024 - Aluminium | 28:A2024 - Aluminium | 129:Silicone50 shore | 131:tissu | 132:tissu | 133:tissu | 134:tissu | 135:tissu | 136:tissu | 144:velours
T4,Saarstahl,37,10.4559,158575.1,steel=37,baseline_primary=33;baseline_primary_assumed_material_certificate=4,"2:15CDV6 (chrome, molibdene, vanadium) | 13:30NCD6 (nickel-chrome- molibdene) | 14:35NC6 (nickel-chrome) | 15:acier | 16:35NC6 (nickel-chrome) | 33:4140 (acier) | 45:acier | 46:acier | 47:acier | 48:acier | 49:acier | 51:35NC6 (nickel-chrome) | 52:acier | 53:acier | 56:acier | 57:acier"
T4,Mitsubishi Chemical,24,10.0596,282258.8,polymer_plastic=13;textile_leather=10;general=1,baseline_primary=24,3:Ertalon par moulage par injection plastique | 79:Ertalon | 80:Ertalon | 82:Ertalon | 83:Ertalon | 84:Ertalon | 85:Ertalon | 110:NIDA - GLO (moulage par injection plastique) | 111:nylon | 112:nylon | 113:nylon | 114:nylon | 115:nylon | 117:nylon | 118:nylon | 119:nylon
T3,Aubert & Duval,36,9.7952,158224.7,steel=36,baseline_primary=33;baseline_primary_assumed_material_processor=3,"2:15CDV6 (chrome, molibdene, vanadium) | 13:30NCD6 (nickel-chrome- molibdene) | 15:acier | 16:35NC6 (nickel-chrome) | 33:4140 (acier) | 45:acier | 46:acier | 47:acier | 48:acier | 49:acier | 51:35NC6 (nickel-chrome) | 52:acier | 53:acier | 56:acier | 57:acier | 58:acier"
