record_index,system,component,family,path_id,readiness,switch_class,switch_verdict,switch_reason,issue_codes,t4,t4_status,t3,t3_status,t2,t2_status,t1,t1_status,t4_t3_km,t4_t3_modes,t3_t2_km,t3_t2_modes,t2_t1_km,t2_t1_modes,t1_oem_km,t1_oem_modes
1,Ens. Equipements latéraux,A5086 - Aluminium,aluminium,R001-P0001,secondary_candidate_needs_qualification,candidate_requires_allocation_and_qualification,candidate_requires_validation,"The path is a plausible switch candidate, but allocation, qualification and lead time are missing.",baseline_node_is_assumption;inactive_alternate_requires_allocation,Alcoa,baseline_primary,Constellium,alternate,ESPACE - internal machining/forming process,baseline_primary_assumed_internalized_process,ESPACE,baseline_primary,7153.9,ship|truck,318.4,truck,0.0,internal,490.2,truck
1,Ens. Equipements latéraux,A5086 - Aluminium,aluminium,R001-P0002,secondary_candidate_needs_qualification,candidate_requires_t1_t2_pairing,candidate_requires_validation,Internal T2 process is not independent; switch the paired T1/T2 route or replace it with a real external T2.,baseline_node_is_assumption;inactive_alternate_requires_allocation;internal_process_t1_mismatch,Alcoa,baseline_primary,Constellium,alternate,ESPACE - internal machining/forming process,baseline_primary_assumed_internalized_process,Figeac Aero,alternate,7153.9,ship|truck,318.4,truck,213.0,internal,469.5,truck
1,Ens. Equipements latéraux,A5086 - Aluminium,aluminium,R001-P0003,secondary_candidate_needs_qualification,candidate_requires_t1_t2_pairing,candidate_requires_validation,Internal T2 process is not independent; switch the paired T1/T2 route or replace it with a real external T2.,baseline_node_is_assumption;inactive_alternate_requires_allocation;internal_process_t1_mismatch,Alcoa,baseline_primary,Constellium,alternate,ESPACE - internal machining/forming process,baseline_primary_assumed_internalized_process,ETS Gattefin,alternate_requires_allocation_source,7153.9,ship|truck,318.4,truck,344.7,internal,186.9,truck
1,Ens. Equipements latéraux,A5086 - Aluminium,aluminium,R001-P0004,secondary_candidate_needs_qualification,candidate_requires_t1_t2_pairing,candidate_requires_validation,Internal T2 process is not independent; switch the paired T1/T2 route or replace it with a real external T2.,baseline_node_is_assumption;inactive_alternate_requires_allocation;internal_process_t1_mismatch,Alcoa,baseline_primary,Constellium,alternate,ESPACE - internal machining/forming process,baseline_primary_assumed_internalized_process,SUMPAR,alternate_requires_allocation_source,7153.9,ship|truck,318.4,truck,531.7,internal,83.8,truck
1,Ens. Equipements latéraux,A5086 - Aluminium,aluminium,R001-P0005,secondary_candidate_needs_qualification,candidate_requires_t1_t2_pairing,candidate_requires_validation,Internal T2 process is not independent; switch the paired T1/T2 route or replace it with a real external T2.,baseline_node_is_assumption;inactive_alternate_requires_allocation;internal_process_t1_mismatch,Alcoa,baseline_primary,Constellium,alternate,ESPACE - internal machining/forming process,baseline_primary_assumed_internalized_process,Groupe Segnere / SEGNERE Ade,alternate_requires_allocation_source,7153.9,ship|truck,318.4,truck,187.0,internal,646.9,truck
1,Ens. Equipements latéraux,A5086 - Aluminium,aluminium,R001-P0006,secondary_candidate_needs_qualification,candidate_requires_t1_t2_pairing,candidate_requires_validation,Internal T2 process is not independent; switch the paired T1/T2 route or replace it with a real external T2.,baseline_node_is_assumption;inactive_alternate_requires_allocation;internal_process_t1_mismatch,Alcoa,baseline_primary,Constellium,alternate,ESPACE - internal machining/forming process,baseline_primary_assumed_internalized_process,MGA Villeneuve St Lot,alternate_requires_allocation_source,7153.9,ship|truck,318.4,truck,117.1,internal,499.6,truck
1,Ens. Equipements latéraux,A5086 - Aluminium,aluminium,R001-P0007,secondary_candidate_needs_qualification,candidate_requires_t1_t2_pairing,candidate_requires_validation,Internal T2 process is not independent; switch the paired T1/T2 route or replace it with a real external T2.,baseline_node_is_assumption;inactive_alternate_requires_allocation;internal_process_t1_mismatch,Alcoa,baseline_primary,Constellium,alternate,ESPACE - internal machining/forming process,baseline_primary_assumed_internalized_process,Senior Aerospace Thailand,alternate_requires_allocation_source,7153.9,ship|truck,318.4,truck,9881.2,internal,9564.8,ship|truck
1,Ens. Equipements latéraux,A5086 - Aluminium,aluminium,R001-P0008,secondary_candidate_needs_qualification,candidate_requires_t1_t2_pairing,candidate_requires_validation,Internal T2 process is not independent; switch the paired T1/T2 route or replace it with a real external T2.,baseline_node_is_assumption;inactive_alternate_requires_allocation;internal_process_t1_mismatch,Alcoa,baseline_primary,Constellium,alternate,ESPACE - internal machining/forming process,baseline_primary_assumed_internalized_process,L&P Aerospace,alternate,7153.9,ship|truck,318.4,truck,505.3,internal,18.8,truck
1,Ens. Equipements latéraux,A5086 - Aluminium,aluminium,R001-P0009,secondary_candidate_needs_qualification,candidate_requires_t1_t2_pairing,candidate_requires_validation,Internal T2 process is not independent; switch the paired T1/T2 route or replace it with a real external T2.,baseline_node_is_assumption;inactive_alternate_requires_allocation;internal_process_t1_mismatch,Alcoa,baseline_primary,Constellium,alternate,ESPACE - internal machining/forming process,baseline_primary_assumed_internalized_process,JV Group,alternate_requires_allocation_source,7153.9,ship|truck,318.4,truck,14.5,internal,477.9,truck
1,Ens. Equipements latéraux,A5086 - Aluminium,aluminium,R001-P0010,secondary_candidate_needs_qualification,candidate_requires_t1_t2_pairing,candidate_requires_validation,Internal T2 process is not independent; switch the paired T1/T2 route or replace it with a real external T2.,baseline_node_is_assumption;inactive_alternate_requires_allocation;internal_process_t1_mismatch,Alcoa,baseline_primary,Constellium,alternate,ESPACE - internal machining/forming process,baseline_primary_assumed_internalized_process,Groupe LAUAK,alternate,7153.9,ship|truck,318.4,truck,164.3,internal,654.3,truck
1,Ens. Equipements latéraux,A5086 - Aluminium,aluminium,R001-P0012,secondary_candidate_needs_qualification,candidate_requires_t1_t2_pairing,candidate_requires_validation,Internal T2 process is not independent; switch the paired T1/T2 route or replace it with a real external T2.,baseline_node_is_assumption;inactive_alternate_requires_allocation;internal_process_t1_mismatch,Alcoa,baseline_primary,AMAG Austria Metall,baseline_primary,ESPACE - internal machining/forming process,baseline_primary_assumed_internalized_process,Figeac Aero,alternate,7635.5,ship|truck,1113.4,truck,213.0,internal,469.5,truck
1,Ens. Equipements latéraux,A5086 - Aluminium,aluminium,R001-P0013,secondary_candidate_needs_qualification,candidate_requires_t1_t2_pairing,candidate_requires_validation,Internal T2 process is not independent; switch the paired T1/T2 route or replace it with a real external T2.,baseline_node_is_assumption;inactive_alternate_requires_allocation;internal_process_t1_mismatch,Alcoa,baseline_primary,AMAG Austria Metall,baseline_primary,ESPACE - internal machining/forming process,baseline_primary_assumed_internalized_process,ETS Gattefin,alternate_requires_allocation_source,7635.5,ship|truck,1113.4,truck,344.7,internal,186.9,truck
1,Ens. Equipements latéraux,A5086 - Aluminium,aluminium,R001-P0014,secondary_candidate_needs_qualification,candidate_requires_t1_t2_pairing,candidate_requires_validation,Internal T2 process is not independent; switch the paired T1/T2 route or replace it with a real external T2.,baseline_node_is_assumption;inactive_alternate_requires_allocation;internal_process_t1_mismatch,Alcoa,baseline_primary,AMAG Austria Metall,baseline_primary,ESPACE - internal machining/forming process,baseline_primary_assumed_internalized_process,SUMPAR,alternate_requires_allocation_source,7635.5,ship|truck,1113.4,truck,531.7,internal,83.8,truck
