record_index,system,component,mass_kg,mass_share_of_non_packaging_bom,has_lca_mass,mass_method,match_level,confidence,simulation_use_class,equipment_match,material_match,raw_materials_status,markers
1,Ens. Equipements latéraux,A5086 - Aluminium,3.6360048,0.031353956,True,bom_exact_system_material,exact_equipment_material,high,quantitative_ready,ENSEMBLE EQUIPEMENTS LATERALES,a5086,provided,LCA_SOURCE_quantity_material_xlsx;LCA_MATCH_exact_equipment_material;LCA_CONFIDENCE_high;LCA_EXACT_BOM_MASS;RAW_MATERIALS_provided
2,Ens. Stowage latéral,"15CDV6 (chrome, molibdene, vanadium)",0.022,0.00018971,True,bom_exact_system_material,exact_equipment_material,high,quantitative_ready,ENS STOWAGE LATERAL,15cdv6,provided,LCA_SOURCE_quantity_material_xlsx;LCA_MATCH_exact_equipment_material;LCA_CONFIDENCE_high;LCA_EXACT_BOM_MASS;RAW_MATERIALS_provided
3,Ens. Equipements latéraux,Ertalon par moulage par injection plastique,0.0001731,1.493e-06,True,bom_exact_system_material,exact_equipment_material,high,quantitative_ready,ENSEMBLE EQUIPEMENTS LATERALES,ertalon,provided,LCA_SOURCE_quantity_material_xlsx;LCA_MATCH_exact_equipment_material;LCA_CONFIDENCE_high;LCA_EXACT_BOM_MASS;RAW_MATERIALS_provided
4,Ensemble porte,FILM DECOR AERFILM - Ep0.33 714g-m2,0.392,0.00338029,True,bom_exact_system_material,exact_equipment_material,high,quantitative_ready,ENSEMBLE PORTE,film decor aerfilm ep0 33 714g m2,provided,LCA_SOURCE_quantity_material_xlsx;LCA_MATCH_exact_equipment_material;LCA_CONFIDENCE_high;LCA_EXACT_BOM_MASS;RAW_MATERIALS_provided
5,Bumper version porte,alliage Cu,0.006,5.1739e-05,True,bom_exact_system_material,exact_equipment_material,high,quantitative_ready,BUMPER VERSION PORTE,alliage cu,provided,LCA_SOURCE_quantity_material_xlsx;LCA_MATCH_exact_equipment_material;LCA_CONFIDENCE_high;LCA_EXACT_BOM_MASS;RAW_MATERIALS_provided
6,Ens. Stowage latéral,cuir,0.112,0.000965797,True,bom_exact_system_material,exact_equipment_material,high,quantitative_ready,ENS STOWAGE LATERAL,cuir 850,provided,LCA_SOURCE_quantity_material_xlsx;LCA_MATCH_exact_equipment_material;LCA_CONFIDENCE_high;LCA_EXACT_BOM_MASS;RAW_MATERIALS_provided
7,lightning,lightning,0.8,0.006898551,True,bom_exact_system_material,exact_equipment_material,high,quantitative_ready,LIGHTING x3,diode cots,provided,LCA_SOURCE_quantity_material_xlsx;LCA_MATCH_exact_equipment_material;LCA_CONFIDENCE_high;LCA_EXACT_BOM_MASS;RAW_MATERIALS_provided
8,Padding (rembourrage),AIRVOLT LAMINAT,0.95,0.008192029,True,bom_exact_system_material,exact_equipment_material,high,quantitative_ready,PADDING,airvolt laminat,provided,LCA_SOURCE_quantity_material_xlsx;LCA_MATCH_exact_equipment_material;LCA_CONFIDENCE_high;LCA_EXACT_BOM_MASS;RAW_MATERIALS_provided
9,Stowage assemblé avec porte,Silicone,0.0007,6.036e-06,True,bom_exact_system_material,exact_equipment_material,high,quantitative_ready,STOWAGE ASSEMBLE AVEC PORTE,silicone 50 shore,provided,LCA_SOURCE_quantity_material_xlsx;LCA_MATCH_exact_equipment_material;LCA_CONFIDENCE_high;LCA_EXACT_BOM_MASS;RAW_MATERIALS_provided
10,System IFE (In-Flight Entertainment) est un ensemble d'équipements et de logiciels qui permet aux passagers d'occuper leur temps à bord d'un avion.,System IFE boitier ref FJKL1-3K1100-01ATAB,1.5,0.012934783,True,bom_exact_system_material,exact_equipment_material,high,quantitative_ready,SYSTEM IFE BOITIER,70 al 6000 30 analog pcb,provided,LCA_SOURCE_quantity_material_xlsx;LCA_MATCH_exact_equipment_material;LCA_CONFIDENCE_high;LCA_EXACT_BOM_MASS;RAW_MATERIALS_provided
