edge,from_name,to_name,distance_km,modes,component_count,mass_kg,kg_km,families,example_components
T4->T3,Alcoa,AMAG Austria Metall,7635.5,ship|truck,31,58.922,449898.8,aluminium=31,1:A5086 - Aluminium | 17:A2017 - Aluminium | 18:A2017 - Aluminium | 19:A2017 - Aluminium | 20:A2017 - Aluminium | 21:A2017 - Aluminium | 22:A2017 - Aluminium | 23:A2017 - Aluminium | 24:A2017 - Aluminium | 25:A2024 - Aluminium | 26:A2024 - Aluminium | 27:A2024 - Aluminium | 28:A2024 - Aluminium | 29:A5086 - Aluminium
T4->T3,Aluminium Corporation of China / Chalco,Euralliage Ile de France,7616.6,ship|truck,6,26.1101,198870.1,aluminium=6,66:Alu | 67:Alu | 68:Alu | 70:Alu | 123:Alu | 161:65% aluminium
T1->OEM,Senior Aerospace Thailand,Safran Seats / Safran internal group,9564.8,ship|truck,15,20.0889,192146.7,steel=12;aluminium=2;polymer_plastic=1,33:4140 (acier) | 51:35NC6 (nickel-chrome) | 54:A2017 - Aluminium | 55:A2024 - Aluminium | 81:inox | 94:inox | 95:inox | 96:inox | 97:GLO: moulage par injection plastique | 98:inox | 99:inox | 100:inox | 101:inox | 102:inox
T3->T2,AMAG Austria Metall,Senior Aerospace Thailand - internal machining/forming process,8777.6,ship|truck,2,18.4201,161684.3,aluminium=2,54:A2017 - Aluminium | 55:A2024 - Aluminium
T3->T2,Toray Industries,Ensinger,9394.3,ship|truck,30,13.7166,128856.9,polymer_plastic=20;textile_leather=10,3:Ertalon par moulage par injection plastique | 79:Ertalon | 80:Ertalon | 82:Ertalon | 83:Ertalon | 84:Ertalon | 85:Ertalon | 97:GLO: moulage par injection plastique | 103:kydex | 104:kydex | 105:kydex | 106:kydex | 107:kydex | 108:kydex
T1->OEM,JAMCO Aircraft Interiors - Niigata,Safran Seats / Safran internal group,9489.6,ship|truck,12,9.078,86146.6,polymer_plastic=6;textile_leather=3;adhesive_composite=1;aluminium=1;titanium_carbon=1,"75:copolymere lexan fst simapro: extrusion et thermoformage | 110:NIDA - GLO (moulage par injection plastique) | 128:Résine BR623 - composite | 159:Moulage plastique | 161:65% aluminium | 162:16 % Tissu, mousse, polyéthylène | 163:11% Moulage plastique | 164:8% autre (silicium, cuirs synthétique) | 165:16 % Tissu, mousse | 166:titane fibre de carbone | 172:Moulage plastique | 173:Moulage plastique"
T2->T1,Ensinger,JAMCO Aircraft Interiors - Niigata,9231.0,ship|truck,6,8.927,82405.1,polymer_plastic=5;adhesive_composite=1,110:NIDA - GLO (moulage par injection plastique) | 128:Résine BR623 - composite | 159:Moulage plastique | 163:11% Moulage plastique | 172:Moulage plastique | 173:Moulage plastique
T3->T2,Aubert & Duval,SCHROTH Safety Products,7436.5,ship|truck,20,8.1213,60394.4,steel=20,15:acier | 45:acier | 46:acier | 47:acier | 48:acier | 49:acier | 52:acier | 53:acier | 56:acier | 57:acier | 58:acier | 59:acier | 60:acier | 61:acier
T2->T1,SCHROTH Safety Products,ESPACE,7201.2,ship|truck,20,8.1213,58483.4,steel=20,15:acier | 45:acier | 46:acier | 47:acier | 48:acier | 49:acier | 52:acier | 53:acier | 56:acier | 57:acier | 58:acier | 59:acier | 60:acier | 61:acier
T4->T3,DuPont de Nemours - fiber/polymer source assumption,"Zhejiang Yuxin Textile Co.,Ltd.",12231.1,ship|truck,12,2.469,30198.6,textile_leather=12,11:tissu | 131:tissu | 132:tissu | 133:tissu | 134:tissu | 135:tissu | 136:tissu | 140:velcro | 141:velcro | 142:velcro | 143:velcro | 149:velcro
