record_index,tier,supplier_or_node,status,confidence,action,lat,lon,note
1,T2,ESPACE - internal machining/forming process,baseline_primary_assumed_internalized_process,medium_high,add_virtual_internal_t2,44.7776436,-0.6475364,Explicit virtual T2 so the primary chain is complete; process assumed internal to T1 pending routing validation.
2,T2,MGA Villeneuve St Lot - internal machining/forming process,baseline_primary_assumed_internalized_process,medium_high,add_virtual_internal_t2,44.3974711,0.7316929,Explicit virtual T2 so the primary chain is complete; process assumed internal to T1 pending routing validation.
4,T4,BASF,baseline_primary_assumed_material_source,medium_low,add_assumed_rubber_silicone_t4,49.481,8.435,Plausible chemistry source for complete baseline; validate SDS/grade before factual use.
5,T4,Aurubis - copper source assumption,baseline_primary_assumed_material_source,medium,add_assumed_copper_source,50.7584717,6.234312,Aurubis is already the primary copper transformation node; reused as copper source assumption for baseline completeness.
5,T2,SUMPAR - internal machining/forming process,baseline_primary_assumed_internalized_process,medium_high,add_virtual_internal_t2,49.3892868,1.2085766,Explicit virtual T2 so the primary chain is complete; process assumed internal to T1 pending routing validation.
6,T4,Gruppo Mastrotto - hide/raw leather source assumption,baseline_primary_assumed_material_source,medium_low,add_assumed_textile_leather_t4,45.556,11.341,Plausible upstream fiber/hide source for baseline completeness; validate actual grade and origin.
7,T3,COTS electronics PCB/subassembly package,baseline_primary_assumed_non_switchable_cots,low,add_virtual_cots_t3,45.455,-73.735,Non-switchable placeholder; do not use for supplier-switch tests without BOM/AVL.
7,T4,COTS electronics component market basket,baseline_primary_assumed_non_switchable_cots,low,add_virtual_cots_t4,45.455,-73.735,Non-switchable placeholder for semiconductor/component upstream; requires BOM/PN for factual model.
9,T4,Shin-Etsu Silicones,baseline_primary_assumed_material_source,medium_low,add_assumed_rubber_silicone_t4,36.2983921,138.8497966,Plausible chemistry source for complete baseline; validate SDS/grade before factual use.
10,T4,COTS electronics component market basket,baseline_primary_assumed_non_switchable_cots,low,add_virtual_cots_t4,49.5967,3.3759,Non-switchable placeholder for semiconductor/component upstream; requires BOM/PN for factual model.
11,T4,DuPont de Nemours - fiber/polymer source assumption,baseline_primary_assumed_material_source,medium_low,add_assumed_textile_leather_t4,37.4520437,-77.4335412,Plausible upstream fiber/hide source for baseline completeness; validate actual grade and origin.
13,T2,SUMPAR - internal machining/forming process,baseline_primary_assumed_internalized_process,medium_high,add_virtual_internal_t2,49.3892868,1.2085766,Explicit virtual T2 so the primary chain is complete; process assumed internal to T1 pending routing validation.
14,T4,Saarstahl,baseline_primary_assumed_material_certificate,medium,add_assumed_steel_mill,49.3593951,7.1714727,Plausible steel mill for complete baseline; validate by EN/AMS material certificate before factual use.
14,T2,SUMPAR - internal machining/forming process,baseline_primary_assumed_internalized_process,medium_high,add_virtual_internal_t2,49.3892868,1.2085766,Explicit virtual T2 so the primary chain is complete; process assumed internal to T1 pending routing validation.
16,T4,Saarstahl,baseline_primary_assumed_material_certificate,medium,add_assumed_steel_mill,49.3593951,7.1714727,Plausible steel mill for complete baseline; validate by EN/AMS material certificate before factual use.
16,T3,Aubert & Duval,baseline_primary_assumed_material_processor,medium,add_assumed_steel_processor,45.9235016,2.8415731,Plausible aerospace steel processor/forge for complete baseline; validate routing/certificate.
16,T2,ETS Gattefin - internal machining/forming process,baseline_primary_assumed_internalized_process,medium_high,add_virtual_internal_t2,47.1426393,2.2372016,Explicit virtual T2 so the primary chain is complete; process assumed internal to T1 pending routing validation.
29,T2,ESPACE - internal machining/forming process,baseline_primary_assumed_internalized_process,medium_high,add_virtual_internal_t2,44.7776436,-0.6475364,Explicit virtual T2 so the primary chain is complete; process assumed internal to T1 pending routing validation.
30,T2,ESPACE - internal machining/forming process,baseline_primary_assumed_internalized_process,medium_high,add_virtual_internal_t2,44.7776436,-0.6475364,Explicit virtual T2 so the primary chain is complete; process assumed internal to T1 pending routing validation.
31,T2,ESPACE - internal machining/forming process,baseline_primary_assumed_internalized_process,medium_high,add_virtual_internal_t2,44.7776436,-0.6475364,Explicit virtual T2 so the primary chain is complete; process assumed internal to T1 pending routing validation.
