month_index,year,month,temp_c,humidity_pct,precip_mm,wind_ms,heat_index_c,heatwave,drought,storm_stress,climate_event
1,2026,1,1.0,77.0,94.65247584249853,5.152627944162883,1.0,0.0,0.0,0.0,aucun
2,2026,2,2.7500379516391167,75.66025403784438,99.84661307031165,4.75,2.7500379516391167,0.0,0.0,0.0,aucun
3,2026,3,7.51673640167364,72.0,97.57927281399283,4.2,7.51673640167364,0.0,0.0,0.0,aucun
4,2026,4,14.02510460251046,67.0,88.45798706418924,3.6500000000000004,14.02510460251046,0.0,0.0,0.0,aucun
5,2026,5,20.53347280334728,62.0,74.9267969714943,3.2473720558371175,20.53347280334728,0.0,0.0,0.0,aucun
6,2026,6,25.300171253381805,58.33974596215561,60.61137399387759,3.1,26.367350930354252,0.0,0.0,0.0,aucun
7,2026,7,27.05020920502092,57.0,49.347524157501475,3.2473720558371175,28.01020920502092,0.0,0.0,0.0,aucun
8,2026,8,25.316907655055445,58.33974596215561,44.15338692968835,3.6499999999999995,26.384087332027892,0.0,0.0,0.0,aucun
9,2026,9,20.566945606694564,61.99999999999999,46.42072718600717,4.2,20.566945606694564,0.0,0.0,0.0,aucun
10,2026,10,14.075313807531382,67.0,55.542012935810746,4.75,14.075313807531382,0.0,0.0,0.0,aucun
11,2026,11,7.583682008368199,72.0,69.0732030285057,5.152627944162883,7.583682008368199,0.0,0.0,0.0,aucun
12,2026,12,2.833719960007321,75.66025403784438,83.3886260061224,5.300000000000001,2.833719960007321,0.0,0.0,0.0,aucun
13,2027,1,1.100418410041841,77.0,94.65247584249853,5.152627944162883,1.100418410041841,0.0,0.0,0.0,aucun
14,2027,2,2.850456361680958,75.66025403784438,99.84661307031165,4.75,2.850456361680958,0.0,0.0,0.0,aucun
15,2027,3,7.617154811715481,72.0,97.57927281399283,4.2,7.617154811715481,0.0,0.0,0.0,aucun
16,2027,4,14.125523012552302,67.0,88.45798706418924,3.6500000000000004,14.125523012552302,0.0,0.0,0.0,aucun
17,2027,5,20.63389121338912,62.0,74.9267969714943,3.2473720558371175,20.63389121338912,0.0,0.0,0.0,aucun
18,2027,6,25.400589663423645,58.33974596215561,60.61137399387759,3.1,26.467769340396092,0.0,0.0,0.0,aucun
